,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,MIA201906150,15,23,3,0,0,0,0,0,0,,2,4,4.5,1.0
0,HOU201906260,40,31,3,0,0,0,0,3,0,,1,6,1.5,0.0
0,PIT201907060,30,33,1,0,0,0,0,2,0,,2,6,3.0,1.0
0,SLN201907160,32,27,0,0,0,0,0,3,0,,1,7,1.2857142857142858,0.0
0,PIT201907210,30,31,5,0,0,0,0,2,0,,1,6,1.5,1.0
0,NYN201907260,21,28,1,0,0,0,0,0,0,,5,6,7.5,1.0
0,CIN201907310,12,21,5,0,0,0,0,0,0,,3,4,6.75,2.0
0,PIT201908050,35,25,1,0,0,0,0,2,0,,5,5,9.0,0.0
0,PIT201908250,33,36,5,0,0,0,0,2,0,,4,5,7.2,2.0
0,COL201908300,30,26,2,0,0,0,0,0,0,,3,6,4.5,0.0
0,PIT201909050,31,26,1,0,0,0,0,2,0,,5,5,9.0,1.0
0,SFN201909110,18,20,2,0,1,0,0,1,0,,2,5,3.6,0.0
0,PIT201909180,24,26,6,0,0,0,0,1,0,,4,5,7.2,0.0
0,PIT201909250,21,27,5,0,0,0,0,0,0,,2,7,2.5714285714285716,1.0
