,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,SFN201905150,29,34,5,0,1,2,0,3,0,,2,5,3.6,0.0
0,SFN201905210,29,24,3,0,0,0,0,0,0,,2,6,3.0,0.0
0,SFN201905260,26,25,1,0,0,1,0,1,0,,4,5,7.2,0.0
0,BAL201906010,32,34,4,0,0,1,0,1,0,,2,7,2.5714285714285716,0.0
0,NYN201906060,34,22,3,0,0,0,0,3,0,,3,7,3.857142857142857,0.0
0,SFN201906120,33,27,6,0,0,0,0,3,0,,2,6,3.0,0.0
0,LAN201906180,34,30,2,0,0,0,0,3,0,,3,6,4.5,0.0
0,ARI201906230,30,28,2,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,SFN201906280,33,26,3,0,0,0,0,1,0,,2,6,3.0,0.0
0,SDN201907030,20,24,3,0,0,0,0,1,0,,4,4,9.0,0.0
0,MIL201907120,33,28,8,0,1,0,0,2,1,,4,6,6.0,0.0
0,COL201907170,26,23,1,0,0,0,0,2,0,,5,5,9.0,0.0
0,SFN201907220,32,24,5,0,0,0,0,1,1,,3,5,5.4,1.0
0,SDN201907270,35,32,7,0,0,0,0,2,0,,4,6,6.0,1.0
0,COL201908020,20,18,0,0,0,0,0,2,0,,3,6,4.5,0.0
0,SFN201908070,24,21,2,0,0,0,0,3,0,,4,3,12.0,0.0
