,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TBA201706102,andrm001,7,7,0,3,1,0,0,0,0,0,0,0,1,1.0
0,ARI201809180,andrm001,15,18,2,5,4,0,1,0,0,0,0,0,5,2.0
0,TBA201704070,andrm001,30,30,1,7,4,0,0,1,0,1,0,0,4,4.0
0,BOS201709090,andrm001,20,15,1,7,2,0,0,0,0,1,1,0,6,1.6666666666666665
0,TBA201605250,andrm001,32,39,0,8,6,0,0,0,0,1,0,0,3,6.0
0,DET201605200,andrm001,31,32,1,5,3,0,0,0,1,2,0,0,3,5.333333333333333
0,BAL201805122,andrm001,14,12,1,1,2,0,0,0,0,1,0,0,1,3.0
0,TBA201705200,andrm001,24,29,2,6,5,0,0,0,0,0,0,2,4,5.0
0,TOR201509270,andrm001,20,16,0,2,1,0,0,0,0,1,0,0,1,3.0
0,BAL201609170,andrm001,17,25,0,6,3,0,0,0,0,0,0,0,2,5.333333333333333
0,BOS201705140,andrm001,42,33,0,4,5,0,0,0,0,4,0,0,2,5.0
0,BAL201709210,andrm001,24,31,1,7,8,0,0,1,0,1,0,0,3,6.0
0,TOR201704290,andrm001,29,39,1,5,4,0,1,0,1,3,0,0,3,7.0
0,TBA201806240,andrm001,19,20,1,3,1,0,0,0,0,2,0,0,3,3.0
0,NYA201704130,andrm001,27,37,1,5,5,0,0,1,0,3,0,0,1,6.0
0,NYA201609110,andrm001,21,29,1,6,2,0,0,0,0,0,0,0,1,5.0
0,TBA201705040,andrm001,42,36,0,5,8,0,0,0,0,3,0,0,0,7.0
0,CHA201709030,andrm001,24,23,2,6,5,0,0,0,0,1,0,0,5,5.0
0,TBA201606100,andrm001,33,32,1,8,5,0,0,0,0,4,0,0,3,5.333333333333333
0,TBA201608020,andrm001,16,21,0,3,3,0,0,0,0,0,0,0,1,4.0
0,TBA201605140,andrm001,27,40,0,2,5,0,0,0,0,0,0,1,0,9.0
0,TBA201506220,andrm001,20,27,3,5,2,0,0,1,0,0,0,0,4,5.333333333333333
0,KCA201507072,andrm001,27,23,0,4,5,0,0,0,0,3,0,0,1,4.666666666666667
0,MIN201606040,andrm001,34,30,0,8,5,0,0,0,0,0,0,0,2,5.0
0,ANA201605080,andrm001,37,26,0,4,3,0,0,0,0,3,0,0,1,7.0
0,TBA201609240,andrm001,23,28,0,4,5,0,0,0,0,1,0,0,2,6.0
0,TBA201704230,andrm001,29,30,2,6,4,0,0,0,0,2,0,0,3,5.0
0,NYA201709270,andrm001,38,32,1,5,3,0,0,0,0,2,0,0,3,5.0
0,TBA201705090,andrm001,25,28,1,5,7,0,0,0,1,2,0,0,2,5.333333333333333
0,MIA201807040,andrm001,9,13,0,1,3,0,0,0,0,2,0,0,0,2.0
0,TOR201504140,andrm001,31,20,0,5,2,0,0,0,0,1,0,1,1,3.6666666666666665
0,TBA201504190,andrm001,22,19,0,8,1,0,0,0,1,2,0,0,4,3.3333333333333335
0,TBA201709150,andrm001,18,23,1,5,3,0,0,0,0,0,0,1,2,4.333333333333333
0,TEX201609300,andrm001,28,30,2,7,6,0,0,0,0,1,0,0,3,5.333333333333333
0,TBA201506270,andrm001,22,27,0,1,5,0,0,0,0,0,0,0,0,6.0
0,BOS201608290,andrm001,35,28,1,10,4,0,0,0,0,1,0,0,6,4.0
0,TBA201609050,andrm001,33,29,1,9,7,0,0,2,0,1,0,0,7,5.0
0,TBA201608070,andrm001,26,27,1,6,5,0,0,1,0,1,0,0,3,4.666666666666667
0,BOS201804290,andrm001,21,20,0,2,3,0,0,0,0,0,0,1,0,3.3333333333333335
0,TBA201608240,andrm001,32,31,1,7,8,0,0,0,0,1,0,0,3,6.0
0,KCA201605300,andrm001,27,30,0,5,3,0,0,0,2,2,0,0,1,7.0
0,TBA201704180,andrm001,39,34,1,4,5,0,0,0,0,1,0,0,1,6.0
0,BAL201606251,andrm001,24,28,0,5,5,0,0,0,0,2,0,0,2,4.666666666666667
0,NYA201608130,andrm001,20,31,4,8,8,0,0,0,0,0,0,0,6,5.0
0,TBA201608190,andrm001,27,35,2,7,4,0,0,0,0,2,0,0,3,5.333333333333333
0,TBA201705250,andrm001,42,36,0,6,5,0,0,0,0,2,0,1,0,8.0
0,ANA202007310,andrm001,13,14,0,4,1,0,0,0,0,3,0,1,4,1.6666666666666665
0,TEX201705300,andrm001,9,9,1,3,2,0,0,0,0,0,0,0,2,1.6666666666666665
0,TBA201506120,andrm001,29,28,0,6,5,0,0,0,0,1,0,0,0,5.666666666666667
0,TBA201505090,andrm001,24,21,1,5,2,0,0,0,0,1,0,0,2,3.6666666666666665
