,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TBA201404030,36,34,7,0,0,0,0,2,0,,2,6,3.0,0.0
0,KCA201404080,29,33,4,0,1,0,0,2,0,,0,7,0.0,0.0
0,BAL201404140,26,37,6,0,0,0,0,1,0,,7,5,12.6,0.0
0,TBA201404190,33,34,4,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,CHA201404250,37,31,4,0,0,0,0,0,0,,4,7,5.142857142857143,0.0
0,BOS201405012,32,28,3,0,0,2,0,5,0,,5,5,9.0,1.0
0,TBA201405060,37,33,6,0,0,0,0,1,0,,3,5,5.4,0.0
0,TBA201405110,38,32,2,0,0,0,0,4,0,,4,6,6.0,0.0
0,ANA201405160,38,35,5,0,0,0,0,5,0,,0,6,0.0,0.0
0,TBA201405230,46,37,11,0,0,0,0,3,1,,0,6,0.0,0.0
0,TOR201405280,31,36,7,0,0,0,0,2,0,,2,6,3.0,1.0
0,MIA201406030,26,38,8,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,TBA201406080,30,29,2,0,0,0,0,1,0,,0,7,0.0,1.0
0,HOU201406140,29,27,2,0,0,1,0,3,0,,1,4,2.25,1.0
0,TBA201406190,38,33,8,0,0,0,0,2,0,,0,7,0.0,0.0
0,TBA201406240,34,38,7,0,0,1,0,2,0,,4,7,5.142857142857143,0.0
0,NYA201406300,35,29,4,0,0,0,0,2,0,,2,7,2.5714285714285716,1.0
0,DET201407050,34,34,4,0,0,0,0,4,0,,2,9,2.0,0.0
0,TBA201407110,31,30,7,0,0,0,0,3,0,,5,5,9.0,0.0
0,MIN201407200,35,32,4,0,0,1,0,2,0,,1,7,1.2857142857142858,0.0
0,TBA201407270,35,39,3,0,0,0,0,2,0,,3,6,4.5,1.0
0,TBA201408020,37,38,9,0,0,1,0,2,0,,3,6,4.5,0.0
0,CHN201408080,29,27,6,0,1,0,0,1,0,,1,6,1.5,0.0
0,TEX201408130,39,35,12,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,TBA201408190,43,31,6,0,0,0,0,5,0,,1,6,1.5,0.0
0,TOR201408240,35,31,6,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,TBA201408290,33,33,3,0,0,0,0,2,0,,7,4,15.75,1.0
0,TBA201409030,28,35,2,0,0,2,0,1,0,,6,6,9.0,0.0
0,NYA201409090,32,29,3,0,0,0,0,0,0,,3,7,3.857142857142857,1.0
0,TOR201409140,39,33,9,0,0,0,0,3,0,,1,7,1.2857142857142858,0.0
0,TBA201409200,33,31,3,0,0,0,0,4,0,,0,7,0.0,0.0
0,CLE201409260,34,37,6,0,0,0,0,2,0,,1,8,1.125,0.0
0,TBA201504060,25,29,5,0,0,0,0,1,0,,3,6,4.5,0.0
0,MIA201504110,26,30,5,0,0,0,0,1,0,,0,7,0.0,0.0
