,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CIN201707020,arrij001,31,69,0,1,6,0,0,0,0,2,0,0,0,7.0
0,CHN201508090,arrij001,44,73,0,4,6,0,0,0,0,2,0,1,0,7.666666666666667
0,SDN201906050,arrij001,42,59,2,7,3,0,0,1,0,4,1,0,5,4.666666666666667
0,PIT201508040,arrij001,46,63,0,2,5,0,0,0,0,3,0,0,0,7.0
0,BOS201704280,arrij001,38,60,1,10,5,0,0,2,0,3,0,0,5,4.333333333333333
0,MIL201806150,arrij001,26,47,1,7,1,0,0,0,0,2,0,1,4,3.3333333333333335
0,ARI201908060,arrij001,31,49,1,5,5,0,0,0,0,2,0,0,2,5.0
0,PHI201805110,arrij001,38,63,0,5,5,0,1,0,0,2,0,0,0,7.333333333333333
0,CHN201508200,arrij001,32,75,0,4,7,0,0,1,0,1,0,0,0,6.0
0,CHN201504080,arrij001,39,65,0,3,7,0,0,0,0,3,0,0,0,7.0
0,PHI201804250,arrij001,44,63,0,4,2,0,0,0,0,2,0,0,1,7.0
0,WAS201506040,arrij001,33,62,0,6,8,0,0,0,0,0,0,2,1,6.0
0,CIN201704220,arrij001,34,67,2,8,8,0,0,0,0,0,0,0,4,6.0
0,ARI201505230,arrij001,31,61,1,7,7,0,0,0,0,2,0,0,3,6.0
0,CIN201606270,arrij001,39,54,1,4,4,0,1,1,0,5,0,0,5,5.0
0,PHI201904270,arrij001,28,71,0,9,5,0,1,0,0,2,0,0,2,5.0
0,CHN201705030,arrij001,28,57,0,6,7,0,1,0,0,1,0,0,3,6.0
0,ARI201407200,arrij001,43,62,0,4,8,0,0,1,0,3,0,0,2,6.666666666666667
0,NYN201904220,arrij001,34,65,1,7,7,0,0,0,0,1,0,0,3,6.0
0,SLN201805180,arrij001,23,41,0,5,1,0,0,1,0,2,0,0,2,3.0
0,MIL201507300,arrij001,34,61,0,5,6,0,0,1,0,2,1,0,2,6.0
0,ATL201606110,arrij001,44,61,0,4,3,0,0,0,0,2,0,1,2,7.0
0,PHI201809112,arrij001,34,54,1,3,7,0,0,0,0,2,0,1,3,5.0
0,CHN201708020,arrij001,39,56,0,3,8,0,0,0,0,2,0,1,1,7.0
0,ARI201604100,arrij001,29,70,2,8,6,0,0,0,0,0,0,0,3,7.0
0,SLN201605250,arrij001,31,62,1,7,4,0,0,0,0,1,0,1,4,5.0
0,CHN201605310,arrij001,44,63,0,2,8,0,0,0,0,4,0,0,0,7.0
0,CHN201505020,arrij001,28,62,1,7,6,0,0,0,0,1,0,0,4,5.0
0,CIN201604210,arrij001,48,71,0,0,6,0,1,0,0,4,0,0,0,9.0
0,CHN201609230,arrij001,31,66,0,5,10,0,1,0,0,1,0,0,0,7.0
0,MIA201706220,arrij001,33,49,1,6,3,0,0,0,0,0,0,0,1,7.0
0,CHN201505120,arrij001,46,70,0,3,10,0,0,0,0,2,0,0,1,8.0
0,SLN201709260,arrij001,29,38,2,6,4,0,0,0,0,1,0,0,3,3.0
0,ARI201808060,arrij001,41,69,0,3,4,0,0,0,0,2,0,0,0,8.0
0,CHN201608290,arrij001,31,56,2,5,3,0,0,0,0,3,0,0,4,6.333333333333333
0,CHN201509050,arrij001,40,76,0,4,7,0,0,0,0,0,0,0,0,8.0
0,CHA201607250,arrij001,36,65,1,5,6,0,0,1,0,2,0,0,4,6.0
0,CHN201707210,arrij001,31,66,1,5,6,0,0,0,0,0,0,0,2,6.0
0,ARI201708130,arrij001,32,59,0,3,6,0,0,0,0,3,0,0,1,6.0
0,BOS201807310,arrij001,25,64,0,6,7,0,1,1,0,0,0,1,1,7.0
0,BAL201707150,arrij001,38,63,1,4,3,0,0,0,0,3,0,0,1,6.666666666666667
0,CHN201606050,arrij001,39,69,0,9,12,0,0,0,0,1,0,0,3,4.666666666666667
0,CHN201606220,arrij001,42,64,0,4,6,0,0,0,0,4,0,0,1,5.0
0,PIT201605030,arrij001,38,61,0,2,5,0,0,0,0,2,0,0,0,7.0
0,CHN201604160,arrij001,32,68,0,5,8,0,0,0,0,1,0,0,0,8.0
0,MIL201704090,arrij001,35,63,1,3,10,0,0,1,0,2,0,0,3,7.0
0,PHI201805230,arrij001,33,76,0,7,7,0,0,0,0,1,0,0,0,6.666666666666667
0,PHI201809170,arrij001,20,61,0,9,6,0,0,0,0,1,0,0,4,5.0
0,MIL201709210,arrij001,28,43,1,5,2,0,0,0,0,1,0,0,1,4.666666666666667
0,PHI201906250,arrij001,35,50,2,9,2,0,1,0,0,2,0,0,5,6.0
0,PIT201509160,arrij001,37,80,0,6,5,0,0,0,0,1,0,0,1,7.666666666666667
0,CHN201706060,arrij001,36,64,0,2,5,0,0,0,0,3,0,0,1,6.0
0,CHA201508150,arrij001,39,66,0,5,5,0,0,1,0,2,0,1,1,6.666666666666667
0,NYN201507020,arrij001,29,67,0,5,7,0,1,1,0,0,0,1,1,8.0
0,CIN201708240,arrij001,42,57,0,4,8,0,0,0,0,2,1,0,0,5.666666666666667
0,PHI201807010,arrij001,25,46,0,4,2,0,0,1,0,2,0,0,2,5.0
0,WAS201407060,arrij001,33,57,0,4,5,0,0,1,0,3,0,0,1,6.0
0,CIN201408280,arrij001,37,59,0,6,8,0,0,0,0,4,0,0,6,4.0
0,NYN201607020,arrij001,42,66,1,8,4,0,0,0,0,2,0,0,4,5.333333333333333
0,PHI201807250,arrij001,29,66,1,5,6,0,0,0,0,2,0,0,2,6.0
0,COL201408060,arrij001,23,55,1,13,3,0,0,0,0,0,0,1,8,5.0
0,PHI201509111,arrij001,41,71,1,6,7,0,0,1,0,2,0,0,1,8.0
0,CHN201505290,arrij001,28,65,3,8,5,0,0,0,0,0,0,0,4,7.0
0,PHI201806200,arrij001,31,61,2,4,5,0,1,1,0,2,0,0,3,6.0
0,CHN201407310,arrij001,37,59,0,3,7,0,0,0,0,2,0,0,1,7.0
0,PHI201906110,arrij001,42,63,0,6,5,0,0,2,0,4,0,0,3,6.0
0,SDN201608230,arrij001,40,59,0,2,6,0,1,0,0,3,0,0,0,8.0
0,COL201809270,arrij001,34,69,2,6,3,0,0,1,0,1,0,0,3,6.0
0,PIT201907190,arrij001,37,54,0,6,4,0,0,0,0,1,1,0,1,5.666666666666667
0,CHN201406030,arrij001,41,64,0,7,2,0,0,1,0,3,0,0,1,4.666666666666667
0,PHI201905040,arrij001,30,59,1,5,7,0,1,0,0,1,0,0,2,6.0
0,OAK201608060,arrij001,42,66,0,3,4,0,0,0,0,1,0,1,0,8.0
0,SFN201405270,arrij001,35,59,0,7,6,0,0,1,0,1,0,0,4,6.0
0,LAN201705260,arrij001,35,60,2,5,9,0,0,0,0,1,0,0,4,6.0
0,CHA201707260,arrij001,38,60,1,2,5,0,0,0,0,2,0,0,2,6.666666666666667
0,NYN201907060,arrij001,26,49,0,11,4,0,0,0,0,0,0,3,5,4.333333333333333
0,MIA201906300,arrij001,24,69,1,8,6,0,0,1,0,1,0,0,4,6.0
0,PHI201806090,arrij001,45,62,1,4,4,0,0,0,0,3,0,2,2,5.333333333333333
0,CHN201609170,arrij001,44,58,1,4,5,0,0,1,0,4,0,0,3,6.0
0,MIL201510020,arrij001,24,48,0,2,7,0,0,0,0,0,0,0,0,6.0
0,PIT201709040,arrij001,18,32,2,4,4,0,0,0,0,1,0,0,3,2.3333333333333335
0,CIN201504260,arrij001,35,70,1,4,6,0,0,0,0,3,0,0,2,6.0
0,CHN201707080,arrij001,46,65,1,6,3,0,0,0,0,1,1,2,3,5.666666666666667
0,CHN201505170,arrij001,42,64,0,5,7,0,0,0,0,1,0,0,1,7.0
0,PIT201607080,arrij001,28,60,2,9,6,0,0,0,0,1,0,0,4,6.0
0,PHI201907140,arrij001,37,51,0,4,2,0,0,0,0,2,0,1,1,5.0
0,CHN201407260,arrij001,41,68,0,5,6,0,0,1,0,1,0,0,2,6.0
0,KCA201905100,arrij001,38,61,3,7,5,0,0,0,0,3,0,0,4,5.0
0,CHN201604280,arrij001,35,57,0,3,6,0,0,0,0,4,0,0,1,5.0
0,SFN201605200,arrij001,38,73,0,4,8,0,0,0,0,2,0,0,1,7.0
0,CHN201605140,arrij001,39,69,0,3,11,0,0,1,0,2,0,1,2,8.0
0,PHI201806260,arrij001,30,51,2,9,5,0,0,1,0,1,0,0,3,5.0
0,CHN201705210,arrij001,40,71,0,5,6,0,0,3,0,1,0,1,0,6.0
0,CHN201708180,arrij001,32,61,0,6,6,0,0,0,0,2,0,0,1,6.333333333333333
0,PIT201807070,arrij001,29,72,1,6,8,0,0,1,0,1,0,0,2,7.0
0,CHN201509220,arrij001,38,85,0,3,11,0,0,0,0,1,0,0,0,9.0
0,CHN201607190,arrij001,22,63,0,5,8,0,0,0,0,1,0,0,1,7.0
0,SFN201708070,arrij001,29,62,1,9,5,0,0,0,0,0,0,1,2,6.333333333333333
0,SFN201908110,arrij001,26,40,1,7,5,0,0,0,0,1,0,0,5,3.0
0,BOS201406300,arrij001,45,75,0,1,10,0,0,0,0,1,0,0,0,7.666666666666667
0,LAN201805290,arrij001,41,62,0,6,5,0,0,1,0,2,0,0,0,7.0
0,PHI201406130,arrij001,36,64,0,2,9,0,0,0,0,1,0,0,0,7.0
0,PIT201609280,arrij001,40,63,1,10,4,0,0,1,0,2,0,1,7,5.0
0,CHN201409160,arrij001,35,75,0,1,13,0,0,0,0,1,0,0,0,9.0
0,SLN201705140,arrij001,25,60,2,7,5,0,0,0,0,1,0,1,4,6.0
0,MIL201905250,arrij001,38,62,1,5,8,0,1,0,0,1,0,0,2,8.0
0,CHN201408110,arrij001,33,62,1,5,4,0,0,0,0,1,0,0,2,7.333333333333333
0,DET201506100,arrij001,34,59,1,8,8,0,0,0,0,1,0,0,3,6.0
0,TOR201409090,arrij001,35,64,0,7,5,0,1,1,0,1,0,0,1,6.333333333333333
0,CHN201408220,arrij001,37,62,1,4,5,0,0,0,0,1,0,0,1,7.0
0,SLN201704040,arrij001,35,55,0,4,6,0,0,2,0,2,0,1,0,6.0
0,COL201705091,arrij001,32,53,0,9,3,0,0,1,0,3,0,0,4,3.6666666666666665
0,CHN201605080,arrij001,36,64,0,6,7,0,0,2,0,3,1,0,2,5.0
0,PIT201504200,arrij001,31,69,0,4,7,0,0,0,0,0,0,0,1,7.0
0,SDN201705310,arrij001,31,53,1,5,7,0,0,1,0,2,0,0,1,6.0
0,CHN201607300,arrij001,37,63,0,2,4,0,0,1,0,3,0,0,0,7.0
0,WAS201805060,arrij001,27,47,1,2,2,0,0,0,0,2,0,0,1,6.0
0,CHN201608180,arrij001,47,56,2,3,3,0,1,0,0,7,0,0,4,5.666666666666667
0,CHN201407110,arrij001,37,61,0,4,6,0,0,0,0,2,1,0,3,7.666666666666667
0,NYN201408170,arrij001,37,61,0,2,9,0,0,1,0,2,0,0,0,7.0
0,CHN201409020,arrij001,29,67,0,5,4,0,0,0,0,2,0,1,1,6.0
0,CHN201506160,arrij001,46,66,1,3,6,0,0,0,0,6,0,0,4,5.0
0,CHN201507071,arrij001,43,60,0,7,4,0,1,0,0,2,0,0,2,6.666666666666667
0,MIA201904120,arrij001,32,76,0,5,8,0,0,0,0,1,0,1,1,7.0
0,WAS201706270,arrij001,46,52,0,6,4,0,0,1,0,6,0,0,3,4.0
0,CHN201704150,arrij001,36,62,2,5,5,0,0,0,0,1,0,0,3,5.666666666666667
0,PHI201808180,arrij001,35,61,0,4,6,0,1,0,0,0,0,1,1,6.0
0,CHN201509270,arrij001,30,54,0,1,9,0,0,0,0,0,0,1,0,6.666666666666667
0,CHN201507120,arrij001,32,74,0,2,9,0,0,0,0,0,0,0,1,9.0
