,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,OAK201908240,bassc001,27,35,1,4,5,0,0,0,0,0,0,1,2,5.666666666666667
0,OAK202009250,bassc001,25,30,0,5,6,0,0,0,0,0,0,0,0,7.0
0,OAK202009070,bassc001,31,24,0,7,4,0,0,0,0,0,0,0,0,7.0
0,OAK201507050,bassc001,34,34,0,5,3,0,0,0,0,1,0,1,2,5.666666666666667
0,TOR201904280,bassc001,33,35,1,3,9,0,0,0,0,0,0,0,1,7.0
0,OAK201905090,bassc001,23,36,2,7,9,0,0,0,0,1,0,0,3,7.666666666666667
0,PIT201905040,bassc001,32,33,2,5,6,0,0,0,0,2,0,0,3,5.0
0,CHA201408302,bassc001,36,37,0,7,4,0,0,0,0,3,1,1,5,6.333333333333333
0,ANA201906300,bassc001,30,31,1,5,7,0,0,1,0,1,0,0,2,5.666666666666667
0,ARI202008170,bassc001,29,28,1,5,3,0,0,0,0,3,0,1,3,5.333333333333333
0,SEA201508260,bassc001,34,23,0,7,1,0,0,0,0,4,0,1,4,4.333333333333333
0,CHA201806222,bassc001,22,24,0,6,4,0,0,0,0,1,0,0,3,5.333333333333333
0,OAK202007270,bassc001,19,21,0,5,5,0,0,0,0,1,0,0,0,3.6666666666666665
0,TEX201909130,bassc001,23,25,2,5,3,0,0,0,0,1,0,0,6,3.0
0,CHA201409100,bassc001,32,32,0,5,5,0,0,0,0,2,0,0,1,6.0
0,OAK201508210,bassc001,34,28,0,6,3,0,0,1,0,2,0,2,1,6.666666666666667
0,OAK201507300,bassc001,32,34,1,6,6,0,1,0,0,1,0,0,3,7.0
0,OAK201604170,bassc001,34,42,1,5,5,0,0,1,0,2,0,0,2,7.0
0,CHN201908050,bassc001,29,30,2,8,5,0,0,0,0,2,0,0,2,6.0
0,SFN201507250,bassc001,33,32,1,5,4,0,0,0,0,0,0,0,2,6.0
0,DET201806270,bassc001,39,33,0,2,5,0,0,0,0,5,0,0,0,6.0
0,TOR201604230,bassc001,40,33,2,9,5,0,0,1,0,2,0,0,6,5.0
0,OAK201907130,bassc001,32,32,0,4,6,0,0,0,0,2,0,0,0,6.0
0,HOU201807110,bassc001,29,27,1,5,1,0,0,0,0,1,0,0,3,5.0
0,HOU202008291,bassc001,24,18,2,6,2,0,0,0,0,3,0,0,4,3.0
0,HOU201907240,bassc001,32,30,2,5,7,0,0,0,0,0,0,1,4,6.0
