,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TEX201707290,bibea001,34,31,2,6,1,0,0,0,0,3,0,1,4,5.0
0,WAS201706110,bibea001,34,31,1,3,2,0,0,0,0,1,0,0,1,7.0
0,KCA201806200,bibea001,25,27,0,5,0,0,0,0,0,1,0,0,1,6.666666666666667
0,SEA201805290,bibea001,29,31,1,9,5,0,0,0,0,0,0,1,4,4.666666666666667
0,TEX201705310,bibea001,31,25,1,5,2,0,0,0,0,3,0,0,3,4.666666666666667
0,TEX201807030,bibea001,40,39,2,9,4,0,0,0,0,2,0,2,5,5.666666666666667
0,TEX201706190,bibea001,40,31,2,5,5,0,0,0,0,1,0,0,5,5.0
0,TEX201806260,bibea001,31,29,0,2,6,0,0,0,0,4,0,0,0,5.0
0,DET201807080,bibea001,27,30,0,3,5,0,0,1,0,1,0,0,0,5.333333333333333
0,NYA201706240,bibea001,34,28,1,5,3,0,0,0,0,1,0,0,1,7.0
0,TEX201805240,bibea001,39,35,0,8,6,0,0,0,0,1,0,1,2,6.333333333333333
0,CHA201706300,bibea001,33,24,3,8,2,0,0,2,0,0,0,0,4,5.666666666666667
