,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TOR201707260,blacp001,45,53,0,2,3,0,0,0,0,3,0,0,0,6.666666666666667
0,ANA201708050,blacp001,49,63,0,5,1,0,0,0,0,0,0,0,0,6.666666666666667
0,OAK201707010,blacp001,33,63,0,3,4,0,0,0,0,1,0,1,0,6.0
0,BAL201708220,blacp001,23,38,0,3,0,0,0,0,0,0,0,0,0,4.0
0,OAK201806290,blacp001,39,59,0,3,5,0,0,0,0,1,0,1,0,6.333333333333333
0,NYN201707210,blacp001,33,43,1,6,1,0,0,0,0,1,0,0,2,5.333333333333333
0,SEA201707060,blacp001,43,61,1,8,0,0,1,0,0,1,0,0,1,7.666666666666667
0,OAK201708110,blacp001,39,57,1,10,3,0,0,0,0,2,0,0,4,5.666666666666667
0,SDN201806190,blacp001,32,53,0,4,4,0,0,0,0,2,0,0,2,5.0
0,OAK201806130,blacp001,23,24,0,8,0,0,0,0,0,2,0,0,6,1.3333333333333333
0,OAK201707150,blacp001,42,59,1,5,4,0,0,1,0,4,0,0,3,6.0
0,TEX201906081,blacp001,37,50,1,5,4,0,0,0,0,3,0,1,5,3.0
0,OAK201707310,blacp001,38,58,0,8,4,0,0,0,0,1,0,0,3,6.333333333333333
0,CLE201807060,blacp001,26,46,0,7,3,0,1,1,0,1,0,0,4,4.0
0,CHA201806240,blacp001,26,47,1,8,4,0,0,0,0,0,0,1,6,5.0
0,OAK201806070,blacp001,15,52,1,3,3,0,0,0,0,0,0,0,1,6.0
0,OAK201708160,blacp001,41,56,1,8,2,0,0,0,0,3,0,0,4,4.0
