,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SFN201407110,bolsm001,20,29,1,8,5,0,0,0,0,2,0,0,5,5.0
0,CHN201506240,bolsm001,31,30,0,6,6,0,0,0,0,2,0,0,2,4.666666666666667
0,LAN201606180,bolsm001,27,27,0,9,1,0,0,0,0,2,0,0,5,2.6666666666666665
0,TOR201705090,bolsm001,30,28,0,3,4,0,0,0,0,4,0,0,2,5.666666666666667
0,SDN201506140,bolsm001,32,33,0,6,7,0,0,0,0,3,0,0,2,4.666666666666667
0,LAN201606060,bolsm001,28,33,2,7,5,0,0,0,0,1,1,0,6,5.333333333333333
0,ARI201606130,bolsm001,31,25,2,5,5,0,0,0,0,0,0,0,3,4.666666666666667
0,LAN201605240,bolsm001,28,29,1,3,6,0,0,0,0,1,0,0,2,5.666666666666667
0,SDN201406290,bolsm001,34,34,0,3,6,0,0,0,0,3,1,0,2,6.0
0,ARI201506290,bolsm001,14,20,0,3,4,0,0,0,0,0,0,0,0,4.0
0,SFN201509300,bolsm001,30,23,1,4,7,0,0,0,0,2,0,0,3,3.3333333333333335
0,SLN201505290,bolsm001,38,28,0,7,3,0,0,0,0,3,0,0,2,6.0
0,CHN201404240,bolsm001,28,37,0,4,7,0,0,0,0,2,0,0,0,6.666666666666667
0,LAN201404190,bolsm001,19,26,1,7,5,0,0,0,0,1,0,0,4,4.0
0,TOR201705150,bolsm001,33,31,0,8,3,0,0,0,0,2,0,3,5,4.666666666666667
0,ARI201406220,bolsm001,27,30,0,5,4,0,0,0,0,1,0,0,1,7.666666666666667
0,MIL201405050,bolsm001,27,30,2,7,3,0,0,0,0,3,0,0,4,5.0
0,COL201509250,bolsm001,24,25,3,7,2,0,0,1,0,3,0,0,4,4.0
0,TOR201705310,bolsm001,30,34,1,4,7,0,0,0,0,4,0,0,3,5.333333333333333
0,WAS201507170,bolsm001,24,20,0,2,2,0,0,0,0,1,1,0,1,4.0
0,LAN201506080,bolsm001,31,34,0,3,8,0,0,0,0,2,0,0,2,7.0
0,ARI201509120,bolsm001,30,25,0,7,1,0,0,1,0,3,1,0,3,3.6666666666666665
0,ATL201407050,bolsm001,31,30,0,10,5,0,0,0,1,2,0,0,5,3.6666666666666665
0,SFN201504230,bolsm001,30,26,0,5,5,0,0,0,0,2,0,0,1,5.666666666666667
0,TOR201705260,bolsm001,32,27,0,6,2,0,0,1,0,4,0,0,2,4.666666666666667
0,LAN201506190,bolsm001,38,30,1,8,6,0,0,0,0,3,0,0,5,5.333333333333333
0,COL201506030,bolsm001,33,28,1,6,3,0,0,0,1,3,0,0,4,5.0
0,LAN201505230,bolsm001,32,35,0,1,8,0,0,0,0,0,0,0,0,8.0
0,CHN201606010,bolsm001,26,28,1,2,6,0,0,0,0,2,0,2,2,5.0
0,ANA201605180,bolsm001,22,23,1,7,2,0,0,0,0,2,0,0,1,4.333333333333333
0,LAN201505170,bolsm001,30,30,0,3,6,0,0,0,0,2,0,1,0,6.0
0,BAL201705200,bolsm001,41,30,2,6,5,0,0,0,0,5,0,0,4,5.333333333333333
0,LAN201509200,bolsm001,24,26,2,5,4,0,0,0,0,3,0,0,2,4.333333333333333
0,LAN201507290,bolsm001,30,29,0,8,3,0,0,0,0,3,0,0,2,5.0
0,SDN201509040,bolsm001,31,31,2,2,6,0,0,0,0,2,0,0,3,5.0
0,LAN201505120,bolsm001,30,29,1,5,3,0,0,0,0,2,0,0,1,5.666666666666667
0,LAN201507100,bolsm001,25,31,0,4,6,0,0,2,0,1,0,0,2,6.0
0,ARI201406170,bolsm001,25,29,2,7,6,0,0,0,0,0,0,0,3,6.333333333333333
0,ARI201404290,bolsm001,25,33,1,9,4,0,0,0,0,0,0,0,4,5.0
0,LAN201507050,bolsm001,31,35,0,9,4,0,0,0,0,1,1,0,4,5.0
0,ATL201507220,bolsm001,31,35,0,3,4,0,0,0,0,1,0,0,0,7.0
