,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,HOU201806260,36,25,3,0,0,1,0,4,0,,2,6,3.0,0.0
0,TOR201807020,29,36,8,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,TOR201807080,34,38,5,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,BOS201807130,32,28,5,0,0,0,0,3,1,,4,4,9.0,0.0
0,TOR201807240,27,34,2,0,0,0,0,0,0,,0,6,0.0,0.0
0,CHA201807290,40,34,5,0,0,0,0,1,0,,2,6,3.0,0.0
0,SEA201808030,36,35,2,0,0,0,0,0,0,,0,8,0.0,0.0
0,TOR201808090,40,31,2,0,1,0,0,3,0,,4,5,7.2,0.0
0,KCA201808140,35,21,1,0,0,0,0,3,1,,4,4,9.0,0.0
0,NYA201808190,15,15,0,0,0,0,0,2,0,,6,1,54.0,0.0
0,TOR201808240,40,35,5,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,BAL201808290,25,27,2,0,0,0,0,0,0,,5,5,9.0,1.0
0,TOR201809040,29,30,5,0,0,0,0,2,0,,2,7,2.5714285714285716,1.0
0,BOS201809110,32,30,5,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,BAL201809170,37,31,7,0,0,0,0,1,0,,0,8,0.0,0.0
0,TOR201809230,38,30,7,0,0,0,0,3,1,,2,7,2.5714285714285716,0.0
0,TBA201809290,35,28,3,0,2,0,0,3,0,,4,7,5.142857142857143,0.0
0,TOR201907220,43,25,3,0,0,0,0,4,0,,2,5,3.6,0.0
0,TOR201907270,21,23,3,0,0,0,0,2,0,,6,2,27.0,0.0
