,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ANA201707230,bridp001,22,25,1,5,3,0,0,0,0,1,0,0,2,7.0
0,SEA201708130,bridp001,29,28,0,4,2,0,0,0,0,1,0,0,1,6.0
0,TOR201707280,bridp001,33,28,0,3,4,0,0,0,0,1,0,0,0,7.333333333333333
0,SEA201709100,bridp001,25,28,0,7,2,0,0,0,0,1,0,0,2,6.0
0,MIN201707050,bridp001,36,34,0,4,5,0,0,0,0,3,0,0,0,6.0
0,ANA201708250,bridp001,32,35,1,6,5,0,0,1,0,0,0,0,2,7.0
0,BOS201706250,bridp001,22,26,2,7,4,0,0,0,0,0,0,1,2,6.666666666666667
0,ANA201710010,bridp001,33,28,0,3,3,0,0,0,0,1,0,1,0,7.0
0,ANA201708080,bridp001,29,26,0,6,4,0,0,1,0,0,0,0,1,7.0
0,ANA201709210,bridp001,27,23,2,5,1,0,0,0,0,2,0,0,4,5.333333333333333
0,ANA201707160,bridp001,32,33,1,6,8,0,1,0,0,1,0,0,2,6.333333333333333
0,ANA201709160,bridp001,29,31,0,3,7,0,0,0,0,2,0,0,0,6.0
0,NYA201706200,bridp001,34,30,1,2,3,0,0,1,0,5,0,0,2,5.0
0,BAL201708200,bridp001,28,29,1,6,3,0,0,0,0,1,0,0,2,5.0
0,ANA201706300,bridp001,23,23,2,11,2,0,1,0,0,1,0,0,5,6.0
0,ANA201804060,bridp001,15,9,3,7,0,0,0,0,0,0,0,0,6,1.6666666666666665
0,ANA201708300,bridp001,24,24,2,6,2,0,0,0,0,3,0,1,7,3.0
0,ANA201708030,bridp001,33,31,1,6,4,0,0,0,0,3,0,0,4,4.666666666666667
0,CHA201709260,bridp001,26,25,2,5,1,0,0,0,0,2,0,0,3,6.666666666666667
0,OAK201709040,bridp001,25,22,1,7,5,0,0,1,0,1,0,0,5,3.0
0,ANA201705300,bridp001,34,29,2,6,4,0,0,0,0,1,0,1,3,6.0
