,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TOR201405310,15,16,0,0,0,0,0,3,0,,7,1,63.0,2.0
0,OAK201508010,28,33,5,0,0,0,0,0,0,,1,8,1.125,0.0
0,OAK201508060,38,35,7,0,1,0,0,1,0,,1,7,1.2857142857142858,0.0
0,TOR201508120,27,16,2,0,0,0,0,2,0,,8,2,36.0,1.0
0,ARI201508290,23,26,4,0,0,0,0,1,0,,2,6,3.0,0.0
0,OAK201509040,18,13,2,0,0,0,0,2,0,,6,3,18.0,0.0
0,OAK201509090,29,30,2,0,0,0,0,1,0,,5,5,9.0,1.0
0,CHA201509150,29,38,6,0,0,0,0,2,0,,6,7,7.714285714285714,1.0
0,HOU201509200,35,35,5,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,SEA201510020,36,29,1,0,0,0,0,2,0,,2,7,2.5714285714285716,1.0
0,OAK201904010,27,30,6,0,0,0,0,1,0,,0,6,0.0,0.0
0,HOU201904060,29,30,2,0,0,0,0,1,0,,5,5,9.0,0.0
0,BAL201904110,35,24,3,0,0,0,0,3,0,,3,7,3.857142857142857,0.0
0,OAK201904190,35,28,5,0,0,0,0,2,0,,5,5,9.0,0.0
0,OAK201904240,35,30,7,0,0,0,0,0,0,,3,5,5.4,0.0
0,BOS201904300,31,26,2,0,0,0,0,3,0,,4,5,7.2,0.0
0,BAL201907131,14,10,2,0,0,0,0,0,0,,0,3,0.0,1.0
0,BAL201907170,24,17,0,0,0,0,0,2,0,,1,3,3.0,1.0
0,ARI201907220,22,24,1,0,0,0,0,1,0,,5,4,11.25,0.0
0,ANA201907270,32,34,6,0,0,1,0,1,0,,5,5,9.0,0.0
0,BAL201908020,35,33,4,0,0,0,0,3,0,,3,6,4.5,0.0
0,BAL201908100,25,22,3,0,0,1,1,0,0,,9,3,27.0,0.0
0,BOS201908160,29,30,2,0,0,1,0,1,0,,5,6,7.5,1.0
0,BAL201908210,33,32,4,0,0,0,0,1,0,,1,5,1.8,0.0
0,WAS201908270,36,31,6,0,0,0,0,1,0,,0,6,0.0,1.0
0,KCA201909010,35,26,3,0,0,0,0,4,0,,3,5,5.4,0.0
0,BAL201909070,19,23,3,0,0,0,0,1,0,,6,3,18.0,2.0
0,DET201909130,30,25,0,0,0,0,0,3,0,,2,6,3.0,0.0
