,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,KCA201704180,cainm001,29,27,1,4,3,0,1,0,0,2,0,0,1,7.0
0,DET201707040,cainm001,27,30,1,7,3,0,0,0,0,1,0,0,3,6.333333333333333
0,SFN201704240,cainm001,26,22,0,2,3,0,0,0,0,1,0,0,0,6.0
0,CHA201406170,cainm001,25,32,2,10,3,0,0,1,0,1,0,0,7,5.0
0,SFN201705310,cainm001,34,32,1,9,3,0,0,0,0,1,0,0,3,5.0
0,SDN201407040,cainm001,42,32,1,7,6,0,0,0,0,3,0,0,2,6.333333333333333
0,MIA201507020,cainm001,34,27,2,7,2,0,0,0,0,4,0,0,5,5.0
0,LAN201404060,cainm001,23,28,3,6,3,0,0,0,0,0,0,0,5,6.0
0,SFN201605210,cainm001,37,35,1,6,5,0,0,1,0,2,0,0,1,6.0
0,SFN201406110,cainm001,38,32,1,3,4,0,0,0,0,5,0,0,4,5.0
0,SFN201406060,cainm001,38,30,1,3,3,0,0,0,0,1,0,0,2,7.0
0,SFN201508140,cainm001,33,23,2,6,3,0,0,0,0,1,0,1,5,4.666666666666667
0,NYN201705100,cainm001,29,23,1,4,3,0,0,0,0,2,0,0,2,5.0
0,SFN201405150,cainm001,39,32,2,6,7,0,0,0,0,2,1,0,4,7.666666666666667
0,COL201706170,cainm001,28,27,0,9,3,0,0,0,0,2,0,0,1,5.0
0,SDN201404180,cainm001,32,36,0,4,8,0,0,0,0,2,0,0,0,7.0
0,ARI201605150,cainm001,34,38,0,7,5,0,0,1,0,2,0,0,1,7.0
0,WAS201608060,cainm001,39,30,0,5,4,0,0,0,0,3,0,2,0,5.0
0,ATL201706220,cainm001,24,27,3,10,1,0,0,0,0,0,0,0,5,4.0
0,SFN201508250,cainm001,26,22,2,8,3,0,0,1,0,2,0,0,6,4.666666666666667
0,SFN201406280,cainm001,37,30,0,6,4,0,1,1,0,2,0,0,0,6.666666666666667
0,SFN201607310,cainm001,40,29,0,0,5,0,0,0,0,4,0,1,0,5.0
0,SFN201706110,cainm001,28,25,2,7,1,0,0,0,0,3,0,0,4,4.333333333333333
0,SFN201406230,cainm001,28,41,0,7,7,0,0,0,0,1,0,0,5,7.333333333333333
0,COL201404230,cainm001,37,32,2,10,4,0,1,0,0,3,0,0,7,6.0
