,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TOR201808200,casha001,41,56,2,7,2,0,0,0,0,3,0,0,5,5.666666666666667
0,SDN201506010,casha001,32,72,1,11,12,0,0,0,0,0,0,0,5,4.666666666666667
0,SDN201604060,casha001,36,58,1,6,5,0,0,0,0,2,0,0,5,4.0
0,TEX201708180,casha001,39,61,1,6,2,0,0,0,1,4,0,1,2,5.666666666666667
0,SDN201409200,casha001,31,75,1,4,7,0,0,0,0,1,0,0,1,8.0
0,BAL201904230,casha001,36,64,0,5,5,0,0,0,0,1,0,0,1,7.0
0,TEX201709090,casha001,35,64,0,4,4,0,0,0,0,1,0,1,0,7.0
0,SDN201409150,casha001,24,68,0,2,7,0,0,0,0,1,0,0,0,9.0
0,SEA201705070,casha001,38,56,0,4,5,0,0,0,0,3,0,0,0,6.0
0,CIN201608170,casha001,38,55,0,5,1,0,0,0,0,3,1,0,1,5.0
0,TBA201707220,casha001,30,64,0,4,4,0,0,0,0,3,0,0,3,6.0
0,CLE201706290,casha001,33,48,0,6,3,0,0,2,0,2,0,0,3,5.0
0,WAS201508270,casha001,47,74,1,9,6,0,0,1,0,2,1,1,3,5.666666666666667
0,SDN201509060,casha001,42,64,0,5,5,0,0,0,0,4,0,1,2,5.666666666666667
0,SEA201605300,casha001,35,64,1,6,3,0,0,0,0,1,0,0,3,6.333333333333333
0,TBA201805260,casha001,40,53,0,11,4,0,0,0,0,4,0,0,5,5.0
0,SDN201607150,casha001,25,60,0,4,9,0,0,1,0,0,0,1,1,6.0
0,TEX201706030,casha001,34,65,1,11,2,0,0,1,0,1,0,0,5,6.0
0,WAS201806200,casha001,24,38,0,3,2,0,0,0,0,0,0,0,0,4.0
0,LAN201607080,casha001,35,34,4,8,2,0,0,0,0,3,0,0,8,2.6666666666666665
0,ARI201506210,casha001,34,47,0,4,5,0,0,0,0,2,0,1,3,4.0
0,TEX201705170,casha001,30,59,1,8,2,0,0,0,0,1,0,0,2,7.0
0,BAL201905200,casha001,41,51,1,5,3,0,0,1,0,2,0,0,3,6.0
0,BAL201805160,casha001,39,64,1,5,6,0,0,0,0,3,0,0,2,5.666666666666667
0,HOU201906080,casha001,32,55,0,4,3,0,0,0,0,1,0,0,1,5.666666666666667
0,BAL201805090,casha001,43,72,1,6,3,0,0,0,0,1,1,0,3,6.0
0,MIN201807050,casha001,37,74,1,6,3,0,0,0,0,1,1,0,2,6.0
0,BAL201808140,casha001,39,66,0,5,3,0,0,1,0,3,0,0,2,7.0
0,BOS201904130,casha001,34,47,1,3,2,0,0,0,0,3,0,0,2,5.0
0,ARI201509160,casha001,28,62,1,7,6,0,0,0,0,2,0,0,3,7.0
0,HOU201705010,casha001,37,49,0,3,2,0,0,0,0,3,0,2,0,6.0
0,TEX201704250,casha001,44,51,2,5,3,0,0,1,0,6,0,0,2,4.0
0,BOS201908060,casha001,25,58,3,7,4,0,0,1,0,2,0,0,6,5.333333333333333
0,SDN201507240,casha001,41,64,0,5,5,0,0,0,0,1,0,1,1,7.0
0,COL201608060,casha001,27,53,1,8,5,0,0,0,0,1,0,0,5,5.0
0,OAK201805040,casha001,51,63,2,6,5,0,0,0,0,3,0,0,3,4.666666666666667
0,BAL201806010,casha001,39,59,0,9,4,0,0,0,0,1,0,0,3,6.0
0,BOS201705230,casha001,36,54,0,6,2,0,0,1,0,4,0,0,5,4.666666666666667
0,CHA201805210,casha001,33,63,0,8,4,0,0,0,0,3,0,0,2,5.0
0,BAL201907210,casha001,43,62,2,6,7,0,0,0,0,2,0,1,4,6.0
0,SDN201504240,casha001,35,61,1,6,6,0,0,0,0,1,0,1,2,7.0
0,SDN201409030,casha001,29,67,0,5,5,0,0,0,0,1,0,0,2,7.0
0,COL201905250,casha001,34,57,1,8,5,0,0,0,0,0,0,0,5,5.0
0,SFN201509110,casha001,51,66,0,9,7,0,0,0,0,5,0,0,5,4.666666666666667
0,COL201508150,casha001,29,58,0,7,2,0,0,0,0,2,0,0,3,5.0
0,CIN201506060,casha001,33,57,1,8,2,0,0,0,0,4,1,0,6,5.666666666666667
0,TEX201709140,casha001,40,53,1,6,2,0,0,1,0,5,0,1,5,4.333333333333333
0,LAN201504080,casha001,37,60,3,8,6,0,0,1,0,3,0,0,5,5.0
0,ATL201709040,casha001,35,66,1,6,5,0,0,0,0,2,0,0,2,6.0
0,MIA201607310,casha001,27,56,1,4,2,0,0,0,0,0,0,1,1,6.0
0,SDN201509010,casha001,34,63,1,8,4,0,0,0,0,0,0,0,3,5.0
0,TBA201808080,casha001,42,58,0,4,2,0,0,0,0,1,0,1,1,7.0
0,SDN201403300,casha001,29,67,0,4,5,0,0,0,0,2,0,0,1,6.0
0,WAS201404260,casha001,26,73,0,8,5,0,0,0,0,0,1,0,2,6.0
0,BAL201807100,casha001,32,64,1,5,7,0,0,0,0,1,0,0,3,6.333333333333333
0,HOU201708300,casha001,37,63,0,3,6,0,0,0,0,0,0,0,1,8.0
0,MIA201609070,casha001,40,60,0,4,9,0,0,0,0,2,0,0,0,5.333333333333333
0,SDN201505160,casha001,35,73,0,9,6,0,0,0,0,2,0,0,3,6.0
0,SDN201509230,casha001,40,70,0,2,6,0,1,0,0,5,0,0,2,6.0
0,BAL201905080,casha001,43,61,1,4,5,0,0,0,0,1,0,0,1,6.0
0,BAL201808252,casha001,43,67,0,9,4,0,1,1,0,2,0,0,3,7.0
0,MIL201508040,casha001,39,60,0,8,5,0,0,0,0,4,0,0,2,6.0
0,BAL201806250,casha001,42,58,1,4,3,0,0,0,0,4,0,0,3,6.0
0,SDN201606040,casha001,40,67,1,8,3,0,0,0,0,3,0,1,3,5.666666666666667
0,HOU201706140,casha001,34,61,0,10,4,0,0,2,0,1,0,0,3,4.0
0,SEA201809050,casha001,42,58,3,7,0,0,0,1,0,2,0,0,3,4.666666666666667
0,ATL201609120,casha001,21,33,1,6,0,0,0,0,0,2,0,0,4,2.0
0,BAL201905310,casha001,49,60,1,8,0,0,0,0,0,5,0,0,6,5.0
0,SFN201409250,casha001,30,55,2,8,4,0,0,1,0,1,0,0,6,5.0
0,BAL201804280,casha001,33,54,1,7,4,0,0,1,0,3,0,0,6,4.0
0,SDN201506270,casha001,29,75,0,8,6,0,1,0,0,0,0,0,2,7.0
0,NYN201507300,casha001,29,58,2,6,3,0,0,0,0,2,0,0,5,5.333333333333333
0,SFN201505050,casha001,35,57,1,7,3,0,0,0,0,3,0,0,4,6.0
0,PIT201507080,casha001,35,67,0,3,5,0,0,0,0,2,0,0,3,7.666666666666667
0,TOR201807220,casha001,28,51,0,6,2,0,0,0,0,1,0,0,1,5.666666666666667
0,CIN201405130,casha001,28,68,0,7,6,0,0,0,0,1,0,0,1,7.0
0,BAL201804220,casha001,38,74,1,8,7,0,0,1,0,2,0,0,4,6.0
0,COL201606100,casha001,2,3,0,0,1,0,0,0,0,0,0,0,0,0.3333333333333333
0,SDN201504130,casha001,31,75,0,7,9,0,0,0,0,1,0,0,0,6.0
0,MIA201608120,casha001,47,58,0,9,5,0,0,0,0,4,1,0,4,5.0
0,TOR201907060,casha001,27,61,0,3,4,0,0,1,0,0,0,0,1,7.0
0,SFN201605240,casha001,38,44,0,4,1,0,0,0,0,4,0,0,3,6.0
0,SEA201906220,casha001,41,58,0,5,3,0,0,0,0,1,0,0,2,6.0
0,SDN201605080,casha001,34,60,1,8,1,0,0,0,0,1,0,1,3,5.0
0,NYA201905152,casha001,33,59,1,4,7,0,0,0,0,2,0,0,2,6.0
0,TBA201904180,casha001,39,59,1,5,6,0,0,0,0,1,0,0,2,5.0
0,MIL201404210,casha001,34,59,1,7,4,0,0,0,0,2,0,0,4,6.0
0,DET201804170,casha001,40,55,1,7,5,0,0,0,0,2,1,0,3,5.666666666666667
0,SEA201704150,casha001,37,48,0,5,2,0,0,0,0,3,0,0,1,5.333333333333333
0,OAK201906170,casha001,36,61,0,4,2,0,0,0,0,1,0,1,1,6.0
0,NYA201903280,casha001,33,42,1,6,3,0,0,0,0,4,0,0,4,4.0
0,BAL201806300,casha001,39,66,0,4,4,0,0,0,0,2,0,0,1,6.0
0,NYN201406130,casha001,33,65,0,8,5,0,0,0,0,2,0,0,4,6.0
0,SDN201408290,casha001,30,59,0,6,8,0,0,0,0,0,0,0,1,6.0
0,BOS201907160,casha001,35,57,2,8,2,0,0,0,0,2,0,1,5,5.0
0,SLN201507030,casha001,34,57,0,3,3,0,0,0,0,3,0,0,1,6.0
0,CHA201905012,casha001,39,60,1,6,8,0,0,1,0,2,0,0,4,4.0
0,TOR201705280,casha001,34,63,0,5,2,0,0,1,0,2,0,0,1,7.0
0,BOS201908110,casha001,27,24,0,3,1,0,0,0,0,5,0,1,3,1.6666666666666665
0,SDN201404110,casha001,38,70,0,1,11,0,0,0,0,2,0,0,0,9.0
0,LAN201409090,casha001,29,70,1,9,2,0,0,0,0,1,0,0,2,7.0
0,SDN201508210,casha001,42,72,0,4,8,0,0,1,0,2,0,0,0,6.0
0,SDN201506160,casha001,35,53,1,5,3,0,0,0,0,3,0,0,5,5.0
0,TOR201607260,casha001,46,62,2,4,6,0,0,0,0,3,0,0,3,6.0
