,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,NYA201609060,cessl001,32,26,1,6,3,0,0,0,0,2,0,0,2,5.333333333333333
0,BAL201807092,cessl001,27,31,0,3,4,0,0,0,0,3,0,0,0,6.0
0,MIN201707180,cessl001,30,24,1,4,2,0,0,0,0,4,0,1,3,3.6666666666666665
0,ANA201608200,cessl001,29,27,0,3,5,0,0,0,0,1,0,1,0,6.0
0,NYA201608260,cessl001,32,34,2,5,5,0,0,0,0,1,0,0,3,6.0
0,KCA201608310,cessl001,35,27,2,6,2,0,0,1,0,1,0,0,3,6.0
0,TBA201609220,cessl001,35,33,1,6,6,0,1,0,0,2,0,0,2,6.0
0,NYA201708140,cessl001,21,26,2,5,5,0,0,0,0,1,0,0,2,4.333333333333333
0,NYA201609270,cessl001,32,28,0,5,2,0,0,0,0,1,0,0,2,6.0
0,BOS201609160,cessl001,23,20,1,6,1,0,0,1,0,0,0,1,3,5.0
0,OAK201706180,cessl001,24,25,1,5,4,0,0,0,0,1,0,0,4,3.6666666666666665
0,BOS201809300,cessl001,4,4,0,5,0,0,0,0,0,0,0,0,3,0.3333333333333333
0,NYA201610020,cessl001,24,29,1,5,6,0,0,0,0,0,0,0,3,5.666666666666667
0,CHA201706290,cessl001,29,30,0,5,1,0,0,0,0,3,0,1,2,4.666666666666667
0,NYA201706240,cessl001,28,33,1,3,8,0,0,0,0,2,0,1,3,5.0
0,NYA201808150,cessl001,21,21,1,7,4,0,0,1,0,2,0,0,5,3.3333333333333335
0,NYA201609110,cessl001,21,29,3,5,5,0,0,0,0,0,0,0,4,5.666666666666667
0,TBA201807250,cessl001,26,25,1,4,3,0,0,0,0,0,0,0,2,5.333333333333333
0,PHI201806270,cessl001,28,24,1,5,2,0,0,1,0,2,0,0,3,3.0
