,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,BAL201404030,32,36,5,0,0,0,0,0,0,,4,6,6.0,0.0
0,NYA201404080,37,32,3,0,0,0,0,0,0,,4,5,7.2,0.0
0,BAL201404140,40,31,4,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,BOS201404210,33,32,5,0,0,0,0,3,0,,3,5,5.4,0.0
0,BAL201404260,36,30,6,0,0,0,0,1,1,,2,7,2.5714285714285716,0.0
0,MIN201405030,34,39,5,0,0,0,0,1,0,,2,6,3.0,0.0
0,BAL201405090,33,32,4,0,1,0,0,1,0,,2,7,2.5714285714285716,0.0
0,KCA201405150,33,29,1,0,0,0,0,1,0,,1,6,1.5,0.0
0,BAL201405220,24,30,1,0,0,1,0,0,0,,5,7,6.428571428571429,0.0
0,MIL201405270,21,27,6,0,0,0,0,0,0,,5,5,9.0,0.0
0,HOU201406010,35,31,6,0,0,0,0,1,0,,1,6,1.5,0.0
0,BAL201406060,37,35,4,0,0,0,0,0,0,,2,7,2.5714285714285716,1.0
0,BAL201406110,30,28,7,0,0,0,0,0,0,,0,7,0.0,1.0
0,TBA201406160,31,36,3,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,BAL201406230,28,32,3,0,0,0,0,2,0,,3,6,4.5,0.0
0,BAL201406280,28,27,2,0,0,0,0,2,0,,5,4,11.25,0.0
0,BAL201407030,36,30,4,0,0,0,0,1,1,,2,6,3.0,0.0
0,BAL201407100,26,32,6,0,0,0,0,0,0,,3,6,4.5,1.0
0,OAK201407190,30,30,4,0,0,0,0,1,0,,3,5,5.4,0.0
0,SEA201407240,30,41,3,0,0,0,0,1,0,,0,8,0.0,0.0
0,BAL201408010,28,42,8,0,0,0,0,1,0,,1,8,1.125,0.0
0,TOR201408060,32,27,6,0,0,0,0,2,0,,4,5,7.2,0.0
0,CLE201408150,29,31,6,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,CHA201408200,20,31,7,0,0,0,0,1,0,,3,8,3.375,0.0
0,BAL201408260,32,31,0,0,0,0,0,3,0,,2,5,3.6,0.0
0,BAL201408310,26,40,7,0,0,0,0,0,0,,4,7,5.142857142857143,0.0
0,TBA201409050,40,32,3,0,0,1,0,3,0,,0,6,0.0,0.0
0,BOS201409100,31,33,4,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,BAL201409150,31,36,6,0,0,0,0,1,0,,2,6,3.0,0.0
0,NYA201409220,30,33,4,0,0,0,0,2,0,,2,6,3.0,0.0
0,TOR201409270,27,25,3,0,0,0,0,1,0,,2,6,3.0,0.0
0,TBA201504070,31,29,4,0,0,0,0,2,0,,3,5,5.4,1.0
