,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,CIN201404020,33,32,9,0,1,0,0,2,0,,0,7,0.0,0.0
0,SLN201404070,38,28,5,0,0,0,0,4,0,,3,4,6.75,0.0
0,CIN201404130,36,32,6,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,CHN201404190,45,27,3,0,0,0,0,4,0,,3,5,5.4,0.0
0,PIT201404240,37,32,7,0,0,0,0,2,0,,1,6,1.5,0.0
0,CIN201404300,31,25,2,0,0,0,0,2,0,,3,4,6.75,0.0
0,PHI201405180,30,36,7,0,1,0,1,3,0,,4,6,6.0,0.0
0,CIN201405240,34,29,4,0,0,0,0,3,0,,4,6,6.0,0.0
0,ARI201405290,32,33,3,0,0,0,0,2,0,,2,6,3.0,0.0
0,CIN201406040,38,34,7,0,0,0,0,2,1,,3,6,4.5,0.0
0,CIN201406090,30,35,5,0,1,1,0,3,0,,6,5,10.8,0.0
0,CIN201507222,30,20,3,0,0,0,0,1,1,,5,3,15.0,1.0
