,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,WAS201906150,clart003,34,63,2,7,6,0,0,0,0,0,0,0,3,4.666666666666667
0,ARI201909270,clart003,14,30,0,2,4,0,0,0,0,1,0,0,1,3.0
0,LAN201907020,clart003,32,39,1,5,1,0,0,0,0,3,0,0,3,3.6666666666666665
0,COL201905300,clart003,23,32,1,4,3,0,0,1,0,2,0,1,5,2.0
0,ARI201907240,clart003,30,57,2,4,7,0,0,0,0,0,0,0,2,6.0
0,ARI201906210,clart003,29,42,2,7,3,0,0,0,0,2,0,1,6,3.0
0,TBA201905070,clart003,29,61,1,7,2,0,0,0,0,0,0,0,2,6.0
0,ARI201908040,clart003,25,48,2,4,3,0,1,0,0,1,0,1,3,5.666666666666667
0,PHI201906100,clart003,29,48,2,6,4,0,0,0,0,2,0,0,4,3.3333333333333335
0,SFN201905250,clart003,36,64,0,5,4,0,1,0,0,3,0,1,0,6.333333333333333
0,ARI201907190,clart003,31,44,1,7,0,0,0,0,0,2,0,0,4,3.6666666666666665
0,ARI201906040,clart003,37,59,0,4,4,0,1,0,0,2,0,0,2,5.0
0,ARI201908170,clart003,16,37,1,5,1,0,0,0,0,1,0,0,3,1.6666666666666665
0,NYA201907300,clart003,41,54,0,3,6,0,0,0,0,2,0,1,0,5.333333333333333
0,ARI201906260,clart003,36,57,1,3,3,0,0,1,0,3,0,0,2,5.0
