,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TBA201706200,cobba001,40,73,0,8,6,0,0,0,0,2,0,0,2,7.0
0,MIA201406020,cobba001,32,59,0,5,5,0,1,0,0,2,0,0,3,6.0
0,NYA201609080,cobba001,27,57,2,9,1,0,1,0,0,0,0,0,3,6.0
0,CHA201805230,cobba001,29,52,1,8,3,0,0,1,0,2,0,0,6,3.6666666666666665
0,NYA201409110,cobba001,36,66,0,1,4,0,0,0,0,2,0,0,0,7.333333333333333
0,TBA201406070,cobba001,21,51,1,10,2,0,0,0,0,1,0,1,6,4.333333333333333
0,ATL201806220,cobba001,37,70,0,4,6,0,0,0,0,2,0,0,1,7.0
0,MIA201705020,cobba001,35,61,0,4,2,0,0,0,0,1,1,1,0,6.0
0,DET201407040,cobba001,32,54,0,5,5,0,1,0,0,2,0,2,2,5.0
0,KCA201708290,cobba001,22,63,2,7,6,0,0,3,0,0,0,0,3,6.0
0,TBA201408310,cobba001,37,68,0,7,6,0,1,0,0,1,0,0,1,6.333333333333333
0,BOS201805180,cobba001,30,63,1,10,3,0,0,0,0,1,0,0,3,6.333333333333333
0,PIT201706270,cobba001,32,66,0,2,4,0,0,0,0,1,0,0,0,8.0
0,TBA201808070,cobba001,38,62,0,5,3,0,0,1,0,2,0,0,1,7.0
0,CHN201408100,cobba001,34,61,0,6,6,0,0,0,0,0,0,0,1,6.0
0,BOS201705120,cobba001,41,66,0,4,5,0,0,0,0,3,0,0,3,6.333333333333333
0,TBA201409170,cobba001,40,60,0,4,3,0,0,0,0,3,0,1,3,6.0
0,BAL201804250,cobba001,31,46,0,10,0,0,0,0,0,1,0,1,5,4.666666666666667
0,HOU201707310,cobba001,26,38,2,9,0,0,0,0,0,2,0,0,8,3.0
0,BOS201409230,cobba001,43,59,0,5,3,0,0,1,0,2,0,1,1,6.666666666666667
0,MIN201407180,cobba001,37,62,1,5,2,0,0,0,0,2,0,2,2,5.666666666666667
0,BAL201406290,cobba001,24,58,1,8,3,0,0,0,0,0,0,0,3,5.0
0,CLE201409280,cobba001,24,67,2,10,5,0,0,0,0,0,0,0,4,6.0
0,PHI201807030,cobba001,36,67,0,4,5,0,0,0,0,2,1,1,3,6.666666666666667
0,BAL201709220,cobba001,31,63,1,9,4,0,0,2,0,1,0,0,3,6.0
0,ANA201805010,cobba001,40,57,1,7,2,0,0,0,0,0,2,0,2,6.0
