,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,ARI201404140,23,24,3,0,0,0,0,1,0,,3,4,6.75,0.0
0,LAN201404200,26,30,6,0,0,0,0,1,1,,4,6,6.0,0.0
0,ARI201404250,37,35,5,0,0,0,0,0,0,,0,6,0.0,0.0
0,ARI201404300,30,33,2,0,0,2,0,2,0,,4,7,5.142857142857143,0.0
0,MIL201405060,32,32,3,0,0,0,0,1,0,,1,6,1.5,0.0
0,ARI201405120,35,30,2,0,0,0,0,1,0,,4,5,7.2,0.0
0,ARI201405180,29,28,3,0,0,0,0,2,0,,3,6,4.5,0.0
0,NYN201405240,31,30,4,0,0,0,0,1,0,,2,6,3.0,0.0
0,ARI201405290,29,32,5,0,0,0,0,0,0,,0,9,0.0,0.0
0,COL201406040,23,26,2,0,0,0,0,2,0,,4,5,7.2,0.0
0,ARI201406090,35,33,5,0,0,0,0,1,0,,3,7,3.857142857142857,1.0
0,LAN201406140,32,27,3,0,0,0,0,2,1,,6,6,9.0,0.0
0,ARI201406200,38,32,4,0,0,0,0,4,0,,1,5,1.8,0.0
0,SDN201406280,28,27,4,0,0,0,0,2,0,,1,6,1.5,0.0
0,ATL201407040,33,32,3,0,0,0,0,1,0,,5,7,6.428571428571429,0.0
0,ARI201407090,36,34,6,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,ARI201407200,31,34,4,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,PHI201407260,28,19,4,0,0,0,0,0,0,,6,3,18.0,0.0
0,ARI201407310,30,33,4,0,0,0,0,2,0,,3,6,4.5,0.0
0,ARI201408060,29,31,6,0,0,0,0,2,0,,3,6,4.5,0.0
0,MIA201408170,31,31,4,0,0,0,0,1,0,,5,4,11.25,0.0
0,ARI201408220,34,40,8,0,0,0,0,0,0,,0,9,0.0,0.0
0,ARI201408290,24,29,5,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,SDN201409030,34,27,3,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,SFN201409100,33,30,3,0,0,0,0,2,0,,0,6,0.0,1.0
0,ARI201409160,31,33,1,0,0,0,0,0,0,,2,8,2.25,1.0
0,MIN201409220,41,38,5,0,0,0,0,1,0,,2,7,2.5714285714285716,1.0
0,ARI201409280,29,30,3,0,0,0,0,0,0,,1,8,1.125,0.0
0,ARI201504060,29,30,4,0,0,0,0,1,0,,4,5,7.2,0.0
0,ARI201504120,23,22,1,0,1,0,0,1,0,,3,5,5.4,0.0
0,SFN201504170,43,39,2,0,0,0,0,1,0,,0,9,0.0,0.0
0,ARI201504240,31,29,3,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,ARI201504290,32,31,6,0,0,0,0,0,0,,0,8,0.0,0.0
0,COL201505061,39,32,5,0,0,0,0,0,0,,5,8,5.625,0.0
0,ARI201505110,18,13,0,0,0,0,0,1,0,,9,2,40.5,0.0
0,PHI201505170,31,20,1,0,0,0,0,2,0,,4,6,6.0,0.0
0,ARI201505220,29,33,4,0,0,0,0,1,0,,2,5,3.6,0.0
0,SLN201505270,38,32,3,0,0,0,0,2,0,,2,5,3.6,0.0
0,ARI201506020,40,29,3,0,0,0,0,0,0,,3,6,4.5,0.0
0,ARI201506070,35,36,1,0,0,0,0,0,1,,5,6,7.5,0.0
0,ATL201609170,31,26,8,0,0,0,0,3,0,,2,5,3.6,0.0
0,MIA201609220,41,34,4,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,ATL201609290,33,35,4,0,0,0,0,0,0,,1,7,1.2857142857142858,1.0
