,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,OAK201609070,30,35,3,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,KCA201609130,34,32,2,0,0,1,0,1,0,,1,6,1.5,0.0
0,OAK201609190,27,24,6,0,0,0,0,0,0,,1,6,1.5,0.0
0,OAK201609250,19,25,5,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,SEA201610010,32,32,7,0,0,0,0,1,0,,3,5,5.4,0.0
0,OAK201704050,26,29,4,0,1,1,0,2,0,,5,5,9.0,0.0
0,KCA201704100,34,33,6,0,0,1,0,3,0,,0,7,0.0,0.0
0,OAK201704170,32,31,3,0,0,0,0,3,1,,5,6,7.5,0.0
0,OAK201704220,30,34,2,0,0,1,0,2,0,,2,6,3.0,1.0
0,HOU201704280,32,33,4,0,0,0,1,1,0,,3,5,5.4,0.0
0,MIN201705040,33,34,9,0,0,0,0,3,0,,2,6,3.0,0.0
0,OAK201705090,29,32,7,0,0,0,0,1,0,,7,5,12.6,0.0
0,NYA201705270,42,33,5,0,0,1,0,3,0,,3,6,4.5,1.0
0,CLE201706010,34,26,4,0,0,1,0,4,0,,1,6,1.5,0.0
0,OAK201706070,40,35,4,0,0,0,0,4,0,,4,6,6.0,0.0
0,MIA201706130,26,24,5,0,0,0,0,1,0,,5,5,9.0,0.0
0,OAK201706180,34,33,6,0,0,0,0,1,0,,3,7,3.857142857142857,1.0
0,CHA201706230,22,23,3,0,0,0,0,1,0,,0,6,0.0,0.0
0,OAK201707030,31,31,5,0,0,1,1,2,0,,4,5,7.2,0.0
0,OAK201707300,30,25,5,0,0,0,0,5,0,,5,4,11.25,0.0
0,ANA201708040,22,30,2,0,0,1,0,1,0,,3,6,4.5,1.0
0,OAK201708090,26,32,4,0,0,0,0,1,0,,6,6,9.0,0.0
0,OAK201708140,39,30,2,0,0,0,0,3,0,,5,6,7.5,0.0
0,HOU201708200,34,28,2,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,OAK201708270,36,32,9,0,0,1,0,0,0,,1,6,1.5,0.0
0,SEA201709020,30,20,1,0,0,0,0,2,0,,4,5,7.2,0.0
0,OAK201709080,28,35,4,0,0,0,0,3,0,,7,5,12.6,0.0
0,BOS201709130,31,24,3,0,0,0,0,2,0,,3,5,5.4,0.0
0,OAK201709240,25,30,6,0,0,0,0,1,0,,0,5,0.0,0.0
