,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PHI201608030,cuetj001,34,37,2,7,10,0,0,0,0,1,0,0,4,7.666666666666667
0,CIN201504280,cuetj001,28,27,2,3,6,0,0,0,0,0,0,1,2,8.0
0,CIN201405030,cuetj001,40,40,2,3,10,0,0,0,0,1,0,0,2,8.0
0,CIN201404160,cuetj001,36,37,0,3,12,0,0,0,0,0,0,0,0,9.0
0,CIN201404110,cuetj001,44,40,1,5,6,0,0,0,0,4,0,0,2,7.0
0,COL201408150,cuetj001,34,33,1,6,6,0,0,0,0,1,1,1,2,8.0
0,SLN201606030,cuetj001,38,28,0,4,1,0,0,0,0,5,0,0,0,5.666666666666667
0,TOR201507310,cuetj001,42,37,0,7,7,0,0,0,0,2,0,0,3,6.0
0,BOS201508210,cuetj001,30,31,1,13,3,0,0,0,0,0,0,0,6,6.0
0,ARI201709250,cuetj001,31,40,0,5,8,0,0,0,0,2,0,1,2,5.666666666666667
0,SFN201609150,cuetj001,40,28,0,5,7,0,0,0,0,1,0,0,2,9.0
0,MIL201504220,cuetj001,36,45,0,5,8,0,0,0,2,2,0,0,1,8.0
0,CIN201407260,cuetj001,33,35,0,4,9,0,0,0,0,3,0,0,0,7.0
0,NYA201407200,cuetj001,44,36,0,5,7,0,0,0,0,4,0,0,2,5.0
0,ARI201605120,cuetj001,37,35,0,8,9,0,0,0,0,2,0,0,2,7.0
0,MIA201407310,cuetj001,29,32,1,4,9,0,0,0,0,1,0,0,1,7.0
0,CHA201505091,cuetj001,34,47,2,6,7,0,0,0,0,2,0,0,3,8.333333333333334
0,MIA201507120,cuetj001,23,22,0,7,2,0,0,0,0,1,0,0,3,5.0
0,PHI201706030,cuetj001,35,41,1,8,9,0,1,0,0,0,0,0,1,6.0
0,WAS201507070,cuetj001,37,41,0,2,11,0,0,0,0,1,0,0,0,9.0
