,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TEX201609300,darvy001,27,70,0,3,12,0,0,0,0,1,0,0,1,6.0
0,TEX201705160,darvy001,25,70,0,4,9,0,0,0,0,2,0,0,1,7.0
0,TEX201608290,darvy001,34,76,0,6,9,0,0,0,0,2,0,0,1,6.666666666666667
0,CIN201805200,darvy001,37,57,0,2,7,0,0,0,0,3,0,2,1,6.0
0,PHI201908150,darvy001,26,66,0,4,10,0,1,1,0,0,0,2,0,7.0
0,NYN201708040,darvy001,31,68,0,3,10,0,0,0,0,1,0,0,0,7.0
0,OAK201404210,darvy001,49,67,1,8,6,0,0,0,0,4,0,0,3,6.0
0,CHN201904200,darvy001,38,50,2,5,7,0,0,0,0,3,0,0,3,5.0
0,TEX201707040,darvy001,29,59,1,11,4,0,0,0,0,0,0,0,7,4.333333333333333
0,TEX201404110,darvy001,38,63,0,1,9,0,0,0,0,1,0,0,0,8.0
0,TEX201609040,darvy001,29,51,1,7,4,0,0,2,0,3,0,0,5,4.0
0,TEX201407280,darvy001,28,80,2,9,8,0,0,1,0,1,0,0,2,7.0
0,CHN201804130,darvy001,44,61,1,9,4,0,1,1,1,4,0,0,4,4.666666666666667
0,TEX201704030,darvy001,42,56,1,4,4,0,0,1,0,5,0,0,4,6.666666666666667
0,DET201405220,darvy001,41,65,0,6,6,0,0,1,0,3,0,0,2,7.0
0,BAL201608020,darvy001,30,64,3,6,9,0,0,0,0,1,0,0,3,6.333333333333333
0,CHN201607160,darvy001,36,54,0,2,9,0,0,0,0,4,0,0,2,4.333333333333333
0,DET201705210,darvy001,42,63,1,5,7,0,0,1,0,4,0,0,2,5.0
0,TEX201608120,darvy001,36,71,1,5,5,0,0,0,0,1,0,1,2,6.666666666666667
0,MIL201804070,darvy001,35,59,1,2,9,0,0,1,0,1,0,0,1,6.0
0,ANA201405040,darvy001,45,71,2,7,9,0,0,0,0,1,0,1,2,6.333333333333333
0,CHN201906260,darvy001,36,56,2,5,8,0,0,1,0,2,0,0,5,5.0
0,KCA201607220,darvy001,32,59,1,7,11,0,0,0,0,1,0,0,2,6.0
0,MIL201909070,darvy001,24,48,0,3,7,0,0,0,0,1,0,0,0,5.0
0,CHN201907120,darvy001,32,62,0,2,8,0,0,0,0,1,0,0,0,6.0
0,KCA201707160,darvy001,28,70,0,8,6,0,1,1,0,1,0,0,2,6.666666666666667
0,CHN201805020,darvy001,32,54,3,7,8,0,0,0,0,3,0,0,5,4.333333333333333
0,OAK201609240,darvy001,32,67,0,2,9,0,0,0,0,1,0,0,0,7.0
