,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,MIL201704250,daviz001,29,31,0,6,6,0,0,0,0,1,0,0,0,5.0
0,MIL201709260,daviz001,25,19,1,6,0,0,0,0,0,2,0,1,2,4.0
0,MIL201804020,daviz001,31,28,1,8,6,0,1,0,0,0,0,1,4,5.666666666666667
0,LAN201904130,daviz001,35,30,1,8,6,0,0,0,0,0,0,0,1,7.0
0,SDN202008070,daviz001,31,28,0,3,6,0,0,0,0,0,0,0,0,5.666666666666667
0,MIL201607280,daviz001,27,34,0,6,5,0,0,0,0,1,0,0,2,6.333333333333333
0,MIL201609230,daviz001,28,24,1,7,3,0,0,0,0,0,0,0,3,5.0
0,MIL201706200,daviz001,29,33,2,10,4,0,0,0,0,1,0,1,7,5.0
0,WAS201607050,daviz001,32,31,0,9,3,0,0,0,0,1,0,0,2,6.666666666666667
0,MIL201706040,daviz001,39,33,0,3,6,0,0,0,0,1,0,0,0,6.0
0,MIL201809030,daviz001,28,30,0,4,7,0,0,0,0,1,0,0,1,5.0
0,SLN201609110,daviz001,33,32,0,5,7,0,0,0,0,1,0,0,0,7.333333333333333
0,MIL201704200,daviz001,40,28,1,8,5,0,0,1,0,2,0,0,4,5.333333333333333
0,ARI201706090,daviz001,34,24,1,4,4,0,0,0,0,2,0,1,3,5.0
0,MIL201904070,daviz001,31,30,1,5,1,0,0,0,0,2,0,0,0,5.666666666666667
0,SFN201906140,daviz001,25,20,2,6,2,0,0,0,0,1,0,0,3,5.0
0,MIL201608080,daviz001,32,31,2,8,3,0,0,0,0,0,0,0,3,7.0
0,MIL201909060,daviz001,31,22,1,3,4,0,0,0,0,1,0,0,1,5.0
0,MIL201909160,daviz001,29,22,0,2,4,0,0,0,0,2,0,0,1,5.0
0,TBA201708050,daviz001,35,31,0,1,2,0,0,1,0,2,0,0,0,7.0
0,NYN201705300,daviz001,33,26,0,6,1,0,0,0,0,2,0,0,2,4.666666666666667
0,MIL201809090,daviz001,26,23,1,6,2,0,0,0,0,1,0,0,2,5.0
0,SDN201705180,daviz001,28,29,1,5,3,0,0,0,0,2,0,0,2,6.0
0,MIL201904180,daviz001,37,31,0,3,2,0,1,0,0,3,0,0,0,5.0
0,CHN201804290,daviz001,35,36,0,5,3,0,0,0,0,1,1,1,2,5.666666666666667
0,MIL201905050,daviz001,40,38,1,6,5,0,0,0,0,1,0,0,2,7.666666666666667
0,CHN201905110,daviz001,28,26,0,6,5,0,0,0,0,1,0,0,1,6.333333333333333
0,MIN201905280,daviz001,29,29,0,5,4,0,0,0,0,2,0,0,0,6.0
0,NYN201804130,daviz001,38,32,2,7,4,0,0,0,0,2,0,0,3,4.333333333333333
0,PIT201906020,daviz001,42,32,0,8,3,0,0,0,0,1,0,0,2,8.0
0,CHN201608180,daviz001,27,29,1,10,4,0,0,0,0,1,0,0,7,4.0
0,MIL201704040,daviz001,44,26,0,9,1,0,0,0,0,4,0,0,4,4.333333333333333
0,SDN202009220,daviz001,36,32,2,7,5,0,0,0,0,3,0,0,3,6.0
0,MIL201907280,daviz001,25,21,2,4,1,0,0,0,0,3,0,0,7,5.0
0,MIL201608130,daviz001,34,30,0,8,4,0,0,1,0,1,0,0,3,5.0
0,PIT201809220,daviz001,23,24,0,4,3,0,0,1,0,1,0,0,2,4.0
0,MIL201606010,daviz001,32,38,0,3,9,0,0,0,0,0,0,0,0,8.0
0,MIL201705130,daviz001,35,33,1,7,2,0,1,0,0,1,0,2,4,5.0
0,MIL201708310,daviz001,32,32,0,6,4,0,0,0,0,2,0,0,2,7.0
0,MIL201608240,daviz001,38,31,1,5,8,0,0,0,0,3,0,0,1,6.0
0,CIN201704150,daviz001,31,30,1,5,4,0,0,0,0,1,1,0,3,5.0
0,CIN201904010,daviz001,32,26,0,4,6,0,0,1,0,4,0,1,2,5.0
0,MIL201605040,daviz001,32,33,0,5,3,0,0,0,0,3,0,0,2,6.0
0,MIL201704090,daviz001,32,30,1,7,6,0,0,0,0,2,0,0,5,5.0
0,MIL201804070,daviz001,37,37,1,4,8,0,0,0,0,3,0,0,1,6.0
0,COL202008020,daviz001,26,23,2,4,2,0,0,1,0,1,0,0,3,5.0
0,CHN201908020,daviz001,32,26,2,7,2,0,0,1,0,2,0,0,4,4.0
0,WAS201707250,daviz001,40,39,0,3,7,0,0,0,0,3,0,0,0,7.666666666666667
0,PIT201907050,daviz001,34,26,0,4,4,0,0,0,0,1,0,0,0,5.0
0,MIL201605150,daviz001,28,33,1,3,6,0,0,0,0,0,0,0,2,6.333333333333333
0,MIL201908250,daviz001,31,23,2,4,3,0,0,0,0,1,0,0,4,4.0
0,MIL201907130,daviz001,44,34,0,2,5,0,0,1,0,2,0,0,0,6.0
0,SFN202007280,daviz001,27,28,0,5,5,0,0,0,0,0,0,0,0,5.0
0,CHN201509230,daviz001,30,31,0,2,4,0,0,0,0,1,0,0,0,6.0
0,MIL201509020,daviz001,28,28,1,4,3,0,0,0,0,3,0,0,3,4.333333333333333
0,MIA201709160,daviz001,26,23,1,8,2,0,0,0,0,0,0,0,6,4.0
0,MIL201608290,daviz001,24,35,2,7,9,0,0,0,0,0,0,0,3,6.333333333333333
0,SLN201904230,daviz001,37,35,0,7,4,0,0,0,0,1,0,0,2,4.666666666666667
0,CHN201707060,daviz001,29,38,1,5,3,0,0,0,0,0,0,2,2,6.0
0,LAN201606170,daviz001,31,29,1,5,6,0,1,0,0,1,0,1,1,7.0
0,MIA201909110,daviz001,34,30,0,4,3,0,0,0,0,2,0,0,2,4.333333333333333
0,MIA201605100,daviz001,36,21,0,5,1,0,0,0,0,3,0,0,2,5.0
0,MIL201805290,daviz001,27,29,2,8,4,0,0,0,0,2,1,1,5,5.0
0,MIL201604220,daviz001,36,32,1,9,5,0,0,0,0,1,0,1,4,6.0
0,MIL201707140,daviz001,40,32,1,7,6,0,0,0,0,5,0,0,5,5.333333333333333
0,MIL201509180,daviz001,36,33,1,5,4,0,0,0,0,4,0,0,3,6.0
0,MIL201708150,daviz001,34,29,0,6,2,0,0,0,0,2,0,1,1,6.666666666666667
0,MIL201705250,daviz001,34,29,2,7,2,0,1,0,0,2,0,0,3,6.0
