,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,NYN201405150,32,30,6,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,NYN201405210,38,28,4,0,0,0,0,2,1,,3,6,4.5,0.0
0,NYN201405260,50,37,4,0,0,0,0,5,0,,0,7,0.0,0.0
0,PHI201405310,37,34,11,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,CHN201406050,28,32,3,0,0,0,0,3,0,,4,5,7.2,0.0
0,NYN201406110,26,38,4,0,0,0,0,1,0,,3,6,4.5,0.0
0,SLN201406160,33,28,2,0,0,0,0,2,0,,6,5,10.8,0.0
0,MIA201406210,31,37,7,0,0,0,0,3,0,,0,7,0.0,0.0
0,PIT201406270,23,31,4,0,0,0,0,3,0,,2,7,2.5714285714285716,1.0
0,ATL201407020,39,34,8,0,0,0,0,2,0,,3,5,5.4,0.0
0,NYN201407080,35,35,11,0,0,0,0,0,0,,0,7,0.0,0.0
0,NYN201407130,39,39,8,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,SEA201407220,28,40,7,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,MIL201407270,36,36,4,0,0,0,0,2,0,,0,7,0.0,0.0
0,NYN201408020,27,37,7,0,0,0,0,1,0,,2,8,2.25,0.0
0,WAS201408070,33,32,4,0,0,0,0,1,0,,3,6,4.5,0.0
0,LAN201408230,21,33,7,0,0,0,0,2,0,,5,6,7.5,0.0
0,NYN201408290,31,37,5,0,0,0,0,2,0,,0,7,0.0,0.0
0,MIA201409030,40,37,6,0,0,0,0,1,1,,1,6,1.5,0.0
0,NYN201409090,25,38,9,0,0,0,0,0,0,,0,8,0.0,0.0
0,NYN201409150,29,37,13,0,0,1,0,1,0,,3,7,3.857142857142857,0.0
0,ATL201409210,34,34,10,0,0,0,0,3,0,,1,6,1.5,0.0
0,WAS201504080,26,35,6,0,0,0,0,1,1,,2,6,3.0,0.0
0,NYN201504130,34,31,3,0,0,0,0,1,0,,0,7,0.0,0.0
0,NYN201504180,32,40,8,0,0,0,0,0,0,,0,7,0.0,0.0
0,NYA201504240,27,28,2,0,0,0,0,2,0,,6,5,10.8,0.0
0,NYN201504300,31,27,4,0,0,0,0,2,0,,3,6,4.5,0.0
0,NYN201505060,31,37,9,0,0,0,0,1,0,,1,7,1.2857142857142858,1.0
0,CHN201505110,35,32,5,0,0,0,0,3,1,,4,5,7.2,1.0
0,NYN201505160,34,32,6,0,0,0,0,1,0,,1,6,1.5,0.0
0,NYN201505210,25,38,11,0,0,0,0,0,0,,0,8,0.0,0.0
0,NYN201505260,28,40,9,0,0,0,0,0,0,,2,8,2.25,0.0
0,SDN201506010,33,34,8,0,0,0,0,0,0,,0,8,0.0,0.0
0,ARI201506070,39,37,10,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,NYN201506130,25,41,9,0,0,1,0,1,0,,1,7,1.2857142857142858,0.0
0,ATL201506190,32,31,3,0,0,1,0,1,0,,2,8,2.25,0.0
0,MIL201506250,23,38,7,0,0,0,0,0,0,,0,8,0.0,0.0
0,NYN201507020,38,37,2,0,0,0,0,2,0,,3,6,4.5,0.0
0,SFN201507080,28,37,10,0,0,0,0,1,0,,0,8,0.0,0.0
0,WAS201507210,20,32,8,0,0,0,0,0,0,,2,6,3.0,0.0
0,NYN201507260,36,37,8,0,0,0,0,2,0,,0,8,0.0,0.0
0,NYN201508010,38,38,7,0,0,0,0,1,0,,2,6,3.0,0.0
0,TBA201508070,31,40,7,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,NYN201508120,30,40,10,0,0,0,0,4,0,,0,7,0.0,0.0
0,BAL201508180,29,33,6,0,0,0,0,1,0,,1,8,1.125,0.0
0,PHI201508240,30,29,3,0,0,1,0,3,0,,6,3,18.0,0.0
0,NYN201508290,33,39,10,0,0,2,0,2,0,,2,6,3.0,0.0
0,MIA201509040,27,33,4,0,0,0,0,0,0,,3,6,4.5,0.0
0,WAS201509090,30,38,9,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,NYN201509150,25,29,5,0,0,0,0,0,0,,6,5,10.8,0.0
0,CIN201509270,25,38,9,0,0,0,0,0,0,,1,6,1.5,0.0
0,NYN201510040,21,27,7,0,0,0,0,2,0,,0,4,0.0,0.0
0,NYN201604080,23,30,6,0,0,0,0,0,0,,1,6,1.5,0.0
0,ATL201604240,23,31,3,0,0,0,0,0,0,,1,6,1.5,0.0
0,NYN201604300,36,34,5,0,0,0,0,4,0,,0,6,0.0,0.0
0,SDN201605050,26,28,2,0,0,0,0,1,0,,3,5,5.4,0.0
0,LAN201605100,32,36,4,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,COL201605150,27,33,3,0,0,1,0,3,0,,3,7,3.857142857142857,0.0
0,NYN201605210,32,35,7,0,0,1,0,3,0,,4,5,7.2,0.0
0,NYN201605270,38,30,7,0,0,0,0,3,0,,1,7,1.2857142857142858,1.0
0,NYN201606010,37,38,10,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,PIT201606072,39,37,9,0,0,0,0,0,0,,3,6,4.5,0.0
0,NYN201606140,36,37,9,0,0,0,0,1,0,,2,6,3.0,0.0
0,NYN201606190,33,30,6,0,0,0,0,1,0,,3,6,4.5,1.0
0,ATL201606250,35,33,6,0,0,1,0,1,0,,0,8,0.0,0.0
