,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,COL201404040,37,34,3,0,0,0,0,2,0,,6,5,10.8,0.0
0,SFN201404100,28,20,0,0,0,0,0,3,0,,3,4,6.75,0.0
0,SDN201409040,22,20,2,0,0,0,0,0,0,,0,5,0.0,0.0
0,SFN201409110,28,24,3,0,0,0,0,2,0,,3,4,6.75,0.0
0,CIN201508220,23,25,2,0,0,1,0,2,0,,4,3,12.0,0.0
0,ARI201705240,24,20,3,0,0,0,0,1,0,,1,4,2.25,0.0
0,PIT201705290,29,31,8,0,0,0,0,0,0,,1,6,1.5,0.0
0,MIA201706030,33,29,4,0,0,0,0,1,0,,1,6,1.5,0.0
0,ARI201706090,31,31,5,0,0,0,0,2,0,,4,5,7.2,0.0
0,ARI201706250,31,23,4,0,1,0,0,1,0,,0,5,0.0,0.0
