,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SEA201509280,eliar001,41,59,2,3,5,0,0,0,0,2,0,1,2,6.0
0,MIA201404190,eliar001,47,64,1,8,5,0,0,0,1,4,1,0,4,5.666666666666667
0,TBA201406070,eliar001,39,60,2,5,5,0,0,1,0,2,0,0,4,7.666666666666667
0,SEA201808190,eliar001,30,54,0,7,2,0,0,0,0,2,0,0,5,3.0
0,SEA201505300,eliar001,39,51,1,5,3,0,0,0,0,4,0,0,3,5.333333333333333
0,SEA201406010,eliar001,39,72,0,3,8,0,0,0,0,1,0,1,0,9.0
0,SEA201408300,eliar001,39,63,1,6,5,0,0,0,0,1,1,0,2,6.0
0,CHA201407040,eliar001,32,55,2,7,6,0,0,0,0,1,0,1,5,5.0
0,OAK201404030,eliar001,34,46,0,2,3,0,0,0,0,3,0,0,1,4.666666666666667
0,SEA201509070,eliar001,42,60,0,5,6,0,0,0,0,2,0,1,2,5.333333333333333
0,NYA201405010,eliar001,37,73,1,6,10,0,0,0,0,2,0,0,2,7.0
0,SEA201406170,eliar001,27,60,1,3,6,0,0,0,0,0,0,1,1,7.0
0,SEA201809300,eliar001,17,41,0,1,4,0,0,0,0,0,0,0,0,5.0
0,TEX201404140,eliar001,34,70,0,5,5,0,0,0,0,2,0,0,1,6.666666666666667
0,SEA201505140,eliar001,33,56,1,8,2,0,0,0,0,2,0,0,1,6.333333333333333
0,SEA201405110,eliar001,26,61,1,9,5,0,1,0,0,1,0,0,3,5.0
0,SEA201506040,eliar001,33,63,0,5,6,0,0,0,1,1,0,1,2,8.0
0,SEA201807240,eliar001,26,49,0,6,5,0,0,0,0,1,0,0,2,3.6666666666666665
0,OAK201507020,eliar001,35,69,1,3,7,0,0,0,0,1,0,0,3,6.0
0,HOU201505010,eliar001,38,63,2,6,8,0,0,1,0,3,0,0,3,6.0
0,OAK201405060,eliar001,43,64,1,5,6,0,0,1,0,3,0,0,3,6.333333333333333
0,HOU201509010,eliar001,42,58,1,5,4,0,0,0,0,3,1,0,3,5.333333333333333
0,BAL201408010,eliar001,29,58,0,7,7,0,0,1,0,1,0,0,1,5.666666666666667
0,ANA201409160,eliar001,26,32,0,5,1,0,0,0,0,1,0,1,2,3.0
0,BAL201505200,eliar001,30,66,0,6,4,0,0,0,0,0,0,0,0,7.666666666666667
0,SEA201404250,eliar001,34,62,0,5,6,0,0,1,0,3,0,0,2,5.666666666666667
0,CHA201508270,eliar001,28,68,0,9,3,0,0,0,0,0,0,1,3,6.666666666666667
0,KCA201406220,eliar001,33,59,0,5,5,0,0,0,0,2,0,1,1,6.666666666666667
0,ANA201809140,eliar001,22,36,0,1,4,0,0,0,0,2,0,0,0,3.6666666666666665
0,TEX201409040,eliar001,30,42,0,7,1,0,0,0,0,1,0,1,1,4.666666666666667
0,BOS201606170,eliar001,31,37,2,7,2,0,0,0,0,3,0,0,7,3.6666666666666665
0,SEA201406120,eliar001,31,39,1,6,4,0,0,0,0,3,0,0,4,3.3333333333333335
0,MIN201405170,eliar001,30,62,1,6,4,0,0,1,1,1,0,1,4,7.0
0,SEA201407270,eliar001,33,52,0,4,6,0,0,0,0,3,0,0,1,5.0
0,SEA201408250,eliar001,42,55,0,3,6,0,0,0,0,4,0,0,1,5.0
0,SEA201504260,eliar001,35,70,0,6,6,0,0,0,0,3,0,1,2,5.666666666666667
0,SEA201510030,eliar001,24,27,1,7,0,0,0,0,0,3,0,0,3,2.0
0,KCA201509230,eliar001,42,53,0,4,6,0,0,0,0,4,0,0,1,5.333333333333333
0,SEA201409090,eliar001,27,56,0,6,4,0,1,0,0,2,0,0,1,6.0
0,SEA201407090,eliar001,32,51,0,7,3,0,0,0,0,2,1,0,5,3.3333333333333335
0,SEA201406280,eliar001,42,58,1,6,2,0,0,0,1,2,0,0,5,6.0
0,SEA201404090,eliar001,37,54,1,4,2,0,0,0,0,1,0,1,2,5.0
0,HOU201506140,eliar001,42,50,0,7,2,0,0,0,0,4,0,1,5,3.3333333333333335
0,SEA201506240,eliar001,22,38,1,5,2,0,0,0,0,1,0,1,6,3.6666666666666665
0,SEA201506190,eliar001,29,67,2,4,10,0,0,0,0,0,0,2,2,7.0
0,SEA201408070,eliar001,33,59,1,2,5,0,0,0,0,2,0,1,2,5.666666666666667
0,CLE201506090,eliar001,38,46,1,5,3,0,0,0,0,2,0,0,1,6.0
0,SEA201509120,eliar001,27,43,0,1,8,0,0,0,0,3,0,0,0,5.333333333333333
0,PHI201408180,eliar001,42,48,0,3,4,0,0,0,0,6,0,1,1,4.0
0,SEA201405270,eliar001,32,60,0,8,5,0,0,0,0,1,0,1,4,6.333333333333333
0,ANA201505060,eliar001,27,70,1,6,5,0,0,0,0,1,0,0,3,7.0
0,SEA201405220,eliar001,47,53,1,3,6,0,0,0,0,4,0,0,1,5.333333333333333
0,SEA201407210,eliar001,33,57,0,5,8,0,0,1,1,2,0,0,1,5.333333333333333
0,TBA201505250,eliar001,31,63,1,6,6,0,0,0,0,3,0,0,1,6.0
