,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TBA201706070,31,34,5,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,TOR201706130,37,36,8,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,DET201706180,40,38,9,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,TBA201706240,31,41,7,0,0,1,0,1,0,,3,6,4.5,2.0
0,BAL201706300,37,36,6,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,TBA201707060,33,33,2,0,0,0,0,4,0,,1,6,1.5,1.0
0,ANA201707140,39,36,4,0,0,1,0,2,0,,1,7,1.2857142857142858,1.0
0,OAK201707190,38,29,4,0,1,2,0,4,0,,4,5,7.2,0.0
0,TBA201707250,33,35,5,0,0,0,0,2,0,,3,8,3.375,0.0
0,NYA201707300,40,28,8,0,0,1,0,5,0,,3,5,5.4,0.0
0,TBA201708040,37,37,9,0,0,0,0,2,0,,1,6,1.5,0.0
0,TBA201708110,38,29,7,0,0,0,0,3,0,,5,6,7.5,0.0
0,TOR201708160,31,34,3,0,0,0,0,2,0,,3,6,4.5,1.0
0,NYA201709280,24,19,2,0,0,0,0,2,0,,2,3,6.0,0.0
0,TBA201804010,26,27,2,0,0,0,0,3,0,,1,5,1.8,1.0
0,BOS201804070,34,21,0,0,0,0,0,5,0,,8,2,36.0,0.0
0,TBA201804130,26,31,7,0,1,0,0,2,0,,1,6,1.5,0.0
0,TBA201804180,30,28,6,0,0,0,0,0,1,,1,6,1.5,0.0
0,BAL201804250,30,29,5,0,0,0,0,3,0,,4,5,7.2,0.0
0,DET201804300,37,39,6,0,1,1,0,1,0,,0,8,0.0,0.0
0,TBA201805050,26,23,4,0,0,0,0,1,0,,1,6,1.5,0.0
0,BAL201805110,37,27,3,0,0,0,0,1,0,,7,7,9.0,1.0
0,KCA201805160,33,31,2,0,0,1,0,4,0,,3,5,5.4,1.0
0,TBA201805220,17,13,2,0,0,0,0,1,0,,3,3,9.0,0.0
0,NYA201808150,24,20,2,0,0,0,0,2,0,,1,4,2.25,0.0
0,TBA201809250,17,12,2,0,0,0,0,1,0,,3,3,9.0,0.0
