,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PIT201609110,finnb001,40,55,0,5,7,0,0,0,0,5,0,0,0,5.0
0,MIL201509180,finnb001,26,49,1,3,4,0,0,0,0,2,0,0,1,5.0
0,SLN201706260,finnb001,25,30,1,3,2,0,0,0,0,4,0,0,3,2.6666666666666665
0,CIN201609060,finnb001,45,60,2,3,6,0,0,0,0,3,1,0,2,5.0
0,CIN201604060,finnb001,32,54,1,3,9,0,0,1,0,1,0,0,2,6.0
0,ARI201608260,finnb001,29,68,1,3,12,0,0,0,0,2,0,0,2,6.0
0,CIN201804300,finnb001,39,50,2,5,2,0,0,0,0,3,0,0,3,5.0
0,LAN201605230,finnb001,45,62,0,5,2,0,1,2,0,4,0,0,1,7.666666666666667
0,MIL201605290,finnb001,45,58,0,6,4,0,0,0,0,4,0,0,4,6.333333333333333
0,CIN201605020,finnb001,33,57,0,6,4,0,0,0,0,3,0,1,3,6.0
0,CIN201605180,finnb001,36,60,1,8,6,0,0,0,0,0,0,0,3,5.666666666666667
0,CIN201604210,finnb001,28,47,2,7,2,0,0,0,0,2,0,0,5,4.0
0,CIN201608200,finnb001,33,63,0,1,8,0,0,0,0,2,0,0,0,7.0
0,NYN201604260,finnb001,45,58,1,5,5,0,1,0,0,3,0,1,3,6.333333333333333
0,SLN201608090,finnb001,45,53,2,6,5,0,0,0,1,5,1,0,3,6.0
0,CIN201606090,finnb001,37,74,0,5,7,0,0,1,1,1,0,0,2,7.0
0,WAS201509280,finnb001,36,47,1,8,3,0,0,0,0,2,0,0,3,5.0
0,CIN201805060,finnb001,27,40,0,4,2,0,0,0,0,2,1,0,3,3.3333333333333335
0,CIN201606030,finnb001,40,65,1,5,2,0,1,0,0,3,0,0,1,6.333333333333333
0,MIL201609250,finnb001,15,39,0,3,4,0,0,0,0,0,0,0,0,5.0
0,CIN201608040,finnb001,27,52,0,2,4,0,0,0,0,0,0,0,0,6.0
0,SDN201607290,finnb001,39,51,0,4,5,0,0,0,0,3,0,0,0,5.666666666666667
0,PIT201704100,finnb001,34,35,0,4,4,0,0,0,0,5,0,0,1,2.0
0,CIN201609172,finnb001,30,53,0,7,1,0,0,0,0,3,0,0,2,2.3333333333333335
0,SLN201804200,finnb001,35,44,0,5,2,0,0,1,0,3,1,0,4,3.0
0,CIN201704150,finnb001,16,10,0,1,1,0,1,1,0,3,0,0,2,1.0
0,CIN201608150,finnb001,37,60,2,7,3,0,0,0,0,3,0,0,4,5.333333333333333
0,PIT201510030,finnb001,37,51,0,3,6,0,0,0,0,2,0,0,1,6.0
0,CIN201607240,finnb001,29,58,3,7,3,0,0,0,0,2,0,0,6,5.0
0,WAS201606300,finnb001,38,41,2,5,2,0,0,0,0,5,0,0,8,2.3333333333333335
0,HOU201606190,finnb001,34,38,1,5,1,0,0,1,0,3,0,1,4,4.666666666666667
0,ANA201608310,finnb001,26,58,0,5,9,0,0,0,0,0,0,0,2,7.0
0,SLN201604160,finnb001,40,58,1,4,2,0,0,0,0,4,0,0,0,5.0
0,CIN201804140,finnb001,39,52,2,6,4,0,0,0,0,4,0,0,5,4.333333333333333
0,CIN201606250,finnb001,45,65,1,5,8,0,0,0,0,3,0,0,3,6.666666666666667
0,CHN201607050,finnb001,38,53,4,5,4,0,0,0,0,4,0,0,5,5.0
0,CIN201607180,finnb001,38,56,1,7,5,0,0,0,0,1,0,0,2,5.0
0,CIN201605070,finnb001,30,55,3,7,1,0,0,0,0,0,0,0,3,5.0
0,CIN201804250,finnb001,25,52,1,7,4,0,0,0,0,1,0,0,2,5.0
0,ATL201606140,finnb001,40,62,0,4,5,0,0,0,0,3,0,1,1,6.0
0,PHI201605130,finnb001,42,43,0,4,4,0,1,0,0,5,0,0,3,4.0
0,CIN201704050,finnb001,30,58,0,1,9,0,0,0,0,1,0,0,0,7.0
0,CHN201604110,finnb001,46,65,0,1,5,0,0,1,0,5,0,0,0,6.666666666666667
0,SLN201509230,finnb001,21,51,3,7,7,0,0,0,0,1,0,0,6,5.0
