,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SFN201807080,flahj002,28,41,0,5,2,0,0,0,0,2,0,0,3,2.3333333333333335
0,TEX201905190,flahj002,36,51,1,4,5,0,0,0,0,2,0,0,2,6.0
0,NYN201906130,flahj002,40,61,1,6,8,0,0,0,0,2,0,0,3,5.333333333333333
0,SLN201907160,flahj002,42,61,0,3,8,0,0,0,0,2,1,0,1,7.0
0,SLN201909140,flahj002,36,66,1,5,10,0,0,0,0,2,0,0,3,6.0
0,SLN201808280,flahj002,24,64,0,4,5,0,0,0,0,0,0,0,1,7.0
0,SLN201909290,flahj002,21,48,0,2,6,0,0,0,0,1,0,0,0,7.0
0,ARI201909240,flahj002,35,63,0,1,11,0,0,0,0,2,0,0,0,7.0
0,LAN201808220,flahj002,37,64,1,1,10,0,0,0,0,2,0,0,1,6.0
0,WAS201809030,flahj002,46,54,1,3,5,0,0,0,0,4,1,1,1,5.0
0,SDN201709060,flahj002,34,52,1,3,4,0,0,0,0,4,0,0,1,5.0
0,ARI201807030,flahj002,36,67,1,4,7,0,0,0,0,1,0,1,4,6.0
0,SLN201905260,flahj002,32,59,0,3,7,0,0,0,0,0,0,1,0,5.666666666666667
0,SEA201907020,flahj002,42,61,1,7,7,0,0,0,0,4,0,0,4,4.666666666666667
0,CIN201907210,flahj002,30,56,0,6,7,0,0,0,0,2,0,1,0,4.333333333333333
0,PIT201808050,flahj002,28,56,0,3,7,0,0,0,0,1,0,1,0,6.0
0,SLN201904100,flahj002,30,69,1,3,8,0,0,0,0,0,0,1,1,6.0
0,SLN201909030,flahj002,29,84,0,1,8,0,0,0,0,1,0,0,0,8.0
0,LAN201908070,flahj002,30,67,0,4,10,0,0,0,0,1,0,0,0,7.0
0,SLN201805200,flahj002,40,80,1,2,13,0,0,0,0,1,0,0,1,7.666666666666667
0,SLN201807140,flahj002,26,43,0,2,5,0,0,0,0,3,0,0,0,5.0
0,SLN201904050,flahj002,41,57,0,6,6,0,0,1,0,2,0,0,0,5.0
0,SLN201806170,flahj002,45,52,0,2,7,0,1,0,0,3,0,2,0,5.0
0,SLN201807310,flahj002,42,63,1,5,7,0,0,0,0,2,0,0,3,5.333333333333333
0,SLN201805310,flahj002,37,65,1,7,5,0,1,0,0,0,0,1,3,5.0
0,CHN201909190,flahj002,34,84,1,3,8,0,0,1,0,1,0,0,1,8.0
0,CHN201905030,flahj002,44,66,1,4,9,0,0,0,0,4,0,0,3,5.666666666666667
0,CIN201709190,flahj002,12,22,0,3,2,0,0,0,0,1,0,0,2,2.0
0,ATL201905140,flahj002,48,61,0,3,6,0,0,0,0,5,0,0,3,6.0
0,SLN201906250,flahj002,32,60,3,9,5,0,0,0,0,1,0,0,5,4.666666666666667
0,MIL201804030,flahj002,34,57,0,6,9,0,0,0,0,1,0,0,1,5.0
0,MIL201904160,flahj002,24,51,2,9,4,0,0,0,0,1,0,0,5,2.6666666666666665
0,DET201809080,flahj002,35,57,0,4,6,0,0,2,0,4,0,0,3,5.0
0,SLN201808170,flahj002,36,59,0,3,7,0,0,0,0,3,0,0,0,6.0
0,SLN201710010,flahj002,25,56,1,5,5,0,0,0,0,2,0,0,4,5.0
0,SLN201904280,flahj002,29,60,0,4,4,0,0,0,0,1,0,0,0,7.0
0,CIN201908180,flahj002,28,55,1,3,5,0,0,0,0,3,0,1,1,5.0
0,PIT201805260,flahj002,27,61,1,4,4,0,0,0,0,2,0,0,1,6.0
0,CHN201809300,flahj002,27,36,0,4,3,0,0,2,0,2,1,0,3,2.6666666666666665
0,ATL201809190,flahj002,26,54,1,5,6,0,0,1,0,2,0,0,4,4.666666666666667
0,MIL201903290,flahj002,37,52,1,7,4,0,0,1,0,1,0,0,4,4.333333333333333
0,CHN201807200,flahj002,42,68,1,2,9,0,0,0,0,4,0,2,1,5.0
0,KCA201808110,flahj002,35,71,1,3,9,0,1,0,0,3,0,0,2,7.0
0,SLN201806270,flahj002,31,46,2,6,5,0,0,0,0,1,1,0,4,4.0
0,SFN201907070,flahj002,25,58,1,2,6,0,0,0,0,1,0,0,1,7.0
0,SLN201906010,flahj002,21,56,2,4,8,0,0,0,0,0,0,0,2,5.0
0,SLN201709130,flahj002,25,42,1,4,3,0,0,0,0,2,0,1,1,4.333333333333333
0,KCA201908130,flahj002,43,68,0,3,7,0,0,0,0,0,1,1,0,7.0
0,SLN201906180,flahj002,34,68,2,4,8,0,1,0,0,1,0,0,3,7.0
0,SLN201908230,flahj002,28,60,0,3,9,0,0,0,0,1,0,1,0,6.0
0,PIT201804280,flahj002,34,48,1,4,2,0,0,0,0,4,0,0,1,5.0
0,CIN201807250,flahj002,32,49,2,4,8,0,1,0,0,2,0,0,3,5.0
0,MIL201908280,flahj002,41,60,1,5,7,0,0,0,0,1,0,0,2,6.0
0,PIT201909080,flahj002,38,74,0,5,10,0,0,1,0,1,0,1,0,8.0
0,SLN201904220,flahj002,36,67,3,3,10,0,0,0,0,1,0,0,4,6.0
0,SLN201905080,flahj002,36,55,0,4,2,0,0,0,0,3,0,0,3,5.0
0,SLN201809140,flahj002,38,65,1,4,8,0,0,1,0,2,0,0,1,6.0
0,SLN201806060,flahj002,32,60,1,8,6,0,0,0,0,1,0,1,4,5.0
0,MIN201805150,flahj002,38,60,0,5,3,0,1,0,0,1,0,0,1,5.666666666666667
0,MIL201806220,flahj002,39,71,1,1,13,0,0,0,0,2,0,1,1,7.0
0,SLN201806110,flahj002,40,58,1,3,6,0,0,0,0,1,0,0,1,6.333333333333333
0,SLN201809240,flahj002,36,57,1,4,5,0,0,0,0,2,0,1,1,5.333333333333333
0,SFN201709010,flahj002,28,44,1,8,6,0,0,0,0,0,1,0,5,4.0
0,SLN201908010,flahj002,33,65,0,1,9,0,0,1,0,2,0,0,0,7.0
0,SLN201907260,flahj002,38,70,1,3,9,0,0,0,0,1,0,0,2,6.0
0,CHN201906080,flahj002,40,56,1,5,0,0,0,0,0,3,0,0,4,3.6666666666666665
