,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ATL201508080,foltm001,43,29,0,5,3,0,0,0,0,4,0,1,2,5.666666666666667
0,NYN201605020,foltm001,38,31,3,8,4,0,0,0,0,1,1,0,4,3.6666666666666665
0,SFN201705270,foltm001,26,23,2,7,4,0,0,0,0,1,0,0,5,4.0
0,ATL201609010,foltm001,28,33,2,4,3,0,0,0,0,0,0,0,3,6.0
0,WAS201707060,foltm001,30,38,1,8,5,0,0,0,0,0,1,0,2,6.0
0,ATL201605300,foltm001,25,34,1,3,4,0,0,0,0,2,0,1,1,6.0
0,ATL201505190,foltm001,25,35,1,8,7,0,0,1,0,1,0,1,5,5.0
0,ATL201705220,foltm001,35,36,0,8,5,0,0,0,0,2,0,0,1,5.0
0,ATL201804170,foltm001,41,35,0,4,8,0,0,1,0,4,0,0,1,6.0
0,TBA202007270,foltm001,28,20,3,4,3,0,0,0,0,4,0,0,5,3.3333333333333335
0,CIN201706020,foltm001,44,31,0,2,10,0,0,0,0,2,0,0,0,7.0
0,ARI201506030,foltm001,33,36,1,8,5,0,0,0,1,2,0,0,4,5.666666666666667
0,ATL201806120,foltm001,26,25,0,2,6,0,0,0,0,0,0,1,0,5.0
0,WAS201608120,foltm001,33,35,1,5,3,0,0,0,0,2,0,0,4,5.666666666666667
0,ATL201904270,foltm001,25,27,2,6,5,0,0,0,0,1,0,0,3,6.0
0,COL201607210,foltm001,45,37,1,4,5,0,0,1,0,5,0,0,3,5.666666666666667
0,PHI201607050,foltm001,26,33,4,8,5,0,1,1,0,0,1,0,5,5.666666666666667
0,ATL201505060,foltm001,32,32,1,7,7,0,0,0,0,3,0,0,2,5.333333333333333
0,WAS201706120,foltm001,28,22,3,11,0,0,0,0,0,2,0,0,7,3.3333333333333335
0,ATL201806250,foltm001,33,30,1,1,4,0,0,0,0,4,0,0,1,5.0
0,ATL201906160,foltm001,33,35,0,4,6,0,0,1,0,5,0,0,1,6.0
0,ATL201606300,foltm001,17,22,1,2,2,0,0,0,1,2,0,1,2,3.0
0,PHI201809280,foltm001,23,29,0,1,9,0,0,0,0,0,0,1,1,5.0
0,ATL201808300,foltm001,34,34,1,6,5,0,0,0,1,1,1,1,4,6.0
0,MIN201607270,foltm001,29,38,1,12,3,0,0,1,0,0,0,0,6,5.333333333333333
0,ATL201808132,foltm001,39,41,0,5,7,0,0,0,0,3,0,0,1,8.0
0,PIT201704070,foltm001,31,31,0,6,1,0,0,0,0,3,0,1,2,3.6666666666666665
0,ATL201905190,foltm001,23,21,2,3,3,0,0,0,0,0,0,0,2,6.0
0,ATL201608020,foltm001,29,38,0,4,4,0,0,0,0,3,0,1,3,5.333333333333333
0,MIL201704300,foltm001,26,28,2,4,6,0,0,0,0,0,0,0,1,6.0
0,ATL201505010,foltm001,28,34,0,6,2,0,0,0,0,3,0,0,2,5.0
0,ATL201803300,foltm001,34,31,2,5,7,0,0,1,0,1,0,0,2,5.0
0,PIT201906060,foltm001,37,35,2,6,5,0,0,0,0,1,0,0,3,6.0
0,TOR201908280,foltm001,36,31,0,8,3,0,0,0,0,2,0,0,2,4.666666666666667
0,MIL201807060,foltm001,29,43,2,6,7,0,0,0,0,0,0,1,5,6.0
0,ARI201608220,foltm001,35,39,1,9,7,0,0,0,0,0,0,0,4,6.0
0,ATL201905140,foltm001,35,29,3,7,4,0,0,0,0,3,0,0,8,4.666666666666667
0,NYN201808020,foltm001,32,30,1,5,5,0,0,0,0,1,0,0,2,6.0
0,SLN201708110,foltm001,30,27,0,7,1,0,0,0,0,4,0,1,6,2.6666666666666665
0,ATL201805040,foltm001,38,29,0,9,4,0,0,0,0,2,0,0,6,5.0
0,ATL201807110,foltm001,31,35,2,6,6,0,0,0,0,2,0,0,5,6.666666666666667
0,ATL201805150,foltm001,46,35,0,3,10,0,0,0,0,5,0,0,0,5.0
0,CHA201607100,foltm001,29,37,0,5,10,0,0,0,0,0,0,0,0,7.0
0,PHI201804280,foltm001,25,33,1,3,6,0,1,0,0,2,0,0,1,6.0
0,ATL201808180,foltm001,38,39,0,4,9,0,0,1,1,0,0,0,0,7.0
0,PHI201707310,foltm001,39,34,1,7,3,0,0,0,0,3,0,1,5,4.0
0,ATL201804040,foltm001,38,29,0,4,8,0,1,2,0,2,0,1,1,5.333333333333333
0,ATL201607160,foltm001,32,40,0,4,5,0,0,0,0,2,0,0,1,7.0
0,WAS201609070,foltm001,37,29,0,5,8,0,0,1,0,3,0,0,1,6.0
0,MIA201808240,foltm001,42,34,0,2,8,0,0,1,0,2,0,0,1,6.0
0,ATL201608170,foltm001,34,37,0,5,7,0,0,2,0,3,0,0,2,5.0
0,ATL201508250,foltm001,32,28,0,5,3,0,0,0,0,1,0,1,0,5.0
0,ATL201909030,foltm001,31,23,0,2,2,0,0,0,0,3,0,0,0,5.0
0,ATL201508030,foltm001,31,29,4,9,0,0,0,0,0,1,0,0,6,5.666666666666667
0,PHI201704230,foltm001,33,33,0,4,9,0,0,0,0,2,0,0,1,6.666666666666667
0,ATL201708270,foltm001,33,31,0,4,6,0,0,0,0,3,0,0,1,5.0
0,WAS201906220,foltm001,22,25,1,8,2,0,0,0,0,2,0,0,6,4.0
0,SLN201608070,foltm001,36,33,0,6,4,0,0,0,0,2,0,1,1,6.0
0,ATL201807270,foltm001,40,33,2,6,8,0,0,0,0,3,0,0,4,5.0
0,ATL201706180,foltm001,35,29,0,7,4,0,0,0,0,2,0,0,2,6.0
0,ATL201508150,foltm001,23,27,1,9,5,0,0,0,0,1,0,0,6,4.666666666666667
0,NYN201909280,foltm001,20,20,2,3,5,0,0,1,0,1,0,0,3,4.0
0,ATL201809050,foltm001,35,29,0,2,5,0,0,0,0,1,1,0,1,6.0
