,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,MIA201907130,gallz001,32,32,1,4,5,0,0,0,0,5,0,0,2,5.0
0,ARI201908190,gallz001,36,35,0,5,8,0,1,0,0,6,0,0,1,6.0
0,COL201908130,gallz001,30,34,0,9,3,0,0,0,0,1,0,0,2,4.0
0,NYN201909100,gallz001,25,34,0,5,9,0,0,0,0,2,0,0,3,6.0
0,SLN201906200,gallz001,36,32,0,5,6,0,0,1,0,2,0,0,1,5.0
0,ARI201909040,gallz001,29,38,0,1,8,0,0,0,0,1,0,1,0,7.0
0,MIA201907300,gallz001,38,37,1,4,8,0,0,0,0,2,1,0,2,7.0
0,CHA201907240,gallz001,24,36,0,2,9,0,0,0,0,1,0,2,0,7.0
0,ARI201909150,gallz001,35,34,3,5,5,0,0,1,0,2,0,0,3,5.666666666666667
0,WAS201907020,gallz001,13,14,1,3,2,0,0,0,0,1,0,0,2,2.0
0,ARI201908070,gallz001,28,29,0,1,6,0,0,0,0,3,0,0,0,5.0
0,MIA201906260,gallz001,30,29,0,4,8,0,0,0,0,2,0,0,1,5.0
0,MIL201908240,gallz001,35,36,2,6,8,0,0,0,0,2,0,1,2,5.0
0,LAN201907190,gallz001,37,31,0,3,5,0,0,0,0,4,0,0,0,5.333333333333333
0,ARI201908300,gallz001,26,37,0,5,6,0,0,0,0,1,0,0,3,5.0
