,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,SLN201405180,28,26,5,0,0,0,0,0,0,,4,7,5.142857142857143,1.0
0,CIN201405240,20,28,7,0,0,0,0,0,0,,2,6,3.0,0.0
0,SLN201405290,25,29,7,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,SLN201406030,28,29,3,0,0,0,0,0,0,,6,5,10.8,1.0
0,TOR201406080,35,35,4,0,0,0,0,3,0,,0,7,0.0,0.0
0,SLN201406150,36,32,6,0,0,1,0,2,0,,1,7,1.2857142857142858,1.0
0,SLN201406200,36,32,7,0,0,0,0,2,0,,4,6,6.0,0.0
0,NYN201505210,37,34,3,0,1,0,0,5,0,,2,7,2.5714285714285716,0.0
0,SLN201505260,32,30,5,0,0,0,0,0,0,,3,6,4.5,0.0
0,SLN201506010,31,28,4,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,LAN201506060,27,36,6,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,SLN201506120,23,38,6,0,0,0,0,0,0,,0,8,0.0,0.0
0,MIN201506180,32,25,4,0,0,0,0,2,0,,0,7,0.0,0.0
0,MIA201506240,24,31,4,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,SLN201507280,27,26,5,0,0,0,0,2,0,,3,6,4.5,0.0
0,SLN201508020,35,30,4,0,0,0,0,4,0,,1,6,1.5,0.0
0,MIL201508080,34,36,5,0,0,0,0,4,0,,0,7,0.0,0.0
0,SLN201508140,25,35,6,0,1,0,0,1,0,,0,9,0.0,1.0
0,SLN201508190,28,24,5,0,0,0,0,1,0,,3,7,3.857142857142857,1.0
0,ARI201508250,33,32,6,0,0,1,0,1,0,,1,6,1.5,0.0
0,SFN201508300,33,31,1,0,0,0,0,0,0,,4,7,5.142857142857143,0.0
0,SLN201509050,31,39,9,0,0,1,0,1,0,,0,7,0.0,1.0
0,CIN201509100,39,29,2,0,0,0,0,4,0,,6,5,10.8,0.0
0,MIL201509160,33,34,4,0,0,0,0,1,0,,4,7,5.142857142857143,0.0
0,SLN201509210,31,30,5,0,0,2,0,2,0,,1,7,1.2857142857142858,0.0
0,SLN201509260,27,37,8,0,0,0,0,0,0,,1,8,1.125,0.0
0,ATL201510020,22,27,5,0,0,0,0,2,0,,2,4,4.5,0.0
0,ATL201604080,31,30,6,0,0,0,0,2,1,,4,6,6.0,0.0
0,SLN201604140,31,38,13,0,0,0,0,1,0,,0,9,0.0,0.0
0,SLN201604190,35,36,7,0,0,0,0,4,0,,2,5,3.6,0.0
0,ARI201604250,31,32,3,0,0,0,0,3,0,,3,6,4.5,0.0
0,SLN201604300,33,33,6,0,0,0,0,3,0,,4,7,5.142857142857143,1.0
0,SLN201605050,21,30,5,0,0,0,0,0,0,,0,7,0.0,0.0
0,ANA201605110,30,35,8,0,0,0,0,1,0,,0,7,0.0,0.0
0,SLN201605170,28,25,3,0,0,0,0,4,0,,3,5,5.4,0.0
0,SLN201605220,21,14,0,0,0,0,0,1,0,,5,3,15.0,0.0
0,WAS201605270,30,28,4,0,0,1,0,1,0,,2,7,2.5714285714285716,1.0
0,MIL201606010,33,25,3,0,0,0,0,3,0,,2,5,3.6,0.0
0,CIN201606080,26,25,3,0,0,0,0,1,0,,5,5,9.0,0.0
0,SLN201606140,31,23,2,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,CHN201606200,34,33,6,0,0,1,0,2,0,,2,7,2.5714285714285716,1.0
0,SEA201606260,39,36,6,0,0,0,0,2,0,,5,6,7.5,0.0
0,SLN201607010,28,37,6,0,0,0,0,4,0,,1,8,1.125,0.0
0,SLN201607060,32,28,6,0,0,0,0,3,0,,4,6,6.0,1.0
0,SLN201607150,31,29,2,0,0,1,0,1,1,,4,7,5.142857142857143,0.0
0,SLN201607202,34,32,4,0,0,0,0,2,0,,1,6,1.5,0.0
0,NYN201607262,29,24,4,0,0,0,0,0,0,,2,5,3.6,1.0
0,MIA201607300,22,18,2,0,0,0,0,1,0,,6,4,13.5,0.0
0,SLN201608050,24,35,11,0,0,0,0,1,0,,0,8,0.0,0.0
0,SLN201608100,24,28,4,0,0,0,0,1,0,,2,9,2.0,0.0
0,HOU201608160,32,28,2,0,1,1,0,3,0,,5,6,7.5,1.0
0,SLN201608230,20,21,6,0,0,0,0,1,0,,6,4,13.5,0.0
0,SLN201608280,30,32,6,0,0,0,0,1,0,,5,7,6.428571428571429,1.0
0,CIN201609030,35,28,8,0,0,2,0,3,1,,2,6,3.0,0.0
0,SLN201609080,26,18,3,0,0,0,0,1,0,,5,4,11.25,0.0
0,SLN201609130,17,8,1,0,0,0,0,2,0,,2,2,9.0,0.0
0,SLN201609260,10,5,0,0,0,0,0,0,0,,2,1,18.0,0.0
0,NYN201704060,28,31,0,0,0,1,0,2,0,,4,6,6.0,0.0
0,MIA201704120,29,31,4,0,0,0,0,2,0,,3,5,5.4,0.0
0,ATL201704170,30,29,4,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,PHI201704220,27,29,6,0,0,0,0,1,0,,2,6,3.0,0.0
0,MIL201704290,37,30,3,0,0,1,0,5,0,,2,6,3.0,1.0
0,HOU201705100,39,32,4,0,0,0,0,5,0,,4,6,6.0,0.0
0,TOR201705160,31,29,4,0,0,0,0,4,0,,4,6,6.0,0.0
0,ATL201705210,31,34,8,0,0,0,0,0,0,,1,8,1.125,0.0
0,SFN201705260,26,30,5,0,0,0,0,1,1,,0,7,0.0,0.0
0,ANA201705310,37,28,2,0,1,0,1,3,0,,0,7,0.0,0.0
0,ATL201706060,35,33,4,0,0,0,1,0,0,,3,8,3.375,0.0
0,ATL201706110,35,36,9,0,0,1,0,1,1,,2,7,2.5714285714285716,0.0
0,ATL201706170,29,37,7,0,0,0,1,1,1,,6,6,9.0,0.0
0,ATL201706220,31,24,3,0,0,1,0,2,1,,6,5,10.8,0.0
0,SDN201706290,35,27,6,0,0,0,0,3,0,,6,7,7.714285714285714,0.0
0,ATL201707050,35,30,5,0,0,0,0,0,0,,5,7,6.428571428571429,0.0
0,ATL201707160,32,36,7,0,0,1,0,3,0,,1,7,1.2857142857142858,0.0
0,LAN201707210,31,30,4,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,OAK201707280,32,33,7,0,0,0,0,3,0,,3,7,3.857142857142857,0.0
0,CLE201708040,34,28,4,0,0,1,0,4,0,,5,5,9.0,0.0
0,NYA201708110,36,36,6,0,0,1,0,2,1,,3,6,4.5,0.0
0,NYN201708160,33,30,3,0,0,0,0,3,0,,3,6,4.5,0.0
0,DET201708240,27,24,2,0,0,0,0,3,0,,2,5,3.6,0.0
0,NYA201708301,35,27,5,0,0,0,0,3,0,,1,6,1.5,0.0
0,TBA201709130,32,24,4,0,0,0,0,1,0,,1,5,1.8,0.0
0,NYA201709180,28,31,9,0,0,0,0,0,0,,0,6,0.0,0.0
0,TOR201709240,30,14,4,0,0,1,0,3,0,,5,3,15.0,0.0
0,TOR201804020,33,31,7,0,1,0,0,2,0,,1,6,1.5,1.0
0,TEX201804080,34,32,5,0,0,0,0,2,0,,3,6,4.5,0.0
0,TOR201804171,33,25,5,0,1,0,0,1,0,,3,5,5.4,1.0
0,NYA201804220,35,30,6,0,0,0,0,3,0,,4,6,6.0,0.0
