,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,BAL201409010,gausk001,31,35,0,5,7,0,0,1,0,2,0,0,3,7.333333333333333
0,BAL201805110,gausk001,21,39,0,11,6,0,0,1,0,0,0,0,1,7.333333333333333
0,BOS201609140,gausk001,35,46,0,4,6,0,0,0,0,1,0,0,0,8.0
0,NYA201804060,gausk001,33,33,0,5,3,0,0,0,0,1,0,1,2,5.0
0,LAN201905060,gausk001,28,27,0,7,6,0,0,0,0,4,0,0,3,4.333333333333333
0,TBA201707240,gausk001,29,34,0,5,8,0,0,0,0,3,0,0,0,6.0
0,BAL201608180,gausk001,41,34,2,7,8,0,0,0,0,1,0,0,4,6.666666666666667
0,SFN202007300,gausk001,25,26,0,6,8,0,0,1,0,0,0,0,3,4.333333333333333
0,HOU201605260,gausk001,41,33,3,5,7,0,0,0,0,1,0,0,4,5.0
0,MIN201605100,gausk001,40,36,1,5,9,0,0,0,0,2,0,0,3,6.0
0,COL202008040,gausk001,20,33,1,5,7,0,0,0,0,1,0,0,3,5.333333333333333
0,BAL201605050,gausk001,33,30,0,3,4,0,0,0,0,0,0,0,0,8.0
0,MIA201808260,gausk001,25,31,0,1,5,0,0,0,0,1,0,0,0,5.0
0,BAL201708190,gausk001,27,25,4,6,3,0,0,1,0,4,0,0,5,4.0
0,BAL201606050,gausk001,32,36,0,7,5,0,0,1,0,2,0,0,1,6.0
0,MIN201807070,gausk001,35,30,1,5,5,0,0,1,0,1,0,0,3,5.0
0,BAL201408100,gausk001,38,35,0,8,6,0,0,1,0,2,0,0,3,5.0
0,OAK202009190,gausk001,32,25,0,1,6,0,0,1,0,3,0,0,1,5.666666666666667
0,BAL201604300,gausk001,26,30,1,4,3,0,0,0,0,1,0,0,2,6.0
0,BAL201705080,gausk001,38,41,0,5,8,0,0,1,0,1,0,0,2,7.0
0,OAK201608080,gausk001,43,30,1,6,6,0,0,1,0,2,0,0,2,6.0
0,BOS201509250,gausk001,40,31,0,5,5,0,0,1,0,3,0,0,4,5.0
0,PIT201906050,gausk001,26,28,2,12,3,0,0,0,0,0,0,1,7,5.0
0,BAL201406271,gausk001,40,24,0,7,1,0,0,1,0,4,0,1,4,5.0
0,BAL201709190,gausk001,37,39,0,3,7,0,0,0,0,1,0,0,0,7.666666666666667
0,NYA201706110,gausk001,30,20,1,8,0,0,0,2,0,6,0,0,7,3.3333333333333335
0,BAL201707190,gausk001,37,32,1,4,8,0,0,0,0,2,0,0,1,6.0
0,TBA201805270,gausk001,27,24,1,6,1,0,0,0,0,2,0,2,7,2.6666666666666665
0,BAL201804010,gausk001,25,21,3,7,5,0,0,2,0,2,0,0,6,4.0
0,BAL201704230,gausk001,33,35,3,8,4,0,0,0,0,3,0,0,5,5.333333333333333
0,TEX201707290,gausk001,35,42,0,7,8,0,0,0,0,3,0,0,0,8.666666666666666
0,BAL201406120,gausk001,37,31,0,5,3,0,0,0,0,3,0,0,1,6.0
0,BAL201705310,gausk001,38,36,0,8,4,0,0,0,0,5,0,0,2,5.333333333333333
0,BAL201509302,gausk001,21,41,1,5,10,0,0,0,0,0,0,0,1,8.0
0,MIN201707070,gausk001,32,37,0,9,7,0,0,0,0,0,0,1,4,4.0
0,SFN202009070,gausk001,33,38,0,2,9,0,1,0,0,3,0,0,1,6.0
0,BAL201605310,gausk001,38,39,3,5,8,0,0,0,0,2,0,0,5,6.0
0,BAL201804110,gausk001,35,33,1,6,7,0,0,0,0,3,0,0,3,6.0
0,CHN201909160,gausk001,12,13,1,3,2,0,0,0,0,0,0,0,3,2.0
0,TEX201606200,gausk001,36,31,1,9,5,0,0,2,0,1,0,1,4,5.0
0,BAL201608230,gausk001,40,33,0,6,2,0,0,0,0,2,0,0,0,6.0
0,TOR201706270,gausk001,36,31,0,4,4,0,0,0,0,2,0,0,0,5.333333333333333
0,BAL201807010,gausk001,31,36,1,6,2,0,0,0,0,0,0,0,2,8.0
0,TOR201709130,gausk001,39,33,0,6,6,0,0,0,0,1,0,1,1,6.666666666666667
0,ATL201808100,gausk001,23,39,0,6,8,0,0,0,0,0,0,0,1,8.0
0,DET201804180,gausk001,33,31,2,9,4,0,0,0,0,0,0,0,2,6.0
0,TBA201509200,gausk001,34,37,1,8,6,0,0,1,0,1,0,0,4,6.0
0,BAL201409121,gausk001,33,39,0,7,7,0,1,0,0,2,0,0,0,7.0
0,LAN201607060,gausk001,30,35,1,8,6,0,0,1,0,1,0,0,4,5.0
0,ATL201808150,gausk001,34,33,1,4,2,0,0,0,0,2,0,0,2,6.0
0,ATL201809200,gausk001,36,37,0,5,7,0,0,0,0,2,0,0,3,6.333333333333333
0,TOR201806090,gausk001,28,33,1,9,6,0,0,0,0,0,0,0,3,6.666666666666667
0,TOR201606100,gausk001,32,36,1,8,4,0,1,0,0,2,0,0,2,6.333333333333333
0,BAL201407130,gausk001,31,25,1,4,2,0,0,0,0,0,0,0,1,5.0
0,ARI201905110,gausk001,22,34,0,5,6,0,0,0,0,2,0,1,1,6.0
0,CHA201805220,gausk001,29,44,0,9,10,0,0,0,0,1,0,0,0,6.333333333333333
0,BAL201605150,gausk001,34,28,1,10,1,0,0,0,0,2,0,1,4,5.0
0,BAL201807120,gausk001,23,34,1,12,2,0,0,1,0,1,0,1,5,5.0
0,TOR201704130,gausk001,32,32,0,5,3,0,0,0,0,2,0,0,1,6.0
0,SEA201607010,gausk001,30,40,2,8,7,0,0,0,0,0,0,0,3,6.0
0,BAL201507270,gausk001,36,37,0,6,5,0,0,0,0,1,0,0,0,7.666666666666667
0,WAS201408040,gausk001,45,32,1,8,3,0,0,0,0,2,0,0,3,6.0
0,TOR201607290,gausk001,28,26,3,6,4,0,0,2,0,3,0,0,6,3.0
0,NYA201704280,gausk001,37,37,2,8,3,0,0,0,0,2,0,0,4,6.0
0,PIT201808210,gausk001,28,39,0,4,5,0,0,0,0,2,0,0,0,8.0
0,PIT201709260,gausk001,27,29,1,5,5,0,1,0,0,2,0,1,6,4.0
0,ATL201904170,gausk001,31,35,1,3,10,0,0,0,0,1,0,0,2,7.0
0,ATL201905180,gausk001,29,36,0,6,4,0,0,0,0,1,1,0,2,6.0
0,COL202009010,gausk001,25,29,2,2,5,0,0,0,0,1,0,0,2,5.0
0,ANA201605210,gausk001,37,41,0,8,6,0,0,0,0,1,0,0,1,6.666666666666667
0,BAL201806150,gausk001,32,43,0,5,7,0,0,0,0,3,0,1,2,5.666666666666667
0,KCA201705140,gausk001,33,31,1,9,3,0,0,0,0,2,0,0,5,3.3333333333333335
0,BAL201708040,gausk001,34,37,1,3,8,0,0,0,0,1,0,0,1,7.0
