,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,KCA201704280,gibsk002,31,25,1,5,1,0,0,0,0,3,0,0,3,5.333333333333333
0,CLE201907120,gibsk002,32,29,1,4,5,0,0,0,0,1,0,1,1,3.6666666666666665
0,MIN201608230,gibsk002,43,27,0,7,4,0,0,2,0,4,0,0,3,5.0
0,TOR201905080,gibsk002,25,35,1,2,11,0,0,0,0,1,0,0,1,6.0
0,TBA201906010,gibsk002,27,30,0,6,3,0,0,0,0,1,0,1,0,5.0
0,TEX201406290,gibsk002,26,35,1,8,3,0,0,0,0,0,0,0,2,8.0
0,MIN201709120,gibsk002,21,27,0,4,6,0,0,0,0,0,0,0,0,6.0
0,MIN201606220,gibsk002,32,33,2,8,5,0,0,0,0,1,1,0,4,6.0
0,OAK201408080,gibsk002,43,22,0,5,3,0,0,0,0,5,0,0,3,5.0
0,BOS201807260,gibsk002,50,36,0,4,7,0,0,0,0,2,0,1,1,8.0
0,BAL201508220,gibsk002,42,26,0,6,2,0,0,0,0,3,1,0,2,5.666666666666667
0,MIN201904160,gibsk002,38,29,0,4,4,0,0,0,0,3,0,0,2,5.333333333333333
0,CHA201805060,gibsk002,35,35,0,4,8,0,0,1,0,2,0,0,2,6.666666666666667
0,MIN201804110,gibsk002,37,29,0,7,4,0,0,0,0,4,0,0,2,4.333333333333333
0,MIN201508280,gibsk002,38,37,0,4,4,0,1,0,0,3,0,0,0,5.666666666666667
0,CHA201606280,gibsk002,34,40,0,5,7,0,0,0,0,1,0,0,0,7.0
0,MIN201905140,gibsk002,36,25,0,6,5,0,0,1,0,2,0,0,3,5.333333333333333
0,MIN201908240,gibsk002,35,29,1,10,8,0,0,1,0,0,0,1,3,5.333333333333333
0,MIN201908030,gibsk002,41,38,1,4,6,0,0,0,0,2,0,0,2,6.666666666666667
0,SEA201706080,gibsk002,37,28,0,5,4,0,0,0,0,3,0,0,1,6.0
0,MIN201807310,gibsk002,38,31,0,5,6,0,0,0,0,3,0,0,3,6.0
0,MIN201906250,gibsk002,36,30,1,7,7,0,0,0,0,1,0,1,4,7.0
0,HOU201707160,gibsk002,39,33,0,6,6,0,0,0,0,4,0,0,3,6.0
0,MIN201807070,gibsk002,40,38,1,4,9,0,0,0,0,4,0,0,3,6.666666666666667
0,MIN201507120,gibsk002,31,35,0,4,6,0,0,0,0,2,0,0,0,7.0
0,DET201406130,gibsk002,42,36,0,5,3,0,0,0,0,2,0,0,0,7.0
0,MIN201607030,gibsk002,38,36,1,5,6,0,0,0,0,2,0,0,2,6.666666666666667
0,ANA201406240,gibsk002,20,15,1,4,1,0,0,0,0,2,0,1,7,2.0
0,MIN201507260,gibsk002,34,30,1,6,4,0,0,1,0,2,0,1,4,5.333333333333333
0,MIL201807020,gibsk002,30,26,1,8,3,0,0,0,0,2,0,0,3,5.0
