,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ARI201709250,godlz001,31,28,2,8,5,0,1,1,0,2,1,0,5,4.333333333333333
0,BOS202008180,godlz001,33,26,0,4,4,0,0,1,0,1,0,1,1,4.0
0,ARI201807210,godlz001,29,29,0,5,6,0,0,2,0,4,0,0,2,5.0
0,ARI201606110,godlz001,34,24,1,4,3,0,0,0,0,3,0,0,2,6.0
0,BOS202008120,godlz001,27,25,3,10,3,0,0,0,0,2,0,0,7,3.0
0,HOU201809150,godlz001,36,27,1,7,1,0,0,0,0,6,0,0,4,3.6666666666666665
0,ARI201809230,godlz001,33,29,0,6,5,0,0,0,0,3,0,0,2,4.666666666666667
0,ARI201904050,godlz001,39,31,0,3,5,0,0,2,0,3,0,0,1,5.666666666666667
0,BOS202009041,godlz001,19,18,2,5,4,0,0,0,0,1,0,0,4,3.0
0,ATL201707160,godlz001,31,36,2,8,9,0,0,1,0,1,0,0,6,6.0
0,ARI201904270,godlz001,29,22,1,4,3,0,0,0,1,3,1,0,5,2.6666666666666665
0,ARI201906220,godlz001,21,24,0,9,0,0,0,0,0,2,0,0,5,4.0
0,ARI201806150,godlz001,34,37,1,5,8,0,1,0,0,3,0,1,2,6.666666666666667
0,ARI201807060,godlz001,23,29,0,4,7,0,0,0,0,1,0,0,1,6.0
0,BOS202008080,godlz001,24,22,0,3,3,0,1,1,0,2,0,0,0,4.0
0,ARI201809030,godlz001,26,23,2,2,7,0,0,0,0,2,0,0,4,5.0
0,CHN201509040,godlz001,34,23,2,4,3,0,0,0,0,6,0,0,6,3.6666666666666665
0,ARI201708130,godlz001,42,36,0,4,8,0,0,2,0,4,0,1,2,5.666666666666667
0,ARI201608270,godlz001,18,11,3,9,1,0,0,1,0,0,0,1,9,2.0
0,SDN201808180,godlz001,34,32,0,8,7,0,1,1,0,4,0,0,6,5.0
0,ARI201608220,godlz001,30,24,2,9,3,0,0,0,0,3,0,0,7,5.0
0,LAN201804150,godlz001,35,30,1,5,4,0,0,0,0,6,0,0,4,4.0
0,ARI201706100,godlz001,23,29,1,2,4,0,0,0,0,1,0,1,2,6.666666666666667
0,NYN201708230,godlz001,42,31,0,4,5,0,0,0,0,4,0,0,2,5.0
0,ARI201804030,godlz001,37,29,0,4,3,0,0,1,0,1,0,0,1,7.0
0,NYN201805180,godlz001,41,35,0,4,6,0,0,0,0,4,0,0,1,6.0
