,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,BAL201407110,gonzm003,35,35,2,6,5,0,0,0,0,0,0,1,2,8.0
0,KCA201608110,gonzm003,4,7,0,1,2,0,0,0,0,0,0,0,0,1.0
0,MIA201505240,gonzm003,30,31,1,10,2,0,0,0,0,2,1,0,5,4.0
0,CHA201607060,gonzm003,36,35,0,5,3,0,0,0,0,1,0,0,0,7.0
0,BOS201606200,gonzm003,27,35,0,4,5,0,0,0,0,2,0,0,1,6.666666666666667
0,TEX201708200,gonzm003,39,34,0,4,6,0,0,0,0,4,0,0,0,6.0
0,BAL201505190,gonzm003,28,36,2,5,8,0,0,0,0,2,0,0,4,7.0
0,ANA201508090,gonzm003,33,36,2,7,6,0,0,1,0,2,0,0,4,5.0
0,TOR201408070,gonzm003,31,37,1,4,4,0,0,0,0,2,0,1,1,6.0
0,CLE201609230,gonzm003,31,27,1,8,2,0,0,1,0,0,0,1,4,4.333333333333333
0,DET201507190,gonzm003,31,30,0,6,4,0,1,0,0,2,0,0,2,5.0
0,ANA201705170,gonzm003,28,30,0,6,2,0,0,0,0,5,0,0,4,5.666666666666667
0,NYA201704180,gonzm003,30,27,0,4,4,0,0,0,0,1,0,0,0,8.333333333333334
0,LAN201708150,gonzm003,36,33,0,5,4,0,0,0,0,3,0,0,1,5.666666666666667
0,DET201704300,gonzm003,32,28,1,14,1,0,0,0,0,1,0,0,6,6.0
0,CHA201606090,gonzm003,28,29,1,3,5,0,0,0,0,0,0,0,1,5.666666666666667
0,NYN201606010,gonzm003,30,27,0,3,4,0,0,0,0,5,0,0,1,5.0
0,BOS201407051,gonzm003,38,41,1,7,6,0,0,1,0,2,0,1,1,8.0
0,TEX201508300,gonzm003,32,35,0,7,3,0,0,1,0,2,0,1,3,5.333333333333333
0,BAL201409030,gonzm003,33,42,0,4,8,0,0,0,0,1,0,0,0,9.0
0,BAL201504240,gonzm003,29,30,2,8,1,0,0,0,0,1,0,1,4,5.666666666666667
0,BOS201708030,gonzm003,18,16,2,7,0,0,0,0,0,0,0,1,7,1.6666666666666665
0,OAK201508040,gonzm003,33,34,0,5,5,0,0,0,0,3,0,1,2,5.333333333333333
0,MIN201607300,gonzm003,40,37,0,6,5,0,0,0,0,1,0,0,1,7.0
0,BAL201404160,gonzm003,33,31,0,3,6,0,0,1,0,3,0,0,0,5.0
0,KCA201508250,gonzm003,35,29,1,6,1,0,0,0,0,3,0,0,3,4.333333333333333
0,TBA201406170,gonzm003,31,31,2,8,5,0,0,0,0,1,1,0,4,5.0
0,CHA201609120,gonzm003,28,30,0,6,4,0,0,0,0,2,0,0,3,6.666666666666667
0,CHA201704080,gonzm003,24,32,1,7,6,0,0,0,0,2,0,0,2,6.0
0,OAK201709230,gonzm003,27,30,1,4,5,0,0,0,0,0,0,1,1,6.0
0,ANA201607150,gonzm003,35,29,0,5,6,0,0,0,0,1,0,0,2,6.0
0,BAL201408020,gonzm003,30,31,2,7,1,0,0,0,0,1,0,0,4,5.0
0,DET201404040,gonzm003,29,22,2,9,1,0,0,1,0,1,0,2,7,3.3333333333333335
0,CHA201609060,gonzm003,34,30,0,6,4,0,0,0,0,0,0,1,0,6.333333333333333
0,SEA201607200,gonzm003,33,29,1,4,5,0,0,0,0,2,0,0,2,6.0
0,CHA201804090,gonzm003,36,27,1,8,0,0,0,1,0,2,0,0,4,4.333333333333333
0,CHA201607250,gonzm003,36,33,1,7,8,0,0,0,0,2,0,0,2,6.666666666666667
0,BAL201406240,gonzm003,31,25,1,9,1,0,0,0,0,3,0,0,3,4.666666666666667
0,CHA201605210,gonzm003,33,37,1,6,8,0,0,0,0,0,0,1,2,6.0
0,BAL201405100,gonzm003,29,31,1,6,6,0,0,0,0,2,0,0,2,7.0
0,TEX201709120,gonzm003,13,16,2,7,1,0,0,0,0,0,0,0,7,2.3333333333333335
0,ARI201705220,gonzm003,27,35,2,7,3,0,0,0,0,1,0,0,4,5.0
0,CHN201408240,gonzm003,28,31,1,6,3,0,0,0,0,0,0,0,2,6.333333333333333
0,CLE201706090,gonzm003,36,26,1,6,2,0,0,0,0,4,0,0,4,4.666666666666667
0,ATL201709061,gonzm003,20,20,2,4,2,0,0,0,0,2,0,0,4,3.0
0,TOR201404220,gonzm003,39,31,1,4,7,0,0,0,0,2,0,1,2,5.666666666666667
0,SEA201407270,gonzm003,33,24,0,8,1,0,0,0,0,2,0,0,1,6.0
0,BAL201409210,gonzm003,30,41,2,8,7,0,0,0,0,2,0,0,3,5.666666666666667
0,TEX201605090,gonzm003,22,23,1,3,4,0,0,0,0,3,0,0,1,5.666666666666667
0,HOU201405300,gonzm003,34,35,0,5,4,0,0,1,0,2,0,1,2,6.666666666666667
0,BAL201506300,gonzm003,31,26,3,8,1,0,0,0,0,3,0,0,6,4.333333333333333
0,BAL201506090,gonzm003,27,29,0,4,1,0,0,0,0,2,0,0,0,4.333333333333333
0,CHA201606140,gonzm003,32,29,0,8,3,0,0,0,0,3,1,0,6,3.3333333333333335
0,CHA201507050,gonzm003,40,30,0,4,3,0,0,0,0,1,0,1,1,6.0
0,TOR201804030,gonzm003,29,31,2,8,4,0,0,0,0,2,0,0,5,5.0
0,BAL201705050,gonzm003,35,35,1,6,5,0,0,0,0,1,0,1,2,6.666666666666667
0,BAL201505290,gonzm003,29,33,1,3,6,0,0,0,0,0,0,2,1,8.0
0,ANA201709170,gonzm003,31,28,0,2,2,0,0,0,0,5,0,1,1,5.0
0,BOS201504190,gonzm003,36,29,1,5,5,0,0,0,0,4,0,0,3,5.0
0,NYA201605150,gonzm003,35,26,0,5,1,0,0,1,0,5,0,1,3,4.666666666666667
0,CHA201708250,gonzm003,33,36,0,7,9,0,0,0,0,0,0,0,2,8.0
0,DET201706030,gonzm003,31,35,3,10,1,0,0,0,0,0,0,0,6,6.0
0,BAL201409130,gonzm003,36,33,1,3,1,0,0,0,0,3,0,0,3,6.0
0,CHA201706140,gonzm003,33,31,1,9,3,0,0,0,0,2,0,0,5,5.0
0,CHA201704240,gonzm003,31,35,0,2,5,0,0,0,0,1,0,0,0,8.0
0,TEX201709280,gonzm003,31,37,1,5,5,0,0,0,0,1,0,0,3,5.666666666666667
0,KCA201609170,gonzm003,31,28,0,6,2,0,0,0,0,0,0,1,3,7.0
0,BAL201509301,gonzm003,29,25,0,4,3,0,0,0,0,3,0,0,1,3.6666666666666665
0,BAL201505130,gonzm003,32,34,0,3,5,0,0,0,0,3,0,1,0,7.666666666666667
0,CLE201704130,gonzm003,44,24,1,8,5,0,0,0,0,4,0,0,3,4.666666666666667
0,CHA201608050,gonzm003,27,35,1,10,1,0,0,0,0,0,0,0,3,6.0
0,CHA201705120,gonzm003,28,32,2,8,2,0,0,0,0,4,0,0,5,5.0
0,PIT201405200,gonzm003,29,33,1,7,7,0,0,0,0,0,0,0,2,6.0
0,CHN201707240,gonzm003,32,39,0,7,3,0,0,0,0,2,1,1,1,7.333333333333333
0,MIN201708310,gonzm003,33,38,0,7,5,0,0,0,0,2,0,0,3,6.0
0,BAL201505020,gonzm003,34,38,0,4,6,0,0,0,0,1,0,0,0,7.666666666666667
0,BAL201508200,gonzm003,29,32,1,8,5,0,0,0,0,2,0,0,7,5.0
0,ANA201407220,gonzm003,40,35,1,3,5,0,0,0,0,4,0,0,2,7.666666666666667
0,HOU201506030,gonzm003,31,38,3,4,8,0,0,0,0,0,0,0,3,6.666666666666667
0,TOR201409280,gonzm003,17,22,0,5,2,0,1,0,0,0,0,0,0,5.0
0,NYA201505080,gonzm003,28,25,1,5,2,0,0,0,0,1,1,0,5,4.0
0,OAK201804170,gonzm003,24,24,1,8,1,0,0,0,0,2,0,0,7,3.0
0,TBA201507250,gonzm003,39,32,1,5,5,0,0,0,0,0,0,0,1,7.666666666666667
0,TOR201604250,gonzm003,36,41,1,11,6,0,0,1,0,2,0,0,5,5.333333333333333
0,HOU201607010,gonzm003,25,34,1,3,4,0,0,0,0,2,0,1,2,6.666666666666667
0,BAL201507300,gonzm003,23,20,0,10,1,0,0,0,0,1,0,0,5,3.3333333333333335
0,BAL201507110,gonzm003,26,28,2,9,4,0,0,0,0,2,0,0,6,5.0
0,TBA201504080,gonzm003,34,32,0,3,5,0,0,0,0,5,0,0,0,5.666666666666667
0,BAL201408290,gonzm003,33,40,1,4,6,0,0,0,0,1,0,0,1,7.0
0,BAL201405250,gonzm003,38,32,0,4,4,0,0,0,0,4,0,1,2,6.0
0,BOS201409080,gonzm003,31,39,0,6,4,0,0,0,0,3,0,0,0,6.333333333333333
0,CHA201606250,gonzm003,28,25,1,10,2,0,0,0,0,3,0,0,8,5.333333333333333
0,BAL201406290,gonzm003,32,26,2,8,2,0,1,0,1,4,0,0,3,4.666666666666667
0,BAL201504140,gonzm003,31,40,0,4,10,0,0,1,0,1,0,0,1,7.0
0,MIN201405040,gonzm003,34,30,0,6,7,0,0,0,0,4,0,0,3,4.666666666666667
0,CHA201609280,gonzm003,31,37,0,3,5,0,0,0,0,0,0,0,0,8.333333333333334
