,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,OAK201504090,19,18,1,0,1,0,0,1,0,,7,4,15.75,2.0
0,HOU201504140,34,30,3,0,0,0,0,4,0,,0,6,0.0,1.0
0,ANA201504200,28,18,2,0,0,1,0,3,0,,2,4,4.5,0.0
0,OAK201504250,30,18,1,0,1,0,0,1,0,,6,5,10.8,0.0
0,TBA201505230,31,33,6,0,0,0,0,2,0,,0,7,0.0,1.0
0,OAK201505280,39,30,4,0,0,0,0,2,0,,3,6,4.5,0.0
0,DET201506020,38,27,1,0,0,1,0,2,0,,3,6,4.5,0.0
0,BOS201506070,33,36,6,0,0,0,0,2,0,,1,8,1.125,0.0
0,ANA201506130,36,38,7,0,0,0,0,0,0,,1,8,1.125,0.0
0,OAK201506180,30,36,6,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,TEX201506240,30,32,4,0,0,0,0,2,0,,2,8,2.25,0.0
0,OAK201506290,37,39,3,0,0,0,0,3,0,,0,7,0.0,0.0
0,OAK201507040,41,34,1,0,0,0,0,1,0,,0,7,0.0,0.0
0,CLE201507100,36,34,6,0,0,0,0,3,0,,4,6,6.0,0.0
0,OAK201507210,36,34,4,0,0,0,0,3,0,,6,6,9.0,0.0
0,SFN201507260,22,15,2,0,0,0,0,2,0,,4,2,18.0,0.0
0,OAK201507310,28,38,6,0,1,0,0,2,0,,0,7,0.0,0.0
0,OAK201508050,28,25,3,0,0,2,0,1,0,,3,6,4.5,1.0
0,TOR201508110,41,34,4,0,0,0,0,1,0,,2,5,3.6,0.0
0,BAL201508160,22,25,4,0,0,0,0,1,0,,6,4,13.5,0.0
0,OAK201508230,30,27,3,0,0,0,0,1,0,,0,6,0.0,0.0
0,OAK201604070,30,26,4,0,0,0,0,1,0,,2,6,3.0,0.0
0,OAK201604120,35,34,3,0,0,0,0,2,0,,1,6,1.5,0.0
0,NYA201604200,41,40,8,0,0,0,0,3,0,,1,7,1.2857142857142858,0.0
0,DET201604250,31,27,4,0,0,0,0,1,0,,6,5,10.8,0.0
0,OAK201605020,37,29,6,0,0,0,0,1,0,,4,7,5.142857142857143,0.0
0,BAL201605080,21,21,2,0,0,1,0,3,0,,6,3,18.0,1.0
0,TBA201605140,42,28,1,0,0,0,0,2,1,,4,6,6.0,0.0
0,OAK201605190,38,31,5,0,1,0,0,3,0,,2,6,3.0,1.0
0,SEA201605240,30,20,3,0,0,0,0,2,0,,2,5,3.6,0.0
0,OAK201605300,29,29,5,0,0,0,0,3,0,,2,6,3.0,0.0
0,HOU201606040,26,22,1,0,0,1,0,1,0,,5,5,9.0,1.0
0,CIN201606120,26,23,5,0,0,0,0,2,0,,1,5,1.8,0.0
0,OAK201606170,32,32,4,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,ANA201606230,33,33,1,0,0,0,0,0,0,,2,7,2.5714285714285716,2.0
0,SFN201606280,29,20,3,0,0,0,0,1,0,,4,5,7.2,0.0
0,MIN201607040,38,31,3,0,0,0,0,4,0,,1,7,1.2857142857142858,0.0
0,HOU201607090,27,34,3,0,0,0,0,0,0,,2,9,2.0,0.0
0,OAK201607180,40,38,5,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,OAK201607230,30,34,4,0,0,0,0,1,0,,3,9,3.0,0.0
0,CLE201607290,32,31,1,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,ANA201608030,27,23,3,0,0,0,0,1,0,,6,5,10.8,0.0
0,OAK201608080,33,36,4,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,OAK201608130,28,23,2,0,0,0,0,1,0,,4,6,6.0,0.0
0,CHA201608190,29,38,5,0,0,0,0,0,0,,0,9,0.0,0.0
0,OAK201608240,26,38,2,0,0,0,0,2,0,,1,7,1.2857142857142858,1.0
0,HOU201608300,34,30,1,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,OAK201609040,39,38,7,0,1,0,0,2,0,,0,7,0.0,0.0
0,OAK201609100,34,24,1,0,0,0,0,2,1,,8,6,12.0,0.0
0,TEX201609160,30,26,3,0,0,0,0,1,0,,4,6,6.0,1.0
0,OAK201609230,20,29,3,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,SEA201609290,40,39,6,0,0,0,0,1,0,,1,6,1.5,0.0
0,OAK201704030,33,38,7,0,0,1,0,2,0,,2,6,3.0,0.0
0,TEX201704080,26,32,5,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,OAK201704140,31,19,0,0,0,0,0,2,0,,1,5,1.8,1.0
0,ANA201704270,26,28,4,0,0,0,0,0,0,,2,6,3.0,0.0
0,MIN201705030,38,29,3,0,1,0,0,4,0,,6,4,13.5,0.0
0,OAK201705080,32,32,6,0,0,0,0,1,0,,2,7,2.5714285714285716,1.0
0,TEX201705140,32,30,2,0,0,1,0,1,0,,4,7,5.142857142857143,0.0
0,OAK201705190,41,32,5,0,0,0,0,3,0,,2,6,3.0,0.0
0,SFN201708030,14,14,0,0,0,1,0,0,1,,7,2,31.5,0.0
0,OAK201708080,31,26,2,0,0,0,0,1,0,,3,6,4.5,0.0
0,OAK201708130,33,34,8,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,HOU201708190,43,27,3,0,0,0,0,3,0,,2,6,3.0,0.0
0,OAK201708250,38,28,6,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,ANA201708300,27,31,5,0,0,0,0,3,0,,5,5,9.0,1.0
0,OAK201709050,42,30,3,0,0,1,0,3,0,,4,5,7.2,1.0
0,OAK201709100,40,34,3,0,1,0,0,2,0,,1,6,1.5,0.0
0,PHI201709160,8,10,0,0,0,0,0,0,0,,0,2,0.0,0.0
0,OAK201709220,35,36,4,0,0,0,0,3,0,,1,7,1.2857142857142858,0.0
0,OAK201709270,37,33,4,0,0,0,0,1,0,,3,6,4.5,0.0
0,OAK201803290,25,27,1,0,0,0,0,0,0,,5,6,7.5,0.0
0,OAK201804030,36,26,1,0,0,1,0,1,0,,4,5,7.2,0.0
0,ANA201804080,28,28,3,0,0,0,0,4,0,,5,4,11.25,1.0
0,SEA201804140,39,30,5,0,1,1,0,2,0,,5,4,11.25,0.0
0,OAK201804200,33,32,6,0,0,0,0,0,0,,6,6,9.0,0.0
0,TEX201804250,44,36,7,0,1,0,0,4,0,,3,6,4.5,0.0
0,NYA201805110,29,27,4,0,0,0,0,2,0,,1,6,1.5,0.0
