,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SDN201807270,greiz001,33,35,1,6,6,0,0,0,0,0,0,0,1,7.0
0,ARI201807080,greiz001,36,31,0,6,5,0,0,0,0,3,0,0,2,4.333333333333333
0,CHN201904200,greiz001,37,34,0,3,4,0,0,0,0,2,0,0,0,5.666666666666667
0,LAN201409230,greiz001,41,40,1,6,5,0,0,0,0,0,0,0,2,8.0
0,SDN201608190,greiz001,30,29,0,7,8,0,0,0,0,2,0,0,2,6.666666666666667
0,ARI201805150,greiz001,39,32,0,4,5,0,0,0,0,1,0,0,1,6.0
0,LAN201409280,greiz001,27,28,0,4,6,0,0,0,0,1,0,0,1,5.0
0,MIN201708190,greiz001,38,31,0,7,4,0,0,0,0,4,0,0,4,3.6666666666666665
0,ARI201706260,greiz001,41,30,0,3,5,0,0,0,0,3,0,0,1,5.0
0,SDN201408300,greiz001,38,35,0,4,8,0,1,0,0,2,0,0,1,8.0
0,CIN201508270,greiz001,40,33,0,4,9,0,0,0,0,2,0,0,0,7.0
0,CIN201707190,greiz001,37,33,1,8,3,0,0,0,0,3,0,0,3,5.0
0,ARI201605120,greiz001,40,33,1,8,4,0,0,0,0,3,0,0,4,6.0
0,COL201506022,greiz001,29,21,0,10,2,0,0,0,0,1,0,0,5,6.0
0,LAN201404180,greiz001,35,34,1,3,8,0,0,0,0,2,0,0,1,6.0
0,ARI201707240,greiz001,28,39,1,5,6,0,0,0,0,0,0,0,2,8.0
0,ARI201809260,greiz001,39,32,0,8,6,0,0,0,0,1,1,0,2,6.0
0,LAN201804130,greiz001,29,31,2,5,7,0,0,0,0,1,0,1,2,6.333333333333333
0,SDN201609210,greiz001,41,32,1,2,7,0,0,0,0,3,1,0,2,6.0
0,LAN201504070,greiz001,32,31,0,2,4,0,0,0,0,1,0,0,1,6.0
0,SDN201504240,greiz001,35,37,0,4,7,0,0,0,0,3,0,0,0,6.666666666666667
0,ARI201606130,greiz001,40,39,1,7,6,0,0,0,0,2,0,0,2,7.0
0,HOU201909200,greiz001,28,28,1,7,4,0,0,0,0,0,0,0,4,5.0
0,SLN201707290,greiz001,34,31,0,4,9,0,0,1,0,1,0,0,1,7.0
0,COL201806080,greiz001,35,31,2,8,5,0,0,0,0,1,1,0,3,5.666666666666667
0,OAK201908180,greiz001,29,31,1,4,6,0,0,0,0,3,0,0,1,7.0
0,ARI201808020,greiz001,35,33,1,4,5,0,0,0,0,1,0,0,2,6.0
0,HOU201908290,greiz001,27,35,2,6,8,0,0,0,1,1,0,0,4,5.666666666666667
0,ARI201604040,greiz001,26,27,3,9,2,0,0,0,0,1,0,0,7,4.0
0,PHI201804250,greiz001,34,36,1,9,9,0,0,0,0,1,0,0,5,6.0
0,SLN201605220,greiz001,30,37,1,5,7,0,0,0,0,1,0,0,1,8.0
0,COL201706200,greiz001,28,36,1,9,7,0,0,1,0,0,0,0,4,7.333333333333333
0,LAN201510030,greiz001,30,42,1,4,8,0,0,0,0,1,0,0,1,8.0
0,ARI201708090,greiz001,37,29,1,4,8,0,0,0,0,4,0,0,3,6.666666666666667
0,SDN201404010,greiz001,40,31,1,2,5,0,0,0,0,2,0,0,2,5.0
0,LAN201408230,greiz001,38,33,2,9,4,0,0,1,0,0,1,0,3,7.0
0,DET201407090,greiz001,42,39,0,7,8,0,0,1,0,0,0,0,3,7.0
0,ANA201806180,greiz001,33,35,2,7,5,0,0,0,0,2,0,0,2,6.333333333333333
0,ARI201604250,greiz001,29,32,2,11,2,0,0,0,0,0,0,0,7,6.666666666666667
0,ARI201606070,greiz001,38,34,0,3,2,0,0,0,0,2,0,0,0,9.0
0,MIA201907260,greiz001,40,37,0,4,5,0,0,0,0,1,0,0,1,6.0
0,MIL201909030,greiz001,32,30,1,8,4,0,0,0,0,0,0,0,4,6.0
0,ARI201707010,greiz001,27,34,1,3,8,0,0,1,0,0,0,0,2,7.0
0,LAN201505160,greiz001,37,31,1,4,5,0,0,0,0,0,0,1,1,6.0
0,SEA201909250,greiz001,39,40,0,2,9,0,0,0,0,1,0,0,0,8.333333333333334
0,LAN201508160,greiz001,38,38,0,6,8,0,0,0,0,1,0,0,1,7.0
0,SDN201808190,greiz001,35,33,1,5,7,0,0,0,0,1,0,0,3,6.0
0,ARI201704290,greiz001,36,37,3,7,9,0,0,0,0,2,0,0,3,6.0
0,LAN201504290,greiz001,42,36,1,7,6,0,0,0,0,2,0,0,3,6.0
0,ARI201708250,greiz001,37,39,0,7,4,0,0,0,0,0,0,0,2,6.666666666666667
0,ARI201905100,greiz001,31,36,0,5,7,0,0,0,0,0,0,0,1,7.0
0,LAN201709050,greiz001,33,36,1,4,6,0,0,1,0,1,0,0,1,7.0
0,ARI201907050,greiz001,33,37,0,4,9,0,0,0,0,0,0,0,0,7.0
0,ARI201705160,greiz001,32,38,2,5,8,0,0,0,0,2,0,0,4,6.666666666666667
0,ARI201504120,greiz001,33,34,0,5,7,0,0,0,0,0,0,0,0,7.0
0,MIL201408090,greiz001,29,25,2,8,6,0,0,0,0,1,0,0,4,6.0
0,MIA201806280,greiz001,29,38,0,7,6,0,0,0,0,0,0,1,0,7.0
0,ARI201704020,greiz001,35,31,1,4,4,0,0,0,0,2,0,0,2,5.0
0,NYA201907310,greiz001,27,28,1,2,7,0,0,0,0,3,0,0,2,5.0
0,SDN201604150,greiz001,32,28,0,6,5,0,0,0,0,1,0,0,2,7.333333333333333
0,LAN201508110,greiz001,37,36,0,6,6,0,0,1,0,1,0,0,0,6.0
0,DET201706130,greiz001,37,33,1,5,4,0,0,0,0,2,0,0,0,5.666666666666667
0,MIA201706010,greiz001,25,34,0,4,8,0,0,0,0,2,0,0,1,7.0
0,OAK201805270,greiz001,42,30,1,6,5,0,0,0,0,3,0,0,2,6.0
