,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,KCA201504180,hahnj001,25,40,0,3,0,0,0,0,0,1,0,0,0,5.333333333333333
0,OAK201706060,hahnj001,40,52,0,7,2,0,0,0,0,1,0,1,0,6.0
0,SDN201408110,hahnj001,38,57,1,5,5,0,0,0,0,3,0,0,3,5.0
0,BAL201605072,hahnj001,38,55,1,8,0,0,0,0,0,4,0,0,4,5.333333333333333
0,DET201506040,hahnj001,39,65,0,5,5,0,0,1,0,1,0,0,1,7.0
0,OAK201504070,hahnj001,31,60,0,7,3,0,0,0,0,0,0,2,3,6.0
0,OAK201506200,hahnj001,40,69,0,4,4,0,0,1,0,4,0,0,1,7.666666666666667
0,HOU201606030,hahnj001,15,23,0,6,1,0,0,0,0,2,0,0,7,0.6666666666666666
0,SDN201407300,hahnj001,31,64,0,4,3,0,1,0,0,2,0,0,1,7.0
0,OAK201705230,hahnj001,16,32,0,7,2,0,0,0,0,0,0,0,4,2.0
0,OAK201607240,hahnj001,32,58,0,4,5,0,0,0,0,1,0,0,0,7.666666666666667
0,MIL201606080,hahnj001,29,45,0,8,1,0,0,0,0,1,1,0,4,3.6666666666666665
0,SDN201407060,hahnj001,35,66,0,5,5,0,0,2,0,2,0,0,3,7.0
0,NYN201406140,hahnj001,33,54,0,1,7,0,0,1,0,3,0,1,0,6.0
0,OAK201706170,hahnj001,36,69,0,3,6,0,0,0,0,3,0,0,2,5.0
0,MIN201408050,hahnj001,38,54,1,4,3,0,0,0,0,4,0,0,3,5.666666666666667
0,OAK201506260,hahnj001,34,57,2,9,5,0,0,0,0,1,0,0,3,6.0
0,OAK201705060,hahnj001,40,61,0,6,4,0,0,0,0,4,0,0,2,3.6666666666666665
0,OAK201704190,hahnj001,35,57,1,2,4,0,0,0,0,4,0,0,1,6.0
0,SEA201705170,hahnj001,44,59,0,5,6,0,0,0,0,2,0,0,3,5.0
0,SDN201406300,hahnj001,41,56,0,3,9,0,0,0,0,2,0,1,0,5.0
0,OAK201605220,hahnj001,21,52,2,6,3,0,0,0,0,0,0,0,2,5.666666666666667
0,ATL201407250,hahnj001,33,55,0,3,4,0,0,0,0,3,0,0,1,6.0
0,LAN201407110,hahnj001,39,56,0,3,6,0,0,0,0,4,0,0,1,6.0
0,OAK201505250,hahnj001,36,76,0,4,5,0,0,0,0,1,0,0,0,9.0
0,SDN201406030,hahnj001,30,49,2,6,5,0,0,0,0,2,0,0,4,3.6666666666666665
0,SFN201406240,hahnj001,27,68,0,4,8,0,0,0,0,1,0,0,2,6.0
0,OAK201505150,hahnj001,43,60,0,5,5,0,0,0,0,2,0,1,2,6.333333333333333
0,OAK201504290,hahnj001,31,56,1,4,6,0,0,0,0,1,0,1,3,5.0
0,SDN201506150,hahnj001,35,59,0,3,4,0,0,0,0,2,0,1,1,6.666666666666667
0,OAK201706220,hahnj001,28,29,2,6,0,0,0,0,0,3,0,1,9,2.0
0,ANA201704250,hahnj001,33,68,0,1,6,0,1,0,0,2,0,0,0,8.0
0,OAK201507010,hahnj001,35,66,0,4,6,0,0,1,0,2,0,0,1,6.0
0,MIN201505040,hahnj001,33,71,0,10,5,0,0,0,0,0,0,0,4,5.0
0,OAK201605280,hahnj001,45,50,1,5,5,0,0,1,0,4,0,0,3,6.0
0,OAK201604300,hahnj001,33,48,0,3,4,0,0,0,0,2,0,0,0,6.666666666666667
0,SLN201408160,hahnj001,34,57,0,7,3,0,0,0,0,1,0,2,5,5.666666666666667
0,OAK201505300,hahnj001,36,67,1,7,4,0,0,0,0,1,0,0,3,6.0
0,OAK201605170,hahnj001,22,59,2,10,2,0,0,0,0,1,0,0,3,6.666666666666667
0,HOU201706280,hahnj001,24,33,1,9,1,0,0,0,0,0,0,0,4,2.0
0,TEX201705120,hahnj001,34,49,0,4,3,0,1,1,0,3,0,0,1,7.0
0,ANA201608040,hahnj001,34,53,2,7,2,0,0,1,0,3,0,0,5,4.0
0,SDN201406190,hahnj001,34,59,0,5,7,0,0,0,0,2,0,0,0,7.0
0,KCA201704130,hahnj001,39,59,0,6,7,0,0,0,0,2,0,0,3,6.0
0,SEA201505090,hahnj001,38,64,0,8,4,0,1,1,0,2,1,0,3,5.333333333333333
0,HOU201505200,hahnj001,42,66,1,5,6,0,0,2,0,2,0,0,3,6.0
0,OAK201504120,hahnj001,29,58,0,3,2,0,0,0,0,2,0,0,1,5.666666666666667
0,OAK201506100,hahnj001,30,38,0,7,0,0,1,0,0,2,0,3,4,3.6666666666666665
0,HOU201704300,hahnj001,36,63,0,8,6,0,0,1,0,0,0,1,3,6.0
0,TBA201706110,hahnj001,34,59,0,7,5,0,0,0,0,2,0,0,3,5.0
