,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,COL201506240,haled001,32,57,1,8,2,0,0,0,0,3,0,0,5,4.666666666666667
0,OAK201506290,haled001,36,64,3,9,2,0,0,0,0,0,0,0,5,7.0
0,COL201509250,haled001,34,55,0,5,4,0,0,1,0,2,0,0,1,5.0
0,NYN201404200,haled001,42,61,0,6,5,0,0,0,0,2,0,0,2,6.0
0,ATL201404260,haled001,36,66,0,2,4,0,0,0,0,2,0,0,1,8.0
0,PHI201406282,haled001,26,48,0,4,3,0,0,0,0,1,0,0,1,5.0
0,ARI201507040,haled001,47,57,0,5,4,0,0,0,0,3,0,0,3,5.0
0,COL201506080,haled001,31,59,2,6,7,0,0,1,0,0,0,1,3,6.666666666666667
0,COL201505232,haled001,31,66,0,8,2,0,0,2,0,0,0,0,2,6.666666666666667
0,ATL201404100,haled001,39,51,0,5,2,0,0,0,0,5,0,0,3,4.333333333333333
0,COL201508230,haled001,33,64,0,6,9,0,0,4,0,2,0,1,4,6.0
0,ARI201510010,haled001,33,51,0,6,3,0,0,0,0,1,1,0,4,5.0
0,MIA201506130,haled001,41,59,1,4,5,0,0,0,0,2,1,0,4,6.0
0,COL201506180,haled001,35,61,1,10,9,0,0,0,0,1,0,0,5,5.0
0,COL201508180,haled001,43,62,1,8,4,0,0,2,0,3,0,0,6,5.0
0,WAS201404040,haled001,25,48,0,5,4,0,0,0,0,2,0,0,0,5.0
0,ATL201409250,haled001,38,54,1,5,4,0,0,0,0,2,2,0,2,4.666666666666667
0,COL201506022,haled001,25,57,3,7,5,0,0,0,0,0,0,0,4,6.0
