,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,DET201709060,hammj002,36,34,1,9,6,0,0,0,0,2,0,0,2,6.0
0,HOU201407300,hammj002,36,28,2,7,4,0,0,0,0,3,0,0,8,4.333333333333333
0,CHN201509210,hammj002,38,35,1,5,6,0,1,0,0,1,0,0,3,5.0
0,KCA201706190,hammj002,23,32,1,7,4,0,0,0,0,0,0,2,2,7.0
0,KCA201704180,hammj002,28,31,0,6,3,0,0,0,0,1,0,0,1,6.0
0,KCA201707140,hammj002,38,37,1,4,4,0,0,0,0,2,0,0,3,5.666666666666667
0,MIL201607220,hammj002,27,24,1,4,4,0,1,0,0,2,0,0,2,5.0
0,KCA201706080,hammj002,26,30,0,4,4,0,0,0,1,0,0,0,1,7.0
0,CHN201507030,hammj002,32,30,2,4,5,0,0,0,0,1,0,0,2,7.0
0,CHN201607160,hammj002,28,28,0,3,7,0,0,0,0,1,0,0,1,6.0
0,CHN201508230,hammj002,33,35,1,6,8,0,0,0,0,1,0,1,2,6.333333333333333
0,SLN201708100,hammj002,40,35,0,3,7,0,0,0,0,1,0,1,1,5.0
0,CHN201406060,hammj002,32,32,0,6,8,0,0,0,0,0,1,0,0,7.0
0,CHN201405040,hammj002,37,33,0,7,5,0,0,1,0,2,0,0,3,6.0
0,TEX201409250,hammj002,31,35,0,5,5,0,0,0,0,0,0,0,1,6.0
0,KCA201705160,hammj002,29,40,2,9,0,0,0,0,0,1,0,0,5,6.0
0,KCA201707190,hammj002,33,34,0,4,2,0,0,0,0,1,0,0,1,6.333333333333333
0,OAK201409010,hammj002,40,36,1,3,5,0,0,0,0,1,0,0,1,8.0
0,PIT201504220,hammj002,35,31,1,6,5,0,0,0,0,0,0,1,3,5.0
0,MIA201506010,hammj002,37,43,0,5,11,0,0,1,0,0,0,0,1,6.666666666666667
0,WAS201506060,hammj002,30,33,2,5,7,0,0,0,0,2,0,0,2,8.0
0,KCA201708040,hammj002,32,28,0,6,3,0,0,0,0,0,1,0,2,6.333333333333333
0,SDN201405250,hammj002,33,30,0,3,5,0,1,0,0,2,0,1,1,5.666666666666667
0,CHN201609240,hammj002,15,18,1,6,2,0,0,0,0,1,0,1,5,2.3333333333333335
0,PIT201406110,hammj002,34,30,1,11,6,0,0,0,0,1,1,1,4,4.666666666666667
0,OAK201409070,hammj002,32,35,0,5,7,0,0,0,0,1,0,1,2,6.666666666666667
0,COL201504110,hammj002,29,35,1,8,6,0,0,0,0,0,0,0,3,6.0
0,SLN201609130,hammj002,29,34,2,6,9,0,0,0,0,2,0,1,4,5.666666666666667
0,LAN201707070,hammj002,30,41,1,8,7,0,0,0,0,3,0,0,3,6.0
