,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,OAK201808030,hardb001,36,33,0,1,6,0,0,0,0,2,0,0,0,6.666666666666667
0,DET201806010,hardb001,34,27,0,3,3,0,0,1,0,4,0,0,2,6.0
0,DET201807220,hardb001,17,19,0,5,3,0,0,0,0,0,0,0,2,3.0
0,DET201805270,hardb001,29,29,0,3,6,0,0,0,0,1,0,0,1,7.0
0,DET201806120,hardb001,28,29,0,3,5,0,1,1,0,1,0,0,1,6.0
0,DET201806260,hardb001,35,29,2,6,4,0,0,0,0,3,0,0,3,4.0
0,CHA201806170,hardb001,25,26,1,6,3,0,0,0,0,0,0,0,1,5.333333333333333
0,BOS201806060,hardb001,28,35,1,8,2,0,0,0,0,0,0,1,5,6.0
0,DET201805130,hardb001,26,25,1,8,3,0,0,0,0,1,0,1,2,4.333333333333333
0,DET201808140,hardb001,19,18,1,5,4,0,0,0,0,1,0,0,4,4.0
0,ANA201808080,hardb001,26,33,3,7,3,0,0,0,0,1,0,0,5,5.0
0,DET201807280,hardb001,25,25,0,4,1,0,1,0,0,2,0,0,1,5.0
0,MIN201805210,hardb001,24,26,0,7,4,0,0,0,0,0,0,0,2,4.666666666666667
