,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CHA201909070,heana001,30,69,0,6,8,0,0,1,0,0,0,2,4,6.0
0,PHI201406240,heana001,32,63,1,4,5,0,0,2,0,2,0,1,4,5.0
0,LAN201508010,heana001,34,63,0,4,3,0,0,0,0,2,0,0,1,5.333333333333333
0,ANA201809260,heana001,31,69,2,7,10,0,0,0,0,1,0,0,2,7.0
0,TBA201808020,heana001,36,62,0,6,5,0,0,1,0,0,0,2,4,6.0
0,ANA201907160,heana001,40,63,0,9,5,0,0,0,0,2,0,0,1,4.333333333333333
0,LAN201807140,heana001,40,61,1,6,6,0,0,0,0,1,0,1,2,6.333333333333333
0,ANA201509260,heana001,38,58,1,5,5,0,0,0,0,2,0,0,2,6.0
0,ANA201804200,heana001,30,46,3,6,6,0,0,0,0,2,0,0,7,4.333333333333333
0,ANA201508070,heana001,31,54,2,10,2,0,0,0,0,1,0,0,4,5.666666666666667
0,BAL201708180,heana001,25,57,4,7,5,0,0,0,0,0,0,0,5,5.0
0,SEA201507120,heana001,32,61,0,5,6,0,0,1,0,1,0,0,0,7.0
0,ANA201806220,heana001,30,66,0,9,4,0,0,0,0,0,0,0,1,7.0
0,MIA201406290,heana001,26,53,1,8,4,0,1,0,0,0,0,0,4,6.0
0,OAK201509020,heana001,32,63,1,7,6,0,0,0,0,0,0,0,3,7.0
0,ANA201905260,heana001,32,53,2,2,8,0,0,0,0,1,0,0,2,5.0
0,DET201805310,heana001,26,68,0,8,3,0,0,0,0,1,0,2,5,5.0
0,COL201507070,heana001,29,65,1,8,5,0,0,0,0,0,0,0,2,7.333333333333333
0,NYA201805250,heana001,35,62,0,4,5,0,0,0,0,3,0,0,1,6.333333333333333
0,ANA201508170,heana001,33,67,0,5,4,0,0,0,0,1,0,2,1,6.0
0,TEX201808180,heana001,31,68,0,10,5,0,0,0,0,2,0,0,6,5.333333333333333
0,CHA201809090,heana001,26,70,0,3,12,0,0,0,0,0,0,0,0,7.0
0,TBA201906140,heana001,42,57,0,2,2,0,0,0,0,3,0,0,0,5.0
0,SLN201407050,heana001,37,44,2,8,1,0,0,0,0,3,0,1,5,3.6666666666666665
0,ANA201805190,heana001,37,60,1,3,7,0,0,1,0,5,0,0,0,6.0
0,TEX201709030,heana001,38,55,3,6,5,0,1,0,0,4,0,0,5,3.3333333333333335
0,CHA201508120,heana001,29,61,0,6,4,0,0,0,0,1,0,1,2,5.666666666666667
0,KCA201804130,heana001,31,54,0,7,7,0,0,0,0,1,0,0,3,5.0
0,ANA201909130,heana001,22,51,3,10,3,0,0,0,0,0,0,0,5,3.3333333333333335
0,NYA201909190,heana001,34,56,2,5,8,0,0,0,0,3,0,0,4,5.0
0,TEX201510010,heana001,43,41,0,5,1,0,0,0,0,5,0,0,4,4.333333333333333
