,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SLN201909130,housa001,31,48,1,4,5,0,0,0,0,3,0,0,4,3.0
0,MIL201909180,housa001,24,46,1,3,5,0,0,0,0,0,0,0,2,5.0
0,CIN201909240,housa001,26,44,0,3,3,0,0,0,0,0,0,0,2,4.0
0,CIN201907010,housa001,26,49,2,6,2,0,0,0,0,1,0,0,3,5.0
0,MIL201907150,housa001,33,59,1,8,3,0,0,0,0,1,0,0,4,6.0
0,PIT201907060,housa001,31,56,1,7,5,0,0,0,0,3,0,0,5,4.0
0,MIL201908270,housa001,35,39,1,4,2,0,0,0,0,2,0,0,1,5.0
0,CHN201908040,housa001,29,59,2,9,5,0,0,0,0,1,0,0,4,5.0
0,MIL201909080,housa001,28,43,0,4,6,0,0,1,0,0,1,1,3,4.0
0,MIL201905070,housa001,13,22,0,2,4,0,0,0,0,1,0,1,0,2.0
0,WAS201908160,housa001,33,62,0,2,4,0,0,0,0,2,0,2,1,7.0
0,MIL201906260,housa001,29,35,0,4,4,0,0,0,0,3,0,0,3,2.0
0,COL201909290,housa001,16,32,0,1,5,0,0,0,0,1,0,0,0,4.0
0,MIL201908100,housa001,33,63,1,3,10,0,0,0,0,1,0,0,1,6.0
0,SLN201904220,housa001,28,50,2,9,3,0,0,0,0,1,0,0,5,4.0
0,SLN201908210,housa001,33,56,0,6,6,0,0,0,0,2,0,0,1,5.333333333333333
0,MIL201909020,housa001,39,59,0,5,6,0,0,0,0,2,0,0,1,4.333333333333333
0,OAK201907300,housa001,25,44,0,3,6,0,0,1,0,1,0,1,1,5.0
