,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CLE201908140,johnb004,24,14,0,3,1,0,0,1,0,2,0,0,0,2.6666666666666665
0,BOS201808020,johnb004,37,35,3,6,11,0,0,0,0,2,0,0,4,5.0
0,CHA201809020,johnb004,9,14,1,7,2,0,0,0,0,1,0,0,4,1.3333333333333333
0,WAS201807030,johnb004,23,26,0,8,2,0,0,0,0,2,0,0,2,4.666666666666667
0,BOS201908090,johnb004,20,15,1,2,1,0,0,0,0,2,0,0,3,2.6666666666666665
0,BOS201808220,johnb004,29,25,1,5,3,0,0,0,0,1,0,1,2,4.333333333333333
0,BOS201705270,johnb004,24,45,0,5,8,0,0,0,0,0,0,0,0,9.0
0,BOS201806280,johnb004,26,16,1,3,2,0,0,0,0,1,0,0,1,4.0
0,TOR201808080,johnb004,29,38,2,6,6,0,0,0,0,2,0,0,5,7.0
0,NYA201908032,johnb004,26,25,1,8,2,0,0,0,0,0,0,0,3,2.6666666666666665
0,BOS201807260,johnb004,28,30,0,4,5,0,0,1,0,3,0,0,0,5.666666666666667
0,DET201807210,johnb004,24,28,0,5,5,0,0,0,0,0,0,0,0,5.0
0,PHI201706140,johnb004,15,15,1,4,1,0,0,0,0,1,0,0,3,2.6666666666666665
0,HOU201507210,johnb004,33,27,0,3,3,0,0,0,0,4,0,0,3,4.333333333333333
0,SDN201908250,johnb004,24,20,1,4,1,0,0,0,0,3,0,0,3,2.6666666666666665
0,BOS201906220,johnb004,33,26,0,4,4,0,0,1,0,0,0,0,0,5.0
0,BOS201807150,johnb004,28,29,1,2,5,0,0,0,0,4,0,0,2,4.666666666666667
0,BAL201906160,johnb004,27,22,0,5,2,0,0,2,0,2,0,0,1,3.0
0,BOS201707180,johnb004,33,29,0,8,4,0,0,0,0,3,0,0,3,6.0
0,BOS201808280,johnb004,28,22,1,5,3,0,0,0,0,1,0,0,1,4.333333333333333
0,BOS201908200,johnb004,23,23,0,6,4,0,1,1,0,2,0,0,3,3.6666666666666665
0,BOS201808170,johnb004,40,28,0,5,2,0,0,0,0,2,0,0,3,5.666666666666667
0,BOS201706090,johnb004,31,36,2,8,2,0,0,0,0,1,0,0,3,4.333333333333333
0,MIA201804020,johnb004,31,25,1,6,5,0,0,0,0,2,0,0,1,6.0
0,TOR201704180,johnb004,35,34,2,7,6,0,0,0,0,2,1,0,4,5.0
0,BOS201809280,johnb004,26,22,1,3,2,0,0,0,0,2,0,0,2,3.0
