,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CHA201509160,johne003,40,70,1,6,3,0,0,1,0,3,0,0,3,6.0
0,BAL201606220,johne003,32,46,2,9,3,0,0,0,0,1,0,0,4,4.0
0,CHA201509110,johne003,50,62,1,4,6,0,0,1,0,5,0,0,1,5.0
0,CHA201404250,johne003,25,29,0,4,1,0,0,1,0,4,0,0,4,1.6666666666666665
0,CHA201605232,johne003,41,70,3,6,5,0,0,0,0,3,0,0,4,6.666666666666667
0,SDN201606280,johne003,25,45,2,7,2,0,0,2,0,0,0,0,4,5.0
0,NYA201509270,johne003,45,73,1,7,5,0,1,1,0,4,0,1,2,5.666666666666667
0,TEX201404200,johne003,41,43,0,1,2,0,0,1,0,4,1,0,1,5.0
0,COL201606110,johne003,34,56,2,9,3,0,0,0,0,2,0,0,5,4.666666666666667
0,COL201404090,johne003,41,60,0,9,4,0,0,0,0,1,0,1,4,5.666666666666667
0,KCA201509060,johne003,26,60,3,5,3,0,0,0,0,0,0,0,3,6.0
0,CHA201404150,johne003,44,63,1,3,9,0,0,0,0,2,0,0,1,6.666666666666667
0,KCA201404040,johne003,43,55,0,10,2,0,0,1,0,3,0,1,7,4.666666666666667
0,SDN201606160,johne003,42,73,3,7,2,0,0,0,0,2,0,0,5,6.0
0,CHA201510030,johne003,37,56,1,5,4,0,0,0,0,3,0,0,2,6.333333333333333
0,CHA201605050,johne003,44,64,2,8,6,0,0,0,0,3,0,0,4,5.0
0,DET201509212,johne003,43,67,1,5,9,0,0,0,0,2,0,0,2,6.0
