,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,KCA201904020,kellb003,41,26,0,5,5,0,0,0,0,4,0,1,3,6.0
0,KCA201808070,kellb003,34,31,0,7,4,0,0,0,0,3,0,0,4,6.0
0,KCA202009130,kellb003,37,36,0,5,2,0,0,0,0,1,0,0,0,9.0
0,KCA201806170,kellb003,27,24,0,9,1,0,0,1,0,3,0,0,3,5.666666666666667
0,KCA202008310,kellb003,41,29,0,3,4,0,0,1,0,1,0,0,1,6.333333333333333
0,DET201905050,kellb003,37,35,0,6,6,0,0,0,0,5,0,0,2,5.333333333333333
0,KCA201907180,kellb003,31,37,1,9,7,0,0,0,0,2,0,0,2,6.333333333333333
0,KCA201808130,kellb003,42,31,1,4,4,0,0,0,0,2,0,0,1,7.0
0,CLE201809050,kellb003,29,32,0,11,5,0,0,0,0,1,0,0,1,7.0
0,MIL202009200,kellb003,34,32,2,5,4,0,0,0,0,3,0,0,5,5.0
0,SEA201807010,kellb003,38,29,0,6,3,0,0,0,0,0,0,0,1,8.0
0,CHA201904170,kellb003,36,28,1,4,3,0,0,0,0,4,0,1,2,5.0
0,KCA202009250,kellb003,31,26,0,4,5,0,0,0,0,0,0,0,0,6.0
0,SLN201905221,kellb003,35,34,0,2,3,0,0,0,0,4,0,2,0,7.0
0,KCA202008191,kellb003,35,31,0,3,5,0,0,0,0,3,0,0,0,6.666666666666667
0,ANA201905170,kellb003,40,36,0,7,3,0,0,0,0,5,0,0,4,5.666666666666667
0,DET201904070,kellb003,38,36,0,5,3,0,0,0,0,3,0,0,3,6.0
0,KCA201906080,kellb003,31,33,1,5,4,0,0,0,0,1,0,0,2,8.0
0,ANA201806050,kellb003,29,25,0,5,3,0,0,0,0,1,0,0,0,4.333333333333333
0,KCA201905110,kellb003,40,34,0,5,3,0,0,1,0,4,0,1,3,5.0
0,OAK201806100,kellb003,23,29,0,5,4,0,0,0,0,4,0,1,2,5.333333333333333
0,CLE201906240,kellb003,14,12,0,3,4,0,0,0,0,0,0,0,0,3.0
0,CHA201808180,kellb003,30,28,1,7,5,0,0,0,0,0,0,0,1,5.0
0,TOR201906300,kellb003,37,36,2,8,3,0,0,0,0,2,0,0,6,5.0
0,KCA202008060,kellb003,21,30,0,3,7,0,0,0,0,2,0,0,0,5.0
0,KCA201809110,kellb003,38,36,0,4,6,0,0,0,0,2,0,0,1,7.0
0,SLN202008240,kellb003,33,28,0,6,4,0,0,0,0,3,0,1,2,4.0
0,MIN201906140,kellb003,37,31,0,3,5,0,0,0,0,3,0,1,0,6.666666666666667
0,ATL201907240,kellb003,25,29,0,4,3,0,0,0,0,1,0,0,0,7.0
0,KCA201807220,kellb003,29,35,1,3,8,0,0,0,0,2,0,0,3,7.0
0,TBA201904220,kellb003,40,31,1,7,3,0,0,0,0,3,0,0,5,6.333333333333333
0,KCA201903280,kellb003,36,26,0,2,5,0,0,0,0,1,0,0,0,7.0
0,DET201809230,kellb003,35,36,0,3,2,0,0,2,0,3,0,0,1,7.0
0,KCA201806250,kellb003,40,34,0,2,6,0,0,0,0,2,0,0,0,7.0
0,SEA201906190,kellb003,33,31,2,9,5,0,0,1,0,2,0,1,7,4.0
0,CHA201905280,kellb003,36,39,0,10,3,0,0,0,0,1,0,0,4,6.0
0,KCA201907130,kellb003,22,45,0,4,7,0,0,0,0,0,0,0,1,8.0
0,TEX201906020,kellb003,25,40,0,9,6,0,0,2,0,0,0,0,3,7.0
0,KCA201808310,kellb003,38,41,1,4,4,0,0,0,0,2,0,0,2,8.0
0,KCA201808240,kellb003,35,28,1,6,5,0,0,0,0,1,0,0,2,5.0
0,CHA201808020,kellb003,37,35,0,5,9,0,0,0,0,3,0,0,1,6.333333333333333
0,DET201908090,kellb003,39,35,1,10,6,0,0,2,0,3,0,0,5,6.0
0,PIT201809170,kellb003,37,40,0,10,7,0,0,0,0,1,0,0,3,6.0
0,KCA201907290,kellb003,28,38,3,8,5,0,0,0,0,0,0,0,4,7.0
0,NYA201807281,kellb003,37,28,1,9,1,0,0,1,0,3,0,1,4,5.666666666666667
0,KCA201908140,kellb003,40,35,0,3,5,0,0,0,0,3,0,0,1,6.0
0,CLE202009070,kellb003,35,35,0,8,1,0,0,0,0,1,0,0,4,6.666666666666667
0,KCA201805300,kellb003,21,14,0,3,3,0,0,1,0,1,0,0,1,3.0
0,KCA201904120,kellb003,50,36,1,3,10,0,0,1,0,3,2,1,1,6.666666666666667
0,MIN201908040,kellb003,25,31,1,5,7,0,0,1,0,1,0,0,2,7.0
0,BAL201908200,kellb003,28,24,0,3,4,0,0,0,0,2,0,0,0,6.0
0,KCA201904290,kellb003,38,29,0,6,1,0,0,1,1,3,0,1,5,5.0
0,WAS201907050,kellb003,45,28,1,6,2,0,0,0,0,5,0,0,1,5.666666666666667
0,KCA201807070,kellb003,36,25,0,6,2,0,0,0,0,5,0,0,4,4.666666666666667
0,CHA201807130,kellb003,24,22,0,7,1,0,0,1,0,4,0,0,5,2.6666666666666665
0,KCA201908260,kellb003,21,10,0,3,1,0,0,0,0,3,0,0,5,1.3333333333333333
0,CIN202008120,kellb003,31,27,0,2,3,0,0,0,0,3,0,1,0,6.0
