,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,PIT201404050,42,35,4,0,0,0,0,4,0,,1,6,1.5,1.0
0,SLN201404110,33,30,3,0,0,0,0,0,0,,0,7,0.0,0.0
0,MIL201404160,14,16,2,0,0,0,0,0,0,,0,4,0.0,0.0
0,MIL201407110,26,25,3,0,0,0,0,2,0,,6,3,18.0,1.0
0,SLN201407190,35,35,4,0,0,1,0,1,0,,1,7,1.2857142857142858,1.0
0,CHN201407250,37,32,4,0,0,1,0,2,0,,5,5,9.0,0.0
0,SDN201407300,35,30,5,0,0,1,0,1,0,,4,5,7.2,0.0
0,SLN201408060,40,27,2,0,0,0,0,4,0,,1,7,1.2857142857142858,0.0
0,CIN201408120,43,31,4,0,0,0,0,3,0,,2,6,3.0,0.0
0,BOS201408170,36,26,3,0,0,0,0,6,0,,7,4,15.75,0.0
0,BOS201408220,30,33,5,0,0,0,0,3,0,,0,5,0.0,1.0
0,TOR201408270,30,30,4,0,0,0,0,2,0,,2,7,2.5714285714285716,1.0
0,NYA201409020,37,34,6,0,0,0,0,4,0,,3,7,3.857142857142857,0.0
0,BOS201409080,43,39,6,0,0,0,0,3,0,,3,7,3.857142857142857,2.0
0,KCA201409140,37,31,3,0,0,0,0,2,0,,4,6,6.0,0.0
0,BAL201409210,33,33,5,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,BOS201409270,30,34,3,0,0,0,0,2,0,,4,8,4.5,0.0
0,NYA201504110,33,31,8,0,0,1,0,2,0,,1,7,1.2857142857142858,0.0
0,BOS201504170,47,36,3,0,0,1,0,2,0,,2,6,3.0,0.0
0,TBA201504220,30,26,7,0,0,0,0,1,0,,5,6,7.5,1.0
0,BOS201504270,33,37,10,0,0,0,0,3,0,,5,6,7.5,0.0
0,BOS201505030,31,36,3,0,0,1,0,0,0,,5,5,9.0,0.0
0,TOR201505090,41,38,3,0,1,1,0,7,0,,6,6,9.0,0.0
0,SEA201505140,30,32,2,0,0,1,0,3,0,,1,7,1.2857142857142858,0.0
0,BOS201505200,38,37,7,0,1,0,0,1,0,,2,7,2.5714285714285716,0.0
0,MIN201505250,15,17,0,0,0,0,0,1,0,,7,2,31.5,0.0
0,TEX201505310,38,27,3,0,0,0,0,2,0,,1,5,1.8,0.0
0,BOS201506060,38,33,6,0,0,0,0,2,0,,1,6,1.5,0.0
0,BOS201506120,36,29,3,0,0,1,0,2,0,,4,6,6.0,0.0
0,ATL201506170,37,32,3,0,1,0,0,3,0,,2,6,3.0,0.0
0,BOS201506230,29,28,2,0,1,0,0,2,0,,5,4,11.25,0.0
0,HOU201507220,32,25,6,0,0,1,0,1,0,,4,6,6.0,1.0
0,BOS201507270,27,23,2,0,0,0,0,0,0,,4,4,9.0,1.0
0,BOS201508010,30,32,6,0,0,0,0,1,0,,5,6,7.5,1.0
0,DET201508070,38,34,7,0,1,0,0,2,0,,2,6,3.0,0.0
0,BOS201508140,39,34,6,0,0,0,0,2,0,,1,6,1.5,0.0
0,BOS201508190,40,32,3,0,0,1,0,3,0,,0,6,0.0,0.0
0,CHA201508240,36,35,4,0,0,0,0,1,0,,2,8,2.25,0.0
0,NYN201508290,34,36,2,0,0,0,0,2,0,,1,8,1.125,0.0
0,BOS201509040,41,36,5,0,1,0,0,3,0,,2,6,3.0,1.0
0,BOS201509090,41,39,5,0,0,1,0,2,0,,1,6,1.5,1.0
0,BAL201509150,19,19,4,0,0,0,0,1,0,,3,3,9.0,0.0
0,TOR201604080,32,23,4,0,0,0,0,3,0,,7,4,15.75,1.0
0,BOS201604130,44,40,6,0,0,0,0,5,0,,2,5,3.6,0.0
0,BOS201604190,11,7,1,0,0,0,0,2,0,,0,1,0.0,0.0
0,BOS201605210,41,37,7,0,0,0,0,3,0,,0,7,0.0,0.0
0,TOR201605270,36,28,8,0,0,0,0,3,0,,5,5,9.0,1.0
0,BAL201606010,24,18,1,0,0,0,0,3,0,,7,3,21.0,0.0
