,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PHI201408220,kendk001,31,30,1,8,4,0,0,0,0,1,0,0,4,6.333333333333333
0,COL201506010,kendk001,34,28,2,10,1,0,1,0,0,1,1,0,4,5.333333333333333
0,ANA201505120,kendk001,27,34,0,7,5,0,0,0,0,0,0,1,2,7.0
0,COL201404190,kendk001,29,23,1,6,3,0,0,0,0,0,0,0,3,7.0
0,COL201507090,kendk001,1,4,0,1,0,0,0,0,0,0,0,0,0,0.6666666666666666
0,NYN201405100,kendk001,26,32,1,4,4,0,0,0,0,2,0,1,3,5.333333333333333
0,SDN201409180,kendk001,33,28,1,6,2,0,1,0,0,4,1,1,3,5.0
0,COL201507210,kendk001,26,24,1,10,2,0,0,1,0,2,0,0,4,4.333333333333333
0,NYN201407300,kendk001,34,35,1,7,4,0,0,1,0,1,1,0,4,6.0
0,SEA201509130,kendk001,25,24,0,3,4,0,0,0,0,2,0,0,2,5.0
0,COL201504110,kendk001,39,28,3,8,3,0,0,0,0,5,0,1,6,5.0
0,MIA201407030,kendk001,31,30,0,6,4,0,0,0,0,1,0,0,2,6.666666666666667
0,LAN201404240,kendk001,40,31,1,10,2,0,0,0,0,1,0,0,2,5.666666666666667
0,SLN201507310,kendk001,7,8,1,4,0,0,0,0,0,0,0,0,2,1.0
0,COL201509012,kendk001,29,19,1,3,2,0,1,0,0,2,0,0,1,4.0
0,CIN201505270,kendk001,25,22,2,5,1,0,0,0,0,1,0,0,2,7.333333333333333
0,ARI201504280,kendk001,30,16,2,10,0,0,0,0,0,1,0,0,7,4.333333333333333
0,ATL201406170,kendk001,28,34,0,6,6,0,0,0,0,1,0,0,2,7.0
0,PHI201408100,kendk001,29,24,2,10,1,0,0,0,0,3,0,0,5,5.0
0,PHI201407250,kendk001,36,32,0,6,5,0,0,0,0,1,0,1,0,5.666666666666667
0,ATL201409020,kendk001,42,31,0,3,4,0,0,0,0,2,0,2,0,7.0
0,MIA201409240,kendk001,29,28,0,6,2,0,0,0,0,1,0,0,1,6.666666666666667
0,PHI201404130,kendk001,42,34,1,6,7,0,0,0,0,3,0,0,2,6.0
0,PHI201405160,kendk001,38,35,1,4,5,0,0,0,0,1,0,0,3,7.0
0,PHI201406270,kendk001,38,40,1,9,8,0,0,0,0,2,0,1,4,8.0
0,COL201504220,kendk001,24,28,2,7,3,0,0,0,0,1,0,0,4,7.0
0,COL201506070,kendk001,24,28,0,5,4,0,0,0,0,1,0,0,2,7.0
0,PHI201404080,kendk001,34,27,2,9,3,0,0,0,0,1,1,0,4,5.0
0,BOS201705040,kendk001,25,21,1,8,1,0,0,0,0,2,0,0,6,4.0
0,PHI201407130,kendk001,26,34,1,5,5,0,0,2,0,0,0,1,4,5.666666666666667
0,PHI201409080,kendk001,37,42,1,9,8,0,0,0,0,2,0,0,3,7.0
0,PHI201409130,kendk001,26,28,1,7,6,0,0,0,0,1,0,0,1,6.333333333333333
