,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TBA201803310,24,18,1,0,0,0,0,1,0,,1,4,2.25,0.0
0,BOS201804080,11,11,1,0,0,0,0,0,0,,1,2,4.5,0.0
0,TBA201805040,9,13,1,0,0,0,0,1,0,,1,2,4.5,0.0
0,OAK201906210,13,15,3,0,0,0,0,1,0,,0,2,0.0,0.0
0,TOR201907270,13,20,7,0,0,0,0,0,0,,2,3,6.0,0.0
0,BOS201907310,14,15,3,0,0,0,0,0,0,,0,3,0.0,0.0
0,TBA201908060,11,14,6,0,0,0,0,1,0,,3,2,13.5,0.0
0,HOU201908290,11,8,1,0,0,0,0,1,0,,1,2,4.5,0.0
0,TBA201909032,4,5,0,0,0,0,0,0,0,,0,1,0.0,0.0
0,TEX201909110,9,6,0,0,0,0,0,0,0,,3,1,27.0,0.0
