,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TEX201403310,29,38,1,0,0,0,0,1,0,,8,5,14.4,0.0
0,CHN201404050,30,40,6,0,0,0,0,0,0,,0,7,0.0,0.0
0,PHI201404100,26,38,8,0,0,0,0,0,0,,3,6,4.5,0.0
0,PHI201404160,42,46,13,0,0,0,0,1,0,,1,9,1.0,0.0
0,LAN201404210,30,44,10,0,0,0,0,0,0,,0,8,0.0,0.0
0,ARI201404260,24,32,2,0,1,0,0,2,0,,3,6,4.5,0.0
0,PHI201405020,34,39,5,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,TOR201405070,35,33,6,0,0,0,0,1,0,,6,7,7.714285714285714,0.0
0,PHI201405130,39,42,7,0,0,0,0,1,0,,0,7,0.0,0.0
0,PHI201405180,34,38,3,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,PHI201407210,28,29,3,0,0,1,0,1,0,,6,6,9.0,0.0
0,PHI201407260,29,29,4,0,0,0,0,2,0,,3,5,5.4,1.0
0,WAS201407310,6,12,4,0,0,0,0,0,0,,0,3,0.0,0.0
