,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,ARI201404030,27,40,7,0,0,0,0,0,0,,4,6,6.0,0.0
0,SFN201404090,26,20,5,0,0,0,0,1,0,,7,4,15.75,0.0
0,SFN201404150,29,34,5,0,0,0,0,0,0,,1,5,1.8,0.0
0,SDN201404200,43,30,7,0,0,1,0,3,0,,3,7,3.857142857142857,0.0
0,SFN201404260,38,30,3,0,0,0,0,2,0,,2,5,3.6,0.0
0,ATL201405020,28,31,4,0,0,1,0,3,0,,1,6,1.5,0.0
0,PIT201405070,24,32,4,0,0,1,0,2,0,,4,4,9.0,0.0
0,SFN201405120,39,39,11,0,0,0,0,4,0,,1,8,1.125,0.0
0,SFN201405170,41,37,6,0,0,1,0,3,0,,3,6,4.5,0.0
0,SFN201405230,49,29,4,0,0,1,0,6,0,,2,6,3.0,0.0
0,SFN201405280,39,28,5,0,0,0,0,4,0,,0,5,0.0,1.0
0,CIN201406030,30,28,3,0,0,0,0,3,0,,8,5,14.4,0.0
0,SFN201406080,38,31,6,0,0,1,0,1,0,,3,6,4.5,0.0
0,SFN201406130,36,37,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,ARI201406200,36,32,1,0,0,0,0,1,0,,4,6,6.0,0.0
0,SFN201406250,39,38,6,0,0,0,0,1,0,,0,9,0.0,0.0
0,SFN201407010,37,38,6,0,0,0,0,2,0,,0,8,0.0,1.0
0,SDN201407060,38,37,6,0,0,0,0,4,0,,1,7,1.2857142857142858,0.0
0,SFN201407110,31,39,6,0,0,0,0,2,0,,0,7,0.0,0.0
0,MIA201407200,34,39,7,0,0,2,1,2,0,,3,7,3.857142857142857,0.0
0,SFN201407250,27,30,6,0,0,0,0,0,0,,6,5,10.8,0.0
0,SFN201407300,28,24,2,0,0,2,0,3,0,,5,4,11.25,0.0
0,MIL201408050,29,30,8,0,0,1,0,1,0,,3,6,4.5,0.0
0,KCA201408100,28,20,2,0,0,1,0,3,0,,6,4,13.5,0.0
0,SFN201408170,41,26,2,0,0,0,0,4,0,,2,5,3.6,1.0
0,WAS201408230,27,19,2,0,0,1,0,4,0,,4,3,12.0,0.0
0,SDN201504100,33,32,5,0,0,0,0,1,2,,0,7,0.0,0.0
0,SFN201504150,27,28,4,0,0,0,0,1,0,,3,5,5.4,0.0
0,SFN201504210,36,26,5,0,0,0,0,3,0,,1,6,1.5,0.0
0,LAN201504270,24,27,2,0,0,0,0,3,0,,4,4,9.0,0.0
0,SFN201505030,34,37,4,0,0,0,0,1,0,,0,8,0.0,0.0
0,SFN201505080,38,41,8,0,0,1,0,3,0,,0,6,0.0,0.0
0,CIN201505140,40,32,4,0,0,1,0,5,0,,3,5,5.4,1.0
0,SFN201505200,35,36,4,0,0,1,0,2,0,,0,7,0.0,0.0
0,MIL201505250,34,34,4,0,0,0,0,3,0,,4,5,7.2,0.0
0,SFN201505300,28,31,5,0,0,0,0,2,0,,4,5,7.2,0.0
0,PHI201506050,31,33,4,0,0,0,0,2,0,,4,6,6.0,0.0
0,NYN201506110,41,32,5,0,0,0,0,3,0,,2,5,3.6,0.0
0,SFN201506160,38,25,3,0,0,0,0,4,0,,2,6,3.0,0.0
0,LAN201506210,17,18,2,0,0,1,0,1,0,,5,2,22.5,0.0
0,SFN201506270,16,12,1,0,0,1,0,2,0,,3,2,13.5,0.0
0,OAK201606180,36,29,2,0,0,0,0,2,0,,1,6,1.5,1.0
0,ANA201606230,27,31,2,0,0,0,0,2,0,,4,3,12.0,0.0
0,ANA201606280,42,30,7,0,0,0,0,4,0,,5,5,9.0,0.0
0,TBA201607050,42,31,6,0,0,1,0,1,0,,5,5,9.0,1.0
0,BAL201607100,35,33,4,0,0,1,0,2,0,,3,6,4.5,0.0
0,ANA201607190,35,24,7,0,0,0,0,2,0,,3,5,5.4,0.0
0,HOU201607240,22,15,0,0,0,0,0,2,0,,8,2,36.0,0.0
0,ANA201607290,41,23,3,0,0,0,0,6,0,,4,6,6.0,0.0
0,SEA201608050,31,27,1,0,0,1,0,2,0,,6,4,13.5,0.0
