,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PIT201405050,lockj001,16,24,0,8,5,0,1,0,0,0,0,0,4,5.333333333333333
0,MIA201706280,lockj001,30,30,1,4,4,0,0,0,0,2,0,0,3,5.666666666666667
0,CHN201504280,lockj001,30,28,0,8,5,0,1,0,0,2,1,0,4,3.6666666666666665
0,SLN201605070,lockj001,31,26,1,4,1,0,0,0,0,2,0,0,3,6.0
0,SDN201505310,lockj001,33,29,1,8,3,0,0,1,0,3,0,0,6,4.0
0,PIT201605010,lockj001,33,38,0,4,6,0,0,0,0,1,1,0,3,7.0
0,SLN201508110,lockj001,37,24,0,7,3,0,0,0,0,3,0,0,4,5.0
0,PIT201408110,lockj001,31,32,0,8,1,0,0,0,0,4,0,0,3,5.0
0,MIL201507190,lockj001,34,30,0,8,3,0,0,0,0,2,0,0,2,7.333333333333333
0,CHN201605140,lockj001,34,35,2,6,3,0,0,0,0,2,0,1,5,5.333333333333333
0,ATL201409240,lockj001,33,25,1,8,3,0,0,0,0,4,1,0,6,4.0
0,COL201604250,lockj001,40,36,0,5,8,0,0,0,0,2,0,0,0,6.0
0,PIT201607200,lockj001,30,24,0,7,5,0,0,1,0,5,0,0,4,3.0
0,COL201407260,lockj001,38,39,3,10,6,0,0,0,0,2,1,0,6,6.666666666666667
0,OAK201607010,lockj001,31,33,1,3,3,0,0,0,0,3,0,0,3,5.0
0,CHA201506170,lockj001,36,31,0,3,8,0,0,0,0,2,0,1,2,6.0
0,PIT201407060,lockj001,29,36,1,3,4,0,0,0,0,1,0,0,1,8.0
0,MIL201408220,lockj001,41,24,1,2,0,0,0,0,0,6,0,0,2,6.0
0,PIT201505200,lockj001,37,31,0,7,6,0,0,0,0,2,0,0,3,6.0
0,MIA201706220,lockj001,28,18,1,7,2,0,0,0,0,2,1,0,5,4.0
0,PIT201504230,lockj001,26,33,0,7,7,0,0,0,0,3,0,0,4,4.666666666666667
0,WAS201408160,lockj001,36,32,0,4,6,0,1,0,0,2,0,0,0,5.666666666666667
0,PIT201409190,lockj001,22,27,1,5,3,0,0,1,0,0,0,2,2,7.0
0,MIA201508260,lockj001,31,34,1,5,3,0,0,0,0,1,0,0,2,7.0
0,MIA201605300,lockj001,38,33,0,3,1,0,0,0,0,0,0,0,0,9.0
0,PHI201409080,lockj001,25,36,0,3,9,0,0,0,0,0,0,0,1,7.0
0,PIT201506280,lockj001,35,31,0,5,5,0,0,0,0,3,0,0,1,5.0
0,ARI201407310,lockj001,35,37,2,9,5,0,0,0,0,2,0,1,4,5.333333333333333
0,PIT201507240,lockj001,28,32,0,4,5,0,0,0,0,3,0,0,4,5.0
0,PIT201408270,lockj001,30,33,1,6,3,0,1,0,0,2,0,0,1,7.333333333333333
0,PIT201506230,lockj001,29,26,0,9,0,0,0,0,0,1,1,0,2,4.0
0,CHN201505150,lockj001,43,33,2,6,4,0,0,1,0,3,0,0,5,3.6666666666666665
0,MIL201509020,lockj001,29,24,0,9,2,0,0,0,0,0,0,0,5,3.6666666666666665
0,CIN201509070,lockj001,28,30,0,4,6,0,0,0,0,2,0,0,1,5.0
0,PIT201508210,lockj001,25,32,2,11,2,0,0,0,0,1,0,0,6,5.0
0,PIT201506120,lockj001,31,33,0,6,2,0,0,0,0,1,0,1,0,6.0
0,PIT201406190,lockj001,26,30,0,3,2,0,0,0,0,1,0,0,2,6.0
0,PIT201604150,lockj001,40,30,0,5,4,0,0,1,0,6,1,0,2,4.666666666666667
0,TBA201406240,lockj001,32,37,1,8,4,0,0,0,0,2,0,1,3,7.333333333333333
0,PIT201407010,lockj001,36,31,0,8,3,0,0,0,0,1,0,0,2,8.0
0,NYN201606150,lockj001,21,28,1,9,3,0,0,0,0,1,0,0,5,4.0
0,PIT201605250,lockj001,26,28,2,7,1,0,0,0,0,1,0,0,4,6.333333333333333
0,COL201509240,lockj001,31,34,0,7,5,0,0,0,0,1,1,0,3,5.666666666666667
0,PIT201507090,lockj001,31,30,0,5,5,0,0,0,0,3,0,1,1,5.0
0,PIT201508050,lockj001,22,27,2,4,4,0,0,1,0,1,0,0,4,5.666666666666667
0,ATL201506060,lockj001,32,33,1,7,4,0,0,0,0,2,0,0,4,6.333333333333333
0,MIA201406130,lockj001,34,35,1,7,7,0,0,0,0,0,0,0,2,8.0
0,ATL201608030,lockj001,26,28,0,9,1,0,0,1,0,2,0,1,5,4.333333333333333
0,SLN201607060,lockj001,27,24,1,8,3,0,0,0,0,1,0,0,5,4.0
0,PIT201504180,lockj001,31,38,0,4,6,0,0,0,0,0,0,0,1,8.0
0,PIT201409130,lockj001,41,33,1,6,5,0,0,0,0,3,0,0,3,5.333333333333333
0,PIT201406080,lockj001,20,30,0,3,5,0,1,0,0,1,0,0,1,7.0
0,CIN201604100,lockj001,25,26,1,7,1,0,0,1,0,2,0,0,1,6.0
0,MIA201706010,lockj001,24,29,0,3,7,0,0,0,0,0,0,0,0,5.666666666666667
0,PIT201507040,lockj001,28,35,0,2,6,0,0,0,0,0,0,1,0,8.0
0,PIT201606250,lockj001,31,30,0,5,3,0,1,0,0,0,0,0,1,7.0
0,MIL201504100,lockj001,25,31,0,7,2,0,0,0,0,1,0,1,2,5.666666666666667
0,SLN201707030,lockj001,37,27,0,11,2,0,0,0,0,3,1,0,11,2.6666666666666665
0,SDN201604200,lockj001,30,28,1,11,2,0,0,1,0,4,0,0,8,3.0
0,LAN201509180,lockj001,35,29,1,8,4,0,2,0,0,2,0,1,3,6.333333333333333
0,PIT201606200,lockj001,22,31,0,5,3,0,0,0,0,0,0,0,0,6.666666666666667
0,PIT201606040,lockj001,24,23,2,7,2,0,0,0,0,0,0,0,3,7.0
0,PIT201505100,lockj001,40,27,1,5,1,0,0,1,0,2,0,0,3,6.666666666666667
0,PIT201706110,lockj001,26,31,0,8,3,0,0,0,0,1,0,0,2,5.333333333333333
0,SLN201409020,lockj001,35,28,0,4,3,0,0,0,0,5,0,0,4,3.0
0,CIN201507310,lockj001,27,35,1,5,5,0,0,1,0,3,0,0,3,5.0
0,PIT201407200,lockj001,30,27,2,7,3,0,1,0,0,2,0,0,3,5.666666666666667
0,CIN201407110,lockj001,33,32,0,9,5,0,1,0,0,0,0,0,1,6.333333333333333
0,PIT201505260,lockj001,40,33,0,4,6,0,0,0,0,4,0,0,0,5.666666666666667
0,PIT201505050,lockj001,32,33,2,7,5,0,1,0,0,2,0,0,4,7.0
0,CHN201706060,lockj001,32,29,1,4,3,0,0,2,0,4,0,0,3,4.666666666666667
0,PIT201509120,lockj001,32,35,0,3,7,0,0,0,0,2,0,0,0,6.333333333333333
0,COL201606090,lockj001,37,30,1,11,2,0,0,1,0,3,0,0,11,4.666666666666667
0,NYN201508160,lockj001,35,32,1,4,5,0,0,0,0,1,1,1,1,5.333333333333333
0,ATL201706170,lockj001,22,27,1,5,5,0,0,0,0,0,1,0,3,4.0
0,PIT201408060,lockj001,31,37,1,6,7,0,0,0,0,0,0,0,3,7.0
0,PIT201605190,lockj001,29,36,1,6,6,0,1,0,0,2,0,0,2,7.0
