,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,WAS201906040,loper003,38,54,2,5,4,0,0,0,1,4,0,1,6,4.0
0,DET201709160,loper003,34,63,0,7,1,0,0,0,0,2,0,0,4,7.0
0,TEX201807010,loper003,42,76,0,7,6,0,0,0,0,2,1,0,2,6.333333333333333
0,CHA201805030,loper003,32,51,1,6,0,0,0,0,0,2,0,0,4,6.666666666666667
0,CHA201904050,loper003,42,51,3,6,5,0,0,0,0,4,0,0,6,5.0
0,MIN201809281,loper003,43,58,0,4,5,0,0,1,0,5,0,0,2,6.0
0,CHA201808190,loper003,23,35,3,6,5,0,0,0,0,1,0,0,6,2.0
0,NYN201609040,loper003,32,53,1,6,3,0,0,3,0,1,0,0,3,4.0
0,CHA201907300,loper003,41,62,0,6,6,0,0,1,0,4,0,1,2,5.333333333333333
0,KCA201709110,loper003,33,62,1,8,1,0,0,1,0,0,0,0,3,6.0
0,CHA201909281,loper003,27,72,1,5,9,0,0,0,0,1,0,0,1,8.0
0,DET201805250,loper003,37,59,0,5,3,0,0,1,0,3,0,0,2,6.666666666666667
0,HOU201807060,loper003,44,53,0,6,2,0,1,0,0,5,0,1,3,4.666666666666667
0,CHA201905190,loper003,35,64,1,4,1,0,0,0,0,2,0,0,1,6.0
0,CHA201805090,loper003,37,63,2,3,6,0,0,0,0,2,0,0,2,7.333333333333333
0,MIN201908200,loper003,28,61,2,6,3,0,0,0,0,0,0,1,3,6.0
0,CHA201809090,loper003,34,71,0,2,10,0,0,0,0,3,0,0,0,6.0
0,CHA201905290,loper003,44,74,1,12,3,0,0,1,0,2,0,0,5,5.666666666666667
0,CHA201908250,loper003,28,52,0,0,6,0,0,0,0,2,0,1,0,5.0
0,TEX201708170,loper003,37,49,1,5,6,0,0,0,0,4,0,0,4,4.333333333333333
0,CLE201805300,loper003,21,52,0,8,2,0,0,1,0,1,0,1,7,2.6666666666666665
0,DET201808240,loper003,43,68,0,4,7,0,0,1,0,3,0,0,2,5.666666666666667
0,TBA201907190,loper003,34,68,0,6,8,0,0,0,0,1,0,0,2,7.0
0,DET201904210,loper003,34,69,0,7,8,0,0,0,0,0,0,0,2,6.0
0,CHA201806150,loper003,23,71,1,9,3,0,0,0,0,0,0,1,3,6.0
0,CHA201904160,loper003,35,69,1,5,5,0,0,0,0,2,0,0,1,6.0
0,CHA201709010,loper003,26,59,1,5,7,0,0,0,0,1,0,0,3,6.0
0,MIN201905240,loper003,32,50,3,7,3,0,0,1,0,2,0,1,7,3.6666666666666665
0,WAS201608130,loper003,29,72,1,5,2,0,0,0,0,2,0,0,1,6.666666666666667
0,CHA201906150,loper003,35,62,1,6,4,0,0,0,0,2,0,0,5,6.0
0,CHA201904100,loper003,46,58,3,10,5,0,0,0,0,4,0,0,6,4.333333333333333
0,CHA201905030,loper003,36,69,2,8,6,0,0,0,0,3,0,0,5,5.0
0,OAK201804160,loper003,44,62,1,4,10,0,0,0,0,4,0,0,2,6.0
0,MIN201806051,loper003,39,66,0,1,4,0,1,0,1,4,0,0,0,7.0
0,KCA201903300,loper003,38,50,0,6,2,0,0,0,0,4,0,1,4,4.0
0,BOS201906260,loper003,27,76,1,9,3,0,1,1,0,1,0,0,3,6.0
0,CLE201905080,loper003,31,61,0,9,2,0,0,0,1,1,0,1,3,6.0
0,CHA201805200,loper003,39,68,0,2,8,0,0,0,0,2,0,0,0,8.0
0,SFN201607300,loper003,41,51,0,4,4,0,0,0,0,5,0,0,3,4.0
0,ATL201608180,loper003,28,73,0,4,11,0,0,1,0,2,0,0,1,7.0
0,CHA201806260,loper003,34,64,2,6,4,0,0,0,0,1,0,0,4,6.333333333333333
0,BAL201809150,loper003,31,73,0,4,6,0,0,1,0,1,0,0,0,7.0
0,CHA201809210,loper003,38,70,1,5,8,0,0,0,0,0,0,0,1,7.0
0,SEA201807220,loper003,35,54,1,5,1,0,0,0,0,4,0,0,5,5.0
