,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,SDN201803300,20,29,1,0,0,0,0,0,0,,3,5,5.4,0.0
0,SDN201804050,30,28,7,0,1,0,0,3,0,,0,5,0.0,0.0
0,COL201804100,25,29,8,0,0,0,0,1,0,,0,7,0.0,0.0
0,SDN201804150,34,30,9,0,0,0,0,0,0,,1,6,1.5,0.0
0,ARI201804220,39,33,4,0,0,0,0,4,0,,4,5,7.2,0.0
0,SDN201804280,34,22,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,SDN201805040,35,34,5,0,0,0,0,3,0,,3,5,5.4,0.0
0,SDN201805090,23,25,6,0,2,0,0,1,0,,1,6,1.5,0.0
0,SDN201805140,21,24,2,0,0,0,0,1,0,,3,5,5.4,0.0
0,SDN201806200,18,17,3,0,0,0,0,2,0,,4,2,18.0,1.0
0,TEX201806250,27,22,4,0,0,1,0,2,0,,0,4,0.0,0.0
0,SDN201806300,29,30,5,0,0,0,0,4,0,,0,5,0.0,0.0
0,ARI201807060,25,30,5,0,0,0,0,1,0,,2,6,3.0,2.0
0,SDN201807110,35,33,4,0,0,1,0,0,1,,2,4,4.5,0.0
0,NYN201807230,28,28,6,0,0,0,0,0,0,,2,6,3.0,1.0
0,SDN201807290,25,23,3,0,0,0,0,3,0,,5,5,9.0,0.0
0,CHN201808050,20,28,9,0,0,0,0,0,0,,2,6,3.0,0.0
0,SDN201808120,35,31,6,0,0,0,0,3,0,,0,6,0.0,0.0
0,SDN201808170,32,32,6,0,0,0,0,2,1,,5,4,11.25,0.0
0,COL201808230,26,28,6,0,0,0,0,1,0,,2,6,3.0,0.0
0,SDN201808290,42,37,9,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,ARI201809040,25,29,6,0,0,0,0,1,0,,2,5,3.6,0.0
0,SEA201809120,35,24,3,0,0,0,0,2,0,,3,5,5.4,0.0
0,SDN201809180,29,37,8,0,0,1,0,1,0,,3,5,5.4,0.0
0,LAN201809230,29,29,6,0,0,0,0,2,0,,7,4,15.75,0.0
0,SDN201809300,21,25,8,0,1,0,0,0,0,,2,6,3.0,0.0
0,SDN201903290,29,32,7,0,0,0,0,2,0,,0,6,0.0,0.0
0,SDN201904030,27,28,6,0,0,0,0,1,0,,0,5,0.0,0.0
0,SFN201904090,28,24,4,0,0,0,0,2,0,,7,4,15.75,0.0
0,SDN201904150,27,29,4,0,0,0,0,2,0,,5,7,6.428571428571429,0.0
0,SDN201904210,32,31,8,0,0,0,0,2,0,,1,6,1.5,0.0
0,WAS201904280,32,24,5,0,0,0,0,1,0,,4,4,9.0,0.0
0,SDN201905040,34,34,2,0,0,1,0,2,0,,3,6,4.5,0.0
0,COL201905110,24,23,4,0,0,0,0,1,0,,1,6,1.5,0.0
0,SDN201905170,25,25,6,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,TOR201905240,28,32,11,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,SDN201905310,31,27,5,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,SDN201906060,32,34,5,0,0,0,0,3,0,,4,5,7.2,0.0
0,SFN201906120,33,30,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,SDN201906170,38,34,5,0,0,0,0,3,0,,0,7,0.0,0.0
0,PIT201906230,29,29,4,0,0,1,0,0,0,,4,5,7.2,1.0
0,SDN201906300,33,30,6,0,0,0,0,3,0,,2,6,3.0,0.0
0,LAN201907070,32,31,4,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,SDN201907130,28,23,4,0,0,0,0,2,0,,2,5,3.6,0.0
0,CHN201907200,34,32,3,0,0,0,0,3,0,,6,5,10.8,0.0
0,SDN201907260,33,33,8,0,0,1,0,4,0,,1,6,1.5,0.0
0,LAN201908010,37,33,4,0,0,0,0,3,0,,4,6,6.0,0.0
0,SEA201908070,34,36,8,0,0,0,0,1,0,,2,6,3.0,0.0
0,SDN201908120,37,31,6,0,0,0,0,3,0,,3,5,5.4,0.0
0,PHI201908180,38,37,4,0,0,1,0,2,0,,2,6,3.0,0.0
0,SDN201908250,24,27,3,0,0,0,0,2,0,,1,5,1.8,0.0
0,SFN201908310,38,30,3,0,0,0,0,1,0,,1,6,1.5,1.0
0,SDN201909070,33,30,8,0,0,0,0,5,0,,0,6,0.0,0.0
0,COL201909130,13,12,2,0,0,1,0,0,0,,8,4,18.0,0.0
0,MIL201909190,32,30,7,0,0,0,0,2,0,,3,4,6.75,0.0
0,SDN201909260,27,26,6,0,0,0,0,2,0,,1,6,1.5,0.0
