,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CLE201405180,mastj001,26,20,0,7,1,0,0,0,0,5,0,0,7,4.333333333333333
0,BOS201504140,mastj001,36,26,0,8,4,0,1,0,1,3,0,2,5,4.666666666666667
0,CHA201404120,mastj001,37,34,1,7,7,0,0,1,0,5,0,1,5,4.666666666666667
0,BOS201504200,mastj001,37,28,0,3,6,0,0,0,0,3,0,0,1,5.0
0,BOS201505010,mastj001,33,24,0,6,2,0,0,0,0,3,0,1,1,6.0
0,SLN201408020,mastj001,26,26,0,7,4,0,0,0,0,3,0,0,5,5.666666666666667
0,BOS201505060,mastj001,40,25,1,7,1,0,0,1,0,6,0,1,4,4.333333333333333
0,BOS201507030,mastj001,23,25,0,8,2,0,0,0,0,2,0,0,5,3.6666666666666665
0,CLE201404180,mastj001,23,37,0,6,9,0,0,1,0,2,0,0,1,6.333333333333333
0,TOR201405130,mastj001,26,24,1,6,4,0,0,0,0,3,0,0,5,5.333333333333333
0,PHI201504090,mastj001,29,33,0,3,7,0,0,1,0,2,0,0,2,6.0
0,CLE201406190,mastj001,46,37,0,4,5,0,0,1,0,3,0,1,1,7.0
0,ARI201406240,mastj001,41,25,0,7,6,0,0,0,0,4,0,1,4,4.0
0,LAN201407010,mastj001,30,28,1,7,7,0,0,0,0,2,1,0,3,3.0
0,SLN201408180,mastj001,25,34,1,5,5,0,0,1,0,2,0,1,4,5.0
0,SLN201408301,mastj001,29,27,3,6,5,0,0,1,0,1,0,1,5,4.333333333333333
0,ANA201404280,mastj001,37,39,0,7,5,0,0,0,0,1,1,0,5,7.333333333333333
0,CLE201404230,mastj001,32,32,2,8,6,0,0,0,0,2,0,0,2,6.333333333333333
0,CLE201407070,mastj001,26,14,0,6,1,0,0,0,0,3,0,1,3,2.0
0,MIA201408130,mastj001,35,27,0,3,3,0,0,0,0,0,0,0,0,7.0
0,CHA201405270,mastj001,25,22,0,4,3,0,0,1,0,2,0,0,1,3.0
0,BAL201405220,mastj001,36,29,1,8,2,0,0,1,0,3,0,2,5,5.666666666666667
0,CLE201406020,mastj001,34,39,0,3,10,0,0,0,0,4,0,0,0,7.0
0,PHI201408240,mastj001,23,22,0,6,3,0,0,2,0,2,0,0,5,3.0
0,CLE201404060,mastj001,39,31,0,7,4,0,0,0,0,3,0,2,5,3.6666666666666665
0,CLE201405030,mastj001,37,34,0,4,6,0,0,1,0,1,0,1,0,7.333333333333333
0,OAK201505120,mastj001,26,17,2,6,1,0,0,0,0,1,0,0,5,2.3333333333333335
0,CLE201405080,mastj001,32,32,0,4,7,0,0,1,0,4,0,1,1,6.333333333333333
0,TBA201506280,mastj001,29,30,0,5,6,0,0,1,0,0,0,1,0,5.0
0,BAL201504250,mastj001,35,24,1,7,3,0,0,1,0,1,0,1,3,7.0
0,OAK201403310,mastj001,30,28,0,3,4,0,0,1,0,1,0,0,0,7.0
0,BOS201406130,mastj001,27,16,0,3,0,0,0,0,0,4,0,0,3,2.0
0,BAL201408080,mastj001,23,18,2,7,2,0,0,1,0,3,0,2,5,2.0
0,TEX201406080,mastj001,35,38,0,5,6,0,1,1,0,2,0,1,2,5.666666666666667
