,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TBA201405100,mcalz001,23,19,0,8,2,0,0,0,0,1,0,0,5,4.333333333333333
0,ANA201404300,mcalz001,31,33,1,4,5,0,0,0,0,4,0,0,2,4.333333333333333
0,CLE201405160,mcalz001,22,15,2,5,3,0,0,0,0,3,0,0,8,1.3333333333333333
0,HOU201409150,mcalz001,26,31,0,7,6,0,0,0,0,0,0,0,2,6.0
0,CLE201404091,mcalz001,29,37,0,5,7,0,0,0,0,0,0,0,0,7.666666666666667
0,DET201407192,mcalz001,33,30,0,3,6,0,0,1,0,3,0,0,1,5.333333333333333
0,CLE201504100,mcalz001,30,31,1,13,5,0,0,0,0,1,0,0,5,4.0
0,CLE201405050,mcalz001,37,40,0,5,8,0,0,0,0,1,0,0,0,6.666666666666667
0,SFN201404260,mcalz001,21,28,0,5,6,0,1,0,0,1,0,0,4,5.0
0,CLE201405210,mcalz001,21,19,2,5,2,0,0,0,0,2,0,0,4,2.0
0,KCA201407260,mcalz001,31,27,0,8,3,0,0,0,0,2,0,0,4,4.0
0,DET201404160,mcalz001,29,36,0,4,4,0,0,0,0,2,0,0,1,6.0
0,CLE201407120,mcalz001,27,29,1,4,2,0,0,0,0,2,0,0,3,7.0
0,CLE201407310,mcalz001,18,22,1,8,0,0,0,0,0,0,0,0,4,3.3333333333333335
0,DET201609280,mcalz001,11,11,0,1,1,0,0,0,0,1,0,0,0,2.0
0,OAK201404022,mcalz001,34,24,0,6,4,0,0,1,0,4,0,0,3,4.0
0,CLE201404210,mcalz001,27,34,0,6,2,0,0,0,0,1,0,0,2,6.0
0,TOR201607020,mcalz001,12,11,1,1,2,0,0,0,0,2,0,1,3,1.0
