,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CLE201509150,medlk001,41,24,0,5,0,0,0,0,0,1,0,0,0,6.333333333333333
0,KCA201509090,medlk001,33,31,1,3,2,0,0,1,0,2,0,0,2,6.0
0,DET201509200,medlk001,32,32,0,5,2,0,0,0,0,3,0,0,0,5.0
0,SEA201604290,medlk001,41,31,1,1,3,0,0,0,0,5,0,0,1,5.333333333333333
0,TBA201508290,medlk001,25,25,1,4,5,0,0,0,0,2,0,2,3,5.333333333333333
0,NYA201605100,medlk001,21,17,0,6,0,0,0,0,0,3,0,0,2,2.0
0,KCA201509260,medlk001,26,22,1,9,4,0,0,1,0,1,0,0,6,3.6666666666666665
0,KCA201605040,medlk001,25,19,0,6,2,0,0,1,0,1,0,0,3,2.0
0,CHA201510010,medlk001,36,33,0,4,4,0,1,0,0,3,0,0,1,6.0
0,OAK201604170,medlk001,34,25,0,2,4,0,0,0,0,4,0,0,0,6.333333333333333
0,KCA201508240,medlk001,20,23,1,5,6,0,0,0,0,0,0,0,3,6.0
0,KCA201604230,medlk001,25,17,1,9,2,0,0,0,0,3,0,0,5,3.6666666666666665
0,ARI201805040,medlk001,40,31,0,9,4,0,0,2,0,4,0,0,7,4.0
0,KCA201509040,medlk001,29,31,1,11,3,0,0,0,0,1,0,0,7,5.666666666666667
0,HOU201604120,medlk001,40,34,0,6,7,0,1,0,0,4,0,0,2,5.0
