,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,CHA201704080,19,11,0,0,1,0,0,2,0,,2,2,9.0,1.0
0,MIN201704140,26,24,4,0,0,1,0,3,0,,1,5,1.8,0.0
0,MIN201704220,26,23,6,0,0,0,0,3,0,,3,3,9.0,0.0
0,MIN201705212,27,28,3,0,1,0,0,2,0,,3,7,3.857142857142857,0.0
0,MIN201705270,34,28,6,0,0,0,0,2,0,,2,5,3.6,0.0
0,ANA201706010,31,24,5,0,0,0,1,2,0,,1,7,1.2857142857142858,0.0
0,SEA201706070,34,34,5,0,0,0,0,3,0,,3,5,5.4,1.0
0,MIN201706120,29,27,4,0,0,0,0,1,1,,8,4,18.0,0.0
0,MIN201706172,28,30,3,0,0,0,0,2,1,,2,5,3.6,0.0
0,CLE201706230,35,36,4,0,0,0,0,5,0,,0,5,0.0,0.0
0,BOS201706280,38,31,3,0,0,0,0,1,0,,0,6,0.0,1.0
0,MIN201707030,32,37,5,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,MIN201707080,35,28,6,0,1,0,0,2,1,,4,7,5.142857142857143,0.0
0,MIN201707170,26,24,4,0,0,0,0,0,0,,1,6,1.5,1.0
0,MIN201707230,35,29,5,0,0,0,0,2,0,,1,5,1.8,0.0
0,OAK201707290,30,32,2,0,0,0,0,2,0,,2,5,3.6,0.0
0,MIN201708030,29,31,6,0,0,0,0,3,0,,4,4,9.0,0.0
0,MIN201708080,19,22,3,0,0,1,0,0,1,,3,4,6.75,0.0
0,MIN201709160,18,19,3,0,0,0,0,0,0,,3,4,6.75,0.0
0,DET201709210,22,28,5,0,0,0,1,1,0,,1,5,1.8,0.0
0,CLE201709270,28,22,3,0,0,0,0,3,0,,2,4,4.5,1.0
0,CHN201806300,28,24,1,0,0,1,0,3,0,,4,4,9.0,0.0
0,TOR201807230,36,32,3,0,0,0,0,2,0,,1,6,1.5,0.0
0,MIN201808010,25,23,2,0,0,0,0,3,0,,0,5,0.0,1.0
0,CLE201808070,24,21,3,0,0,1,0,1,0,,0,5,0.0,1.0
