,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,SEA201906010,milot001,37,32,1,7,6,0,0,0,0,1,1,0,2,4.333333333333333
0,MIN201604250,milot001,39,31,0,7,5,0,0,2,0,1,1,0,2,4.666666666666667
0,OAK201405310,milot001,33,26,1,9,3,0,0,0,0,1,0,0,3,6.0
0,MIA201406290,milot001,34,30,1,4,3,0,0,0,0,2,0,0,2,7.0
0,MIN201608112,milot001,22,20,2,5,1,0,0,0,0,2,0,0,5,3.0
0,HOU201404270,milot001,36,36,0,5,2,0,0,0,0,2,0,0,3,6.666666666666667
0,KCA201507030,milot001,39,35,0,5,5,0,0,0,0,2,0,0,1,6.0
0,MIN201506220,milot001,31,32,0,10,2,0,0,0,0,2,0,0,2,6.0
0,NYN201708220,milot001,35,34,2,5,5,0,0,0,0,1,0,0,4,4.666666666666667
0,DET201607190,milot001,33,37,0,4,4,0,0,0,0,2,0,0,2,8.333333333333334
0,MIN201509170,milot001,21,17,0,4,0,0,0,0,0,3,0,0,2,1.3333333333333333
0,BAL201508210,milot001,30,26,1,5,4,0,0,0,0,1,0,0,3,5.333333333333333
0,MIN201507250,milot001,32,25,2,4,4,0,0,0,0,1,0,0,3,6.0
0,BAL201406060,milot001,29,33,2,8,3,0,0,0,0,0,0,0,3,6.0
0,MIN201507080,milot001,33,38,0,5,5,0,0,0,0,2,0,0,1,7.0
0,MIN201607300,milot001,22,32,1,9,3,0,0,0,0,0,0,0,4,5.333333333333333
0,MIN201607050,milot001,34,34,1,5,2,0,0,0,0,1,0,0,1,6.0
0,MIN201510030,milot001,34,29,0,6,5,0,0,0,0,1,1,0,1,6.0
0,OAK201406170,milot001,33,26,1,5,3,0,0,0,0,1,0,0,3,5.666666666666667
0,OAK201507190,milot001,20,21,3,5,4,0,0,0,0,0,0,1,4,2.6666666666666665
0,MIL201604200,milot001,41,35,0,5,6,0,1,0,0,2,0,0,1,4.666666666666667
0,WAS201808080,milot001,23,30,3,10,4,0,0,0,0,0,0,0,7,6.0
0,KCA201509070,milot001,35,30,0,6,4,0,0,0,0,1,0,0,2,6.666666666666667
0,ARI201705160,milot001,45,29,1,6,4,0,0,0,0,1,2,0,5,5.666666666666667
0,HOU201408110,milot001,36,30,2,8,5,0,1,0,0,3,0,0,2,6.0
0,MIN201408170,milot001,15,12,0,4,1,0,0,0,0,2,0,1,5,1.3333333333333333
0,ANA201404160,milot001,35,33,0,6,1,0,0,0,0,2,0,1,1,6.0
0,TEX201607100,milot001,27,28,0,5,3,0,1,0,0,3,0,0,2,5.0
0,CHA201509120,milot001,32,27,0,8,3,0,0,0,0,2,0,0,4,3.6666666666666665
0,BOS201607240,milot001,28,32,3,10,4,0,0,0,0,0,0,0,4,4.666666666666667
0,KCA201408280,milot001,31,27,0,9,0,0,1,0,0,2,0,0,3,5.333333333333333
0,ANA201406110,milot001,31,30,0,6,4,0,0,0,0,2,0,0,1,6.666666666666667
0,OAK201405090,milot001,34,35,0,2,7,0,0,0,0,3,0,0,0,8.0
0,CHA201504100,milot001,33,34,0,2,7,0,0,0,0,2,0,0,0,7.666666666666667
0,TBA201405210,milot001,36,27,0,5,3,0,0,0,0,1,0,0,1,5.666666666666667
0,CHA201606300,milot001,24,30,1,9,3,0,0,0,0,1,0,1,5,3.3333333333333335
0,MIN201508160,milot001,29,22,0,3,3,0,0,0,0,3,0,0,1,5.0
0,TEX201905210,milot001,26,30,0,3,6,0,0,0,0,1,0,0,2,5.0
0,MIN201509020,milot001,30,34,0,3,7,0,0,0,0,0,0,0,0,7.0
0,OAK201407040,milot001,38,31,0,4,6,0,0,0,0,0,1,0,0,6.0
0,SEA201907230,milot001,23,35,3,9,5,0,0,0,0,0,0,0,6,6.0
0,NYA201606240,milot001,34,21,0,6,1,0,0,0,0,2,0,0,1,3.6666666666666665
0,MIN201409020,milot001,33,26,1,5,3,0,0,0,0,4,0,0,3,3.6666666666666665
0,SEA201404110,milot001,29,32,1,9,7,0,0,0,0,0,0,1,3,5.0
0,MIL201506280,milot001,34,33,0,2,7,0,0,0,0,3,0,0,0,6.0
0,NYN201705210,milot001,18,14,3,7,3,0,0,0,0,1,1,0,7,1.3333333333333333
0,CIN201704140,milot001,26,27,2,6,3,0,0,0,0,0,0,0,3,5.0
0,TEX201506120,milot001,35,37,1,3,8,0,0,0,0,1,0,0,2,7.0
0,OAK201405140,milot001,25,34,1,5,4,0,0,0,0,0,0,1,1,6.0
0,CHN201704190,milot001,29,25,1,3,5,0,0,0,0,0,0,0,1,5.0
0,MIN201504160,milot001,39,31,1,7,3,0,0,1,0,3,0,0,3,5.333333333333333
0,OAK201404220,milot001,30,27,0,5,1,0,0,0,0,3,1,1,3,6.0
