,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,BOS201609170,mitcb001,26,22,1,5,3,0,0,0,0,1,0,0,3,4.666666666666667
0,NYA201609120,mitcb001,17,14,0,9,2,0,0,0,0,0,0,0,5,2.3333333333333335
0,CHA201508010,mitcb001,27,27,1,7,5,0,0,1,0,2,0,0,3,4.0
0,SDN201805050,mitcb001,24,15,1,5,2,0,0,0,0,3,0,0,3,2.3333333333333335
0,SFN201809240,mitcb001,39,42,0,7,7,0,0,0,0,3,0,0,0,8.666666666666666
0,ARI201809030,mitcb001,25,30,0,2,2,0,0,1,0,3,0,0,1,4.666666666666667
0,HOU201804070,mitcb001,36,27,0,3,1,0,0,0,0,6,0,0,0,5.666666666666667
0,SDN201804290,mitcb001,32,32,0,5,5,0,0,0,0,4,0,0,4,4.666666666666667
0,SDN201804170,mitcb001,35,27,1,5,4,0,0,0,0,2,1,1,3,6.0
0,COL201804230,mitcb001,37,25,2,8,2,0,0,0,0,2,0,0,5,5.333333333333333
0,SDN201804120,mitcb001,24,19,0,4,2,0,0,0,0,5,0,0,3,2.6666666666666665
0,NYA201508170,mitcb001,13,14,0,4,2,0,0,0,0,0,0,0,1,1.6666666666666665
0,NYA201609280,mitcb001,35,30,0,2,2,0,0,0,0,5,0,0,0,7.0
0,SDN201809170,mitcb001,26,30,2,9,4,0,0,0,0,0,0,0,4,4.666666666666667
0,MIN201707170,mitcb001,33,31,0,6,2,0,0,0,0,2,0,0,1,5.0
0,BAL201409122,mitcb001,33,24,0,6,2,0,0,0,0,2,0,1,2,4.666666666666667
0,SEA201809110,mitcb001,31,22,1,4,2,0,0,0,0,2,0,0,1,6.0
0,TOR201609230,mitcb001,35,28,0,6,2,0,0,0,0,4,0,0,1,6.0
0,SDN201804020,mitcb001,39,23,1,8,0,0,1,0,0,3,0,0,5,5.0
0,NYA201609070,mitcb001,29,28,0,4,2,0,0,0,0,2,0,0,0,5.0
