,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,NYN201405140,38,31,3,0,0,0,0,2,0,,3,6,4.5,0.0
0,NYN201405200,40,30,4,0,0,0,0,4,0,,5,5,9.0,0.0
0,NYN201405251,42,36,10,0,0,0,0,3,0,,1,6,1.5,0.0
0,PHI201405300,33,27,0,0,0,0,0,2,0,,3,4,6.75,0.0
0,NYN201408120,38,30,4,0,0,0,0,2,0,,5,6,7.5,0.0
0,NYN201408170,37,36,6,0,0,0,0,2,0,,1,8,1.125,0.0
0,NYN201409100,38,31,7,0,0,0,0,4,0,,0,6,0.0,0.0
0,NYN201409270,33,31,6,0,0,0,0,2,0,,1,6,1.5,0.0
0,MIA201504280,30,27,6,0,0,0,0,0,1,,3,6,4.5,0.0
0,NYN201608290,40,31,3,0,0,0,0,6,0,,0,5,0.0,0.0
0,CIN201609060,32,25,4,0,0,0,0,4,0,,3,5,5.4,0.0
0,WAS201609120,26,19,2,0,0,0,0,3,1,,6,2,27.0,0.0
0,NYN201705050,27,33,4,0,0,0,0,3,0,,5,4,11.25,1.0
0,NYN201705250,27,33,4,0,0,1,0,3,0,,3,3,9.0,0.0
0,SFN201706250,38,32,7,0,0,0,0,2,0,,1,6,1.5,0.0
0,NYN201707020,28,37,6,0,0,1,0,2,0,,4,7,5.142857142857143,0.0
0,NYN201707180,28,30,5,0,1,0,0,1,0,,3,6,4.5,1.0
0,NYN201707230,37,29,4,0,1,1,0,1,0,,3,7,3.857142857142857,0.0
0,SEA201707280,36,32,5,0,0,1,0,5,0,,5,5,9.0,0.0
0,COL201708030,34,33,6,0,0,0,0,1,0,,4,6,6.0,0.0
0,NYN201708090,28,34,5,0,0,0,1,3,0,,4,3,12.0,2.0
0,NYA201708140,42,30,6,0,0,1,0,2,0,,2,6,3.0,0.0
0,NYN201708190,33,28,5,0,0,0,0,3,0,,1,6,1.5,0.0
0,NYN201708240,35,35,5,0,0,0,0,2,0,,3,6,4.5,0.0
0,CIN201708300,42,39,8,0,1,0,0,3,1,,0,9,0.0,0.0
0,NYN201709040,30,30,3,0,0,0,0,5,0,,4,6,6.0,0.0
0,NYN201709090,43,30,5,0,0,0,0,4,1,,1,5,1.8,0.0
0,ATL201709150,37,35,6,0,0,1,0,1,1,,3,5,5.4,0.0
0,MIA201709200,25,28,2,0,0,0,0,2,0,,5,4,11.25,0.0
0,NYN201709260,35,33,3,0,0,0,0,2,0,,3,6,4.5,1.0
