,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PHI201606010,morga001,30,56,2,9,6,0,0,0,0,0,0,1,6,6.0
0,PHI201608140,morga001,19,39,0,5,0,0,0,0,0,1,0,0,1,3.0
0,SDN201508080,morga001,32,47,0,6,4,0,0,0,0,1,0,0,1,6.0
0,LAN201507080,morga001,36,52,2,6,1,0,0,0,0,1,0,1,5,4.0
0,NYN201608260,morga001,31,60,3,8,8,0,0,0,0,2,0,0,6,5.0
0,ATL201507030,morga001,39,59,2,5,5,0,0,1,0,2,0,0,2,7.0
0,PHI201508020,morga001,31,47,1,7,1,0,0,1,1,3,0,1,4,4.666666666666667
0,TOR201507280,morga001,29,50,1,5,2,0,0,0,0,2,0,0,2,6.0
0,PHI201508190,morga001,25,58,1,5,3,0,0,0,0,0,0,0,2,7.0
0,PHI201606060,morga001,38,60,1,8,5,0,0,0,0,0,0,1,3,6.0
0,NYN201609220,morga001,38,60,1,5,8,0,0,1,0,2,0,0,3,5.0
0,ATL201605100,morga001,30,60,0,4,4,0,0,0,0,1,0,0,1,7.0
0,ATL201609280,morga001,28,62,1,10,4,0,0,1,0,2,0,1,9,5.0
0,MIN201606220,morga001,38,58,0,11,3,0,1,0,0,1,0,0,4,5.0
0,WAS201609110,morga001,32,55,0,3,2,0,1,0,0,2,0,0,1,6.0
0,CHN201605270,morga001,33,60,3,8,3,0,0,0,0,1,0,0,6,4.0
0,PHI201605150,morga001,39,47,1,8,1,0,0,0,0,2,1,0,7,3.6666666666666665
0,PHI201509111,morga001,30,68,0,7,5,0,0,0,0,1,0,0,2,5.0
0,PHI201508290,morga001,29,59,0,4,3,0,0,0,0,0,0,1,0,6.0
0,PHI201506210,morga001,24,54,1,6,6,0,0,0,0,2,0,0,1,5.666666666666667
0,PHI201605210,morga001,37,63,0,4,1,0,0,0,0,2,0,1,2,6.0
0,PHI201508240,morga001,23,41,4,7,3,0,0,0,0,0,0,0,5,3.6666666666666665
0,PHI201609160,morga001,32,54,0,7,4,0,0,0,0,2,0,0,1,4.333333333333333
0,MIL201508140,morga001,29,52,1,3,1,0,0,0,0,0,0,0,3,6.0
0,PHI201507220,morga001,29,51,0,9,3,0,2,0,0,0,0,1,2,4.333333333333333
0,ATL201509180,morga001,17,53,0,6,3,0,1,0,0,0,0,0,2,6.0
0,BOS201509040,morga001,30,67,1,8,6,0,0,0,0,2,0,0,4,6.333333333333333
0,WAS201606120,morga001,37,66,1,5,8,0,0,0,0,3,0,0,3,6.666666666666667
0,PHI201606170,morga001,25,71,3,10,8,0,0,0,0,0,0,0,4,4.333333333333333
0,PHI201608310,morga001,40,63,1,3,5,0,0,0,0,0,0,0,2,6.666666666666667
0,PHI201507170,morga001,31,54,0,4,3,0,0,0,0,3,0,0,1,6.0
0,PHI201608190,morga001,39,52,1,5,3,0,0,0,0,2,0,0,1,6.0
0,MIA201609060,morga001,31,54,0,5,5,0,0,0,0,0,0,0,1,6.0
0,PHI201604290,morga001,34,63,1,5,7,0,0,0,0,0,1,0,3,5.0
0,COL201607070,morga001,24,60,3,9,4,0,0,0,0,0,0,0,6,5.0
0,SLN201605040,morga001,25,45,0,6,2,0,0,0,0,2,0,0,3,4.0
